symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2020-04-09,75668,48665,64.31
ADANIPORTS,EQ,2020-04-09,5290672,1870738,35.36
BEL,EQ,2020-04-09,9722574,3974925,40.88
BOSCHLTD,EQ,2020-04-09,23791,5598,23.53
CUMMINSIND,EQ,2020-04-09,2857017,532937,18.65
DIXON,EQ,2020-04-09,38174,22988,60.22
DLF,EQ,2020-04-09,7216451,1332585,18.47
HAL,EQ,2020-04-09,51288,30712,59.88
HINDALCO,EQ,2020-04-09,14944332,3387986,22.67
INDHOTEL,EQ,2020-04-09,2069115,1466035,70.85
INDIGO,EQ,2020-04-09,1723325,220007,12.77
LT,EQ,2020-04-09,6410629,3814452,59.50
MANAPPURAM,EQ,2020-04-09,10616716,2184765,20.58
MARUTI,EQ,2020-04-09,3786661,1317700,34.80
PGEL,EQ,2020-04-09,3607,3607,100.00
SBIN,EQ,2020-04-09,62417301,9350138,14.98
SBIN,N2,2020-04-09,189,184,97.35
SBIN,N5,2020-04-09,840,809,96.31
SBIN,N6,2020-04-09,75,75,100.00
SUZLON,EQ,2020-04-09,1315915,1315915,100.00
TRENT,EQ,2020-04-09,1338932,557551,41.64
