symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2021-04-16,1349.45,1351.90,1374.95,1345.30,1372.00,1371.35,1365.92,142921,1952.19,6935,90631,63.41
ADANIPORTS,EQ,2021-04-16,750.35,750.90,794.85,743.00,749.15,755.50,770.01,41791181,321794.40,499686,3455564,8.27
BEL,EQ,2021-04-16,128.50,128.25,129.50,125.60,128.05,128.00,128.03,7150486,9154.86,71322,2114681,29.57
BOSCHLTD,EQ,2021-04-16,13647.60,13700.00,13889.40,13647.60,13884.55,13855.95,13798.28,27064,3734.37,6223,7818,28.89
CUMMINSIND,EQ,2021-04-16,848.55,852.50,865.05,840.00,844.35,849.10,854.24,410768,3508.95,15367,110341,26.86
DIXON,EQ,2021-04-16,3497.10,3520.00,3775.00,3502.20,3730.00,3736.35,3656.60,442400,16176.81,49869,197883,44.73
DLF,EQ,2021-04-16,248.00,249.40,254.85,246.45,251.50,252.45,252.16,9010453,22721.05,56454,1199596,13.31
DMART,EQ,2021-04-16,2928.90,2947.00,2980.00,2902.00,2906.95,2919.90,2946.59,334483,9855.84,32086,132033,39.47
HAL,EQ,2021-04-16,969.00,969.00,982.00,954.00,965.00,964.50,969.93,100589,975.64,7047,34782,34.58
HINDALCO,EQ,2021-04-16,353.55,356.75,376.50,352.70,368.25,370.00,369.59,28438547,105107.28,214882,5922215,20.82
INDHOTEL,EQ,2021-04-16,99.95,100.00,101.65,98.70,99.00,98.95,99.59,3287148,3273.53,26307,1965733,59.80
INDIGO,EQ,2021-04-16,1609.85,1604.00,1616.45,1576.40,1582.00,1582.90,1589.59,546565,8688.16,29336,128096,23.44
LT,EQ,2021-04-16,1374.65,1360.50,1393.30,1355.30,1357.50,1359.15,1373.11,3752588,51527.19,106004,2327307,62.02
MANAPPURAM,EQ,2021-04-16,145.55,146.00,149.15,145.30,147.00,147.15,147.56,2535697,3741.76,15886,624469,24.63
MARUTI,EQ,2021-04-16,6644.25,6675.00,6784.85,6606.05,6633.00,6648.10,6680.14,1000325,66823.14,81274,342948,34.28
PGEL,BE,2021-04-16,333.20,320.05,332.00,316.55,316.55,319.60,318.08,47521,151.15,694,-,-
SBIN,EQ,2021-04-16,342.70,343.00,345.50,338.65,339.55,339.90,342.01,37766793,129165.61,237384,8246382,21.84
SUZLON,EQ,2021-04-16,4.70,4.70,4.85,4.65,4.75,4.75,4.75,6896316,327.90,5386,3520300,51.05
TRENT,EQ,2021-04-16,740.10,740.10,755.80,731.00,741.85,743.65,746.21,692021,5163.91,25010,233096,33.68
