,1-Mar-13,,,,,,
The Nifty witnessed an intraday movement of about 59.55 points.The closing index was 0.47 % up as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),12142.79,,,,,
, Traded Quantity (in Lakhs),7463.76,,,,,
, Number of Trades,6272539,,,,,
, Total Market Capitalisation (Rs. Crores),6403256.48,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,S&P CNX Nifty,5693.05,5702.45,5739.45,5679.9,5719.7,26.65
,CNX IT,7106.65,7116.3,7171.95,7090.95,7117.7,11.05
,CNX Nifty Junior,11457.75,11459.3,11612.75,11459.3,11560.95,103.2
,S&P CNX Defty,3627.5,3614.55,3649.35,3602.9,3617.75,-9.75
,BANK Nifty,11487.35,11533.05,11592.55,11458.7,11540.05,52.7
,CNX Midcap,7540.35,7543.6,7656.5,7531.65,7622.4,82.05
,S&P CNX 500,4477.5,4483,4515.75,4475.3,4499.75,22.25
,CNX 100,5605.05,5613.05,5654.9,5598.55,5635.05,30
,Nifty Midcap 50,2011.55,2012.1,2061.95,2012.1,2043.45,31.9
,CNX Realty,257.15,255.8,258.85,245.75,246.8,-10.35
,CNX Infra,2299.9,2300.95,2337.35,2300.95,2317.2,17.3
,CNX Energy,7828.95,7831.25,7888.05,7763.2,7850.8,21.85
,CNX FMCG,14594.25,14620.9,14759.95,14520.4,14631.45,37.2
,CNX MNC,5095.75,5105.5,5177.75,5084.6,5163.8,68.05
,CNX Pharma,5778.2,5770.7,5817.3,5715.3,5807,28.8
,CNX PSE,2852.7,2850.95,2881.7,2833.3,2863.8,11.1
,CNX PSU Bank,3136.6,3141.6,3189.25,3125.15,3158.8,22.2
,CNX Service,7002.85,7017.45,7060.95,6998.15,7029.75,26.9
,India VIX,14.86,14.86,15.09,13.93,14.06,-0.8
,CNX AUTO,4424.8,4441.7,4502.05,4417.25,4481.6,56.8
,CNX Metal,2360.35,2362.35,2404.35,2362.35,2378.75,18.4
,CNX Media,1645.85,1647.2,1688.35,1646.9,1677.05,31.2
,CNX Smallcap,3267.65,3274.5,3292.15,3263.55,3268.35,0.7
,CNX 200,2871.8,2875.65,2898.05,2868.65,2887.1,15.3
,CNX Dividend Oppt,1615,1614.5,1628.3,1604.8,1623.2,8.2
,CNX Commodities,2297.3,2293.25,2324.9,2288.75,2311.8,14.5
,CNX Consumption,2194.65,2198.45,2231.9,2198.45,2224.8,30.15
