symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2020-02-13,1268.70,1274.45,-0.0045,0.0172,,0.3191
ADANIPORTS,2020-02-13,369.10,374.10,-0.0135,0.0135,,0.2579
BEL,2020-02-13,85.20,84.00,0.0142,0.0281,,0.5254
BOSCHLTD,2020-02-13,14683.05,14379.70,0.0209,0.0171,,0.3305
CUMMINSIND,2020-02-13,549.05,551.10,-0.0037,0.0166,,0.3076
DIXON,2020-02-13,4693.30,4620.00,0.0157,0.0236,,0.4432
DLF,2020-02-13,231.35,230.85,0.0022,0.0336,,0.6228
DMART,2020-02-13,2544.05,2482.10,0.0247,0.0301,,0.5693
HAL,2020-02-13,761.80,775.95,-0.0184,0.0247,,0.4662
HINDALCO,2020-02-13,195.25,193.65,0.0082,0.0201,,0.3745
INDHOTEL,2020-02-13,134.20,137.95,-0.0276,0.0141,,0.2904
INDIGO,2020-02-13,1444.40,1442.20,0.0015,0.0204,,0.3783
LT,2020-02-13,1292.25,1297.25,-0.0039,0.0158,,0.2923
MANAPPURAM,2020-02-13,164.10,163.90,0.0012,0.0209,,0.3878
MARUTI,2020-02-13,7004.90,7043.25,-0.0055,0.0148,,0.2751
PGEL,2020-02-13,64.25,64.65,-0.0062,0.0489,,0.9056
SBIN,2020-02-13,327.45,320.20,0.0224,0.0200,,0.3859
SUZLON,2020-02-13,2.31,2.40,-0.0382,0.0596,,1.1176
TRENT,2020-02-13,734.40,705.30,0.0404,0.0335,,0.6496
