symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2024-01-23,4750.95,4750.95,4897.00,4735.90,4769.90,4770.55,4830.68,348426,16831.35,43736,178276,51.17
ADANIPORTS,EQ,2024-01-23,1193.00,1199.15,1207.20,1130.25,1142.00,1137.10,1171.83,7201014,84383.80,157053,3999575,55.54
BEL,EQ,2024-01-23,193.40,195.25,195.50,184.40,187.20,187.10,188.97,26628471,50319.11,157317,15749643,59.15
BOSCHLTD,EQ,2024-01-23,23022.35,23022.40,23121.00,22381.00,22750.00,22774.80,22759.21,56122,12772.93,19675,18267,32.55
CUMMINSIND,EQ,2024-01-23,2083.25,2089.80,2114.00,2085.10,2093.00,2097.75,2100.65,482656,10138.92,46834,270200,55.98
DIXON,EQ,2024-01-23,6019.20,6025.05,6102.15,5819.30,5850.00,5853.85,5953.59,350766,20883.19,58684,142597,40.65
DLF,EQ,2024-01-23,777.05,790.00,791.90,733.95,743.00,739.30,751.77,19908675,149666.76,272597,12644492,63.51
DMART,EQ,2024-01-23,3676.50,3675.00,3714.00,3651.05,3672.00,3675.90,3671.32,299750,11004.79,38566,205493,68.55
HAL,EQ,2024-01-23,3005.35,3007.00,3022.00,2847.25,2895.75,2890.50,2931.64,1628038,47728.23,96233,827653,50.84
HINDALCO,EQ,2024-01-23,561.05,558.00,561.80,537.60,541.30,541.40,549.47,7867972,43232.45,114459,5170986,65.72
INDHOTEL,EQ,2024-01-23,479.10,485.00,486.00,466.85,471.00,471.30,475.33,4050796,19254.57,64373,2266789,55.96
INDIGO,EQ,2024-01-23,3044.65,3068.00,3068.00,2900.00,2921.90,2911.80,2955.23,1061598,31372.66,102133,629042,59.25
LT,EQ,2024-01-23,3634.50,3637.60,3661.35,3536.20,3547.00,3551.00,3602.16,1742142,62754.73,166563,1164704,66.85
MANAPPURAM,EQ,2024-01-23,176.00,176.05,178.25,167.10,169.80,168.30,172.02,8452481,14539.71,45928,4051073,47.93
MARUTI,EQ,2024-01-23,9972.55,9862.00,9973.00,9832.10,9860.00,9860.45,9902.81,956269,94697.51,129308,708076,74.05
PAYTM,EQ,2024-01-23,785.30,793.00,793.00,736.60,751.55,755.90,763.83,8164301,62361.06,263750,4383017,53.69
PGEL,EQ,2024-01-23,2089.05,2070.55,2114.75,2042.70,2057.00,2065.30,2081.05,27667,575.76,6199,13342,48.22
SBIN,EQ,2024-01-23,631.40,627.00,634.90,600.65,606.00,605.10,613.88,30954343,190024.06,409569,14265326,46.09
SUZLON,EQ,2024-01-23,41.80,42.50,43.00,40.20,41.30,41.15,41.31,61821069,25539.05,167425,42179157,68.23
TRENT,EQ,2024-01-23,3192.60,3207.00,3225.75,3150.00,3160.00,3164.15,3183.70,344687,10973.80,36988,166974,48.44
