symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2024-01-15,4783.95,4809.00,4809.00,4725.00,4761.00,4752.90,4758.06,104057,4951.09,12696,33348,32.05
ADANIPORTS,EQ,2024-01-15,1207.10,1214.00,1215.35,1189.10,1203.60,1203.10,1203.36,2825654,34002.67,97303,924257,32.71
BEL,EQ,2024-01-15,183.50,184.90,189.90,184.10,188.85,188.65,187.59,24570393,46090.64,136428,11666725,47.48
BOSCHLTD,EQ,2024-01-15,23229.65,23353.80,23477.00,23105.40,23451.10,23400.15,23363.08,19671,4595.75,7825,9431,47.94
CUMMINSIND,EQ,2024-01-15,2047.45,2054.65,2099.00,2040.00,2052.00,2045.75,2072.28,1030582,21356.53,64577,458918,44.53
DIXON,EQ,2024-01-15,6553.95,6480.00,6519.45,6305.00,6330.10,6331.60,6364.17,639402,40692.63,72939,236881,37.05
DLF,EQ,2024-01-15,800.55,802.00,815.75,798.50,804.40,805.40,805.85,4959825,39968.88,84385,2430415,49.00
DMART,EQ,2024-01-15,3841.00,3924.95,3933.00,3851.00,3855.05,3858.25,3871.77,505101,19556.33,38601,269839,53.42
HAL,EQ,2024-01-15,3001.95,3016.00,3039.20,2985.00,3030.00,3030.55,3019.33,1135342,34279.76,54151,567223,49.96
HINDALCO,EQ,2024-01-15,582.05,585.85,586.00,572.25,575.10,574.65,575.93,3778987,21764.29,89086,2109205,55.81
INDHOTEL,EQ,2024-01-15,461.55,465.00,478.50,459.80,477.80,476.95,471.73,4458232,21030.88,77386,1867255,41.88
INDIGO,EQ,2024-01-15,3072.60,3074.10,3128.30,3071.25,3114.30,3119.50,3103.96,638566,19820.86,39240,353301,55.33
LT,EQ,2024-01-15,3568.80,3576.10,3605.70,3538.05,3546.90,3543.05,3565.61,1783518,63593.26,138184,1086370,60.91
MANAPPURAM,EQ,2024-01-15,172.65,173.05,174.60,170.95,172.00,171.25,172.00,4523010,7779.53,27385,2125449,46.99
MARUTI,EQ,2024-01-15,9965.65,9985.10,10098.80,9948.00,10088.00,10086.90,10023.92,463380,46448.85,68460,298046,64.32
PAYTM,EQ,2024-01-15,692.45,695.00,717.25,683.45,713.00,714.20,706.15,5295483,37394.30,125176,3014143,56.92
PGEL,EQ,2024-01-15,2161.25,2190.00,2190.00,2060.00,2075.00,2081.00,2100.27,87990,1848.03,24900,43983,49.99
SBIN,EQ,2024-01-15,633.60,638.90,645.50,636.10,640.80,640.10,640.23,16844018,107841.00,300031,7373550,43.78
SUZLON,EQ,2024-01-15,44.90,45.20,45.70,43.70,43.90,43.85,44.35,73414515,32560.27,158047,51005429,69.48
TRENT,EQ,2024-01-15,3212.15,3238.00,3238.00,3180.50,3200.00,3193.30,3204.83,381958,12241.11,37908,231075,60.50
