symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2024-01-29,4739.30,4751.00,4807.15,4715.40,4790.00,4791.55,4764.63,87854,4185.92,16058,27368,31.15
ADANIPORTS,EQ,2024-01-29,1146.30,1155.00,1204.90,1151.00,1194.40,1196.65,1187.60,6768033,80376.99,210651,2802760,41.41
BEL,EQ,2024-01-29,189.70,190.00,193.70,187.55,191.70,190.90,190.93,28919512,55215.95,137760,11076011,38.30
BOSCHLTD,EQ,2024-01-29,22779.30,22800.95,23348.70,22775.05,23150.00,23248.80,23087.98,64222,14827.56,9846,49349,76.84
CUMMINSIND,EQ,2024-01-29,2161.90,2168.00,2290.75,2164.05,2256.75,2255.15,2225.09,1135151,25258.14,85816,524802,46.23
DIXON,EQ,2024-01-29,5879.45,5898.00,5921.20,5842.10,5878.00,5871.65,5871.38,214390,12587.66,24142,103687,48.36
DLF,EQ,2024-01-29,758.65,761.00,771.70,755.25,765.35,767.35,765.09,5504653,42115.73,121810,2813713,51.12
DMART,EQ,2024-01-29,3734.25,3700.00,3764.20,3689.00,3764.20,3749.40,3718.63,216522,8051.66,30423,115614,53.40
HAL,EQ,2024-01-29,2903.80,2910.00,2985.00,2903.90,2984.00,2976.95,2945.35,1213259,35734.68,71262,614519,50.65
HINDALCO,EQ,2024-01-29,567.20,568.00,571.95,562.00,569.20,567.90,567.21,5126212,29076.55,79234,3132617,61.11
INDHOTEL,EQ,2024-01-29,473.60,473.60,500.00,473.60,498.80,496.15,488.78,8503267,41561.87,119380,4120196,48.45
INDIGO,EQ,2024-01-29,2863.05,2889.90,2921.40,2851.75,2898.00,2896.00,2885.06,1539851,44425.68,64576,1114890,72.40
LT,EQ,2024-01-29,3593.45,3604.00,3733.85,3600.10,3710.00,3708.00,3687.07,2072982,76432.39,166432,1271712,61.35
MANAPPURAM,EQ,2024-01-29,178.00,179.00,183.20,177.50,180.00,179.90,180.23,10899563,19644.44,51054,5314083,48.76
MARUTI,EQ,2024-01-29,9881.00,9931.15,10035.00,9875.05,9990.00,9991.40,9992.75,446516,44619.23,75414,298669,66.89
PAYTM,EQ,2024-01-29,763.05,763.95,768.90,747.05,749.00,752.05,758.06,3108252,23562.41,83437,2317597,74.56
PGEL,EQ,2024-01-29,2061.70,1832.35,2052.25,1832.35,1980.00,1995.35,1952.18,204890,3999.82,35809,93877,45.82
SBIN,EQ,2024-01-29,612.75,619.00,629.50,615.60,624.20,622.95,622.28,19572140,121792.67,375931,10633301,54.33
SUZLON,EQ,2024-01-29,42.55,43.00,43.85,42.55,43.05,43.25,43.10,64987571,28007.03,164257,39299777,60.47
TRENT,EQ,2024-01-29,3231.80,3248.00,3295.00,3225.60,3249.90,3246.40,3259.49,604096,19690.47,50926,350187,57.97
