symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2010-11-03,56113,14002,24.95
BEL,EQ,2010-11-03,154666,134421,86.91
BOSCHLTD,EQ,2010-11-03,6483,1960,30.23
CUMMINSIND,EQ,2010-11-03,66857,36046,53.92
DLF,EQ,2010-11-03,4090246,1034229,25.29
HINDALCO,EQ,2010-11-03,3361738,1271622,37.83
INDHOTEL,EQ,2010-11-03,2307166,823048,35.67
INDHOTEL,N4,2010-11-03,2771,1426,51.46
LT,EQ,2010-11-03,1126956,732019,64.96
MANAPPURAM,EQ,2010-11-03,1232640,798304,64.76
MARUTI,EQ,2010-11-03,235501,93918,39.88
SBIN,EQ,2010-11-03,1339229,493238,36.83
SUZLON,EQ,2010-11-03,11408987,4301785,37.71
TRENT,EQ,2010-11-03,5648,3738,66.18
TRENT,Q1,2010-11-03,58,29,50.00
