symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2024-10-10,8458.05,8499.00,8619.70,8444.00,8500.00,8510.30,8524.74,321074,27370.72,44737,127999,39.87
ADANIPORTS,EQ,2024-10-10,1408.15,1417.00,1430.05,1406.85,1417.60,1417.20,1416.57,1628495,23068.70,85313,517015,31.75
BEL,EQ,2024-10-10,282.40,283.95,289.60,283.40,286.90,286.90,286.98,19155691,54972.26,165859,7079800,36.96
BOSCHLTD,EQ,2024-10-10,38606.15,38606.15,39039.75,37975.40,38432.70,38222.25,38430.27,26527,10194.40,9916,7990,30.12
CUMMINSIND,EQ,2024-10-10,3761.80,3765.00,3811.00,3747.05,3791.00,3782.65,3783.82,186298,7049.19,18118,83007,44.56
DIXON,EQ,2024-10-10,14805.20,14886.95,15100.00,14815.00,14915.00,14933.55,14977.93,472580,70782.71,65095,111252,23.54
DLF,EQ,2024-10-10,851.95,860.00,878.70,854.50,862.00,860.80,866.79,4443507,38515.70,87086,1748966,39.36
DMART,EQ,2024-10-10,4645.40,4664.80,4698.90,4572.00,4612.00,4607.50,4631.71,316729,14669.96,46177,151810,47.93
HAL,EQ,2024-10-10,4386.55,4398.00,4538.00,4365.05,4482.00,4482.25,4470.48,2294983,102596.66,140066,607300,26.46
HINDALCO,EQ,2024-10-10,727.55,731.90,738.20,726.30,730.05,730.15,730.98,3890250,28437.04,98751,1909771,49.09
INDHOTEL,EQ,2024-10-10,693.65,699.20,715.40,697.00,705.50,706.25,706.82,3112837,22002.20,79067,1226536,39.40
INDIGO,EQ,2024-10-10,4708.30,4734.00,4754.25,4656.05,4685.00,4665.15,4699.85,519523,24416.82,44102,295372,56.85
LT,EQ,2024-10-10,3487.10,3515.00,3554.90,3455.50,3461.85,3460.35,3491.73,2686116,93791.83,165856,1684251,62.70
MANAPPURAM,EQ,2024-10-10,191.10,192.00,193.00,188.26,188.46,188.68,190.24,2372996,4514.27,31367,1213909,51.16
MARUTI,EQ,2024-10-10,12760.70,12798.90,12965.00,12711.50,12935.00,12944.10,12872.11,492698,63420.63,100100,284525,57.75
PAYTM,EQ,2024-10-10,741.25,744.75,755.95,727.00,729.00,732.00,741.56,12019164,89128.80,202078,2049828,17.05
PGEL,EQ,2024-10-10,619.30,620.95,636.00,608.10,614.00,614.80,620.23,848499,5262.68,40653,359866,42.41
SBIN,EQ,2024-10-10,797.40,799.00,804.45,795.00,797.00,797.10,799.19,10241015,81845.03,208285,4626396,45.18
SUZLON,EQ,2024-10-10,76.69,77.50,77.89,74.67,75.59,75.44,75.78,71016473,53815.32,221525,34439845,48.50
TRENT,EQ,2024-10-10,8220.85,8200.00,8270.95,8012.00,8035.00,8028.85,8099.32,606292,49105.51,92662,303786,50.11
