symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2017-09-04,80703,53700,66.54
ADANIPORTS,EQ,2017-09-04,2425859,1028102,42.38
BEL,EQ,2017-09-04,2964124,1773107,59.82
BOSCHLTD,EQ,2017-09-04,14259,4724,33.13
CUMMINSIND,EQ,2017-09-04,241598,40579,16.80
DLF,EQ,2017-09-04,12405954,1550150,12.50
DMART,EQ,2017-09-04,498521,224669,45.07
HINDALCO,EQ,2017-09-04,11283027,4124496,36.55
INDHOTEL,EQ,2017-09-04,139899,78088,55.82
INDIGO,EQ,2017-09-04,594741,229136,38.53
LT,EQ,2017-09-04,1006945,487467,48.41
MANAPPURAM,EQ,2017-09-04,9166982,1793099,19.56
MARUTI,EQ,2017-09-04,362724,67830,18.70
PGEL,EQ,2017-09-04,22901,13730,59.95
SBIN,EQ,2017-09-04,7168751,2052403,28.63
SBIN,N2,2017-09-04,55,55,100.00
SBIN,N5,2017-09-04,566,522,92.23
SUZLON,EQ,2017-09-04,29749994,8663509,29.12
TRENT,EQ,2017-09-04,53368,24753,46.38
