symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2016-05-05,1240.50,1225.40,0.0122,0.0204,,0.3821
ADANIPORTS,2016-05-05,198.00,208.25,-0.0505,0.0384,,0.7489
BEL,2016-05-05,1146.50,1146.80,-0.0003,0.0177,,0.3286
BOSCHLTD,2016-05-05,19094.45,19284.85,-0.0099,0.0166,,0.3114
CUMMINSIND,2016-05-05,850.75,853.35,-0.0031,0.0201,,0.3725
DLF,2016-05-05,124.45,120.45,0.0327,0.0300,,0.5770
HINDALCO,2016-05-05,90.45,91.15,-0.0077,0.0347,,0.6438
INDHOTEL,2016-05-05,105.50,106.95,-0.0137,0.0181,,0.3420
INDIGO,2016-05-05,1088.40,1067.60,0.0193,0.0281,,0.5292
LT,2016-05-05,1273.85,1246.80,0.0215,0.0147,,0.2904
MANAPPURAM,2016-05-05,39.70,38.80,0.0229,0.0212,,0.4069
MARUTI,2016-05-05,3836.85,3811.55,0.0066,0.0205,,0.3802
PGEL,2016-05-05,123.70,118.55,0.0425,0.0371,,0.7145
SBIN,2016-05-05,180.35,179.95,0.0022,0.0239,,0.4432
SUZLON,2016-05-05,14.65,14.65,0.0000,0.0289,,0.5349
TRENT,2016-05-05,1704.80,1705.75,-0.0006,0.0169,,0.3133
