,15-Jul-2025
The Nifty witnessed an intraday movement of about 156.75 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 96302.03
, Traded Quantity (in Lakhs), 42032.85
, Number of Trades, 32388020
, Total Market Capitalisation (Rs. Crores), 45808064.23

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     38435.70,     38534.70,     38805.25,     38517.45,     38773.30,337.6
,NIFTY OIL AND GAS,     11755.55,     11781.05,     11855.60,     11775.55,     11811.70,56.15
,NIFTY500 MULTICAP,     16350.60,     16374.10,     16472.15,     16373.05,     16461.25,110.65
,NIFTY LARGEMID250,     16359.75,     16383.20,     16489.40,     16377.20,     16475.15,115.4
,NIFTY MID SELECT,     13169.00,     13205.35,     13357.90,     13175.00,     13342.05,173.05
,NIFTY TOTAL MKT,     13126.00,     13141.70,     13219.15,     13140.70,     13208.15,82.15
,NIFTY MICROCAP250,     24263.15,     24354.05,     24605.05,     24350.60,     24564.80,301.65
,NIFTY IND DIGITAL,      9050.75,      9024.60,      9088.50,      9015.05,      9068.15,17.4
,Nifty Tata 25 Cap,     14928.15,     14922.45,     15068.55,     14905.85,     15052.25,124.1
,Nifty MidSml Hlth,     44788.55,     44918.10,     45302.10,     44827.10,     45257.65,469.1
,Nifty Multi Mfg,     15253.40,     15290.55,     15405.55,     15273.30,     15392.40,139
,Nifty Multi Infra,     14373.45,     14405.35,     14442.55,     14362.75,     14419.20,45.75
,BHARATBOND-APR30,      1533.04,      1533.34,      1533.34,      1533.29,      1533.30,.26
,BHARATBOND-APR31,      1398.15,      1398.42,      1398.42,      1398.17,      1398.26,.11
,BHARATBOND-APR32,      1273.99,      1274.23,      1274.23,      1273.90,      1273.94,-.05
,BHARATBOND-APR33,      1238.38,      1238.62,      1238.62,      1238.61,      1238.61,.23
,Nifty Ind Defence,      8439.85,      8461.35,      8536.00,      8449.85,      8477.15,37.3
,Nifty Ind Tourism,      9293.90,      9295.65,      9389.70,      9293.75,      9379.05,85.15
,Nifty Capital Mkt,      4536.30,      4556.75,      4637.35,      4526.45,      4631.45,95.15
,Nifty500Momentm50,     53436.55,     53581.15,     53805.05,     53520.30,     53715.95,279.4
,NiftyMS400 MQ 100,     50171.10,     50289.45,     50791.60,     50280.35,     50760.20,589.1
,NiftySml250MQ 100,     48139.40,     48258.55,     48697.95,     48258.55,     48632.90,493.5
,Nifty Top 10 EW,      9722.55,      9725.60,      9803.35,      9725.15,      9753.15,30.6
,Nifty AQL 30,     22409.75,     22437.70,     22581.35,     22399.65,     22562.25,152.5
,Nifty AQLV 30,     20565.50,     20584.30,     20782.25,     20567.70,     20760.10,194.6
,Nifty EV,      2914.65,      2921.55,      2962.45,      2920.25,      2957.25,42.6
,Nifty HighBeta 50,      3826.90,      3834.00,      3852.95,      3827.20,      3843.10,16.2
,Nifty New Consump,     11632.95,     11653.50,     11744.35,     11650.20,     11737.70,104.75
,Nifty Corp MAATR,     36646.45,     36659.65,     36879.90,     36642.10,     36824.85,178.4
,Nifty Low Vol 50,     25116.65,     25148.65,     25282.10,     25102.30,     25257.40,140.75
,Nifty Mobility,     20866.55,     20918.75,     21094.85,     20899.90,     21070.80,204.25
,Nifty Qlty LV 30,     17135.25,     17152.70,     17288.90,     17138.60,     17273.35,138.1
,Nifty Sml250 Q50,     28273.55,     28310.20,     28545.40,     28294.45,     28468.00,194.45
,Nifty Top 15 EW,     10294.90,     10297.15,     10375.85,     10297.05,     10342.15,47.25
,Nifty100 Alpha 30,     18186.65,     18190.25,     18263.75,     18160.75,     18242.45,55.8
,Nifty100 Enh ESG,      4969.75,      4970.65,      5001.30,      4968.90,      4995.25,25.5
,Nifty200 Value 30,     13182.05,     13215.25,     13279.65,     13197.15,     13257.20,75.15
,Nifty500 EW,     14609.45,     14640.80,     14732.05,     14639.55,     14715.35,105.9
,Nifty Multi MQ 50,     42716.00,     42792.65,     43064.75,     42755.55,     43036.45,320.45
,Nifty500 Value 50,     14239.55,     14270.75,     14336.05,     14244.95,     14311.70,72.15
,Nifty Top 20 EW,      9141.05,      9145.15,      9192.40,      9139.45,      9177.05,36
,Nifty CoreHousing,     16430.70,     16466.50,     16519.80,     16414.55,     16504.85,74.15
,Nifty FinSerExBnk,     29989.95,     30074.35,     30326.45,     30003.45,     30289.65,299.7
,Nifty Housing,     11548.80,     11569.35,     11595.55,     11536.15,     11574.00,25.2
,Nifty IPO,      2104.35,      2110.00,      2123.95,      2104.35,      2107.35,3
,Nifty MS Fin Serv,     18569.40,     18605.60,     18804.00,     18576.75,     18789.00,219.6
,Nifty MS Ind Cons,     19934.90,     19981.55,     20076.10,     19952.65,     20062.40,127.5
,Nifty MS IT Telcm,     10240.20,     10242.50,     10348.60,     10239.45,     10316.35,76.15
,Nifty NonCyc Cons,     16097.30,     16131.55,     16181.25,     16088.35,     16166.20,68.9
,Nifty Rural,     15003.70,     15034.35,     15127.40,     15024.80,     15113.55,109.85
,Nifty Shariah 25,      8250.60,      8238.90,      8287.95,      8209.90,      8280.75,30.15
,Nifty Trans Logis,     23125.05,     23171.95,     23384.20,     23154.75,     23342.15,217.1
,Nifty50 Shariah,      4726.05,      4722.90,      4757.15,      4705.65,      4752.80,26.75
,Nifty500 LMS Eql,     18112.50,     18143.30,     18256.10,     18142.30,     18246.40,133.9
,Nifty500 Shariah,      7163.60,      7172.45,      7228.80,      7164.65,      7224.10,60.5
,Nifty500 Qlty50,     19845.70,     19885.20,     20051.85,     19881.80,     20039.85,194.15
,Nifty500 LowVol50,     21723.60,     21755.35,     21900.00,     21744.10,     21880.75,157.15
,Nifty500 MQVLv50,     31592.70,     31663.10,     31858.90,     31657.20,     31823.10,230.4

,ADVANCES,1904
,DECLINES,1004
,UNCHANGED,80

,Total securities that have hit their price bands today,161

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,HCLTECH,EQ,      1619.80,      1566.40,-3.3,2310.28
,OLAELEC,EQ,        47.07,        44.10,-6.31,1943.15
,SWANENERGY,EQ,       450.95,       502.25,11.38,1510.08
,HDFCBANK,EQ,      1983.00,      1995.50,0.63,1444.76
,BSE,EQ,      2460.70,      2546.00,3.47,1436.39
,JPPOWER,EQ,        27.23,        24.51,-9.99,1217.21
,RELIANCE,EQ,      1483.70,      1485.40,0.11,1210.04
,INFY,EQ,      1570.30,      1585.60,0.97,1207.93
,WAAREERTL,EQ,       976.00,      1146.70,17.49,1089.1
,RALLIS,EQ,       354.00,       353.20,-0.23,1084.38
,GODFRYPHLP,EQ,      9051.00,      9360.00,3.41,1081.83
,NEULANDLAB,EQ,     14548.00,     15273.00,4.98,1056.16
,ETERNAL,EQ,       270.60,       266.45,-1.53,938.75
,M&M,EQ,      3092.10,      3128.60,1.18,883.06
,ICICIBANK,EQ,      1423.00,      1430.80,0.55,861.8
,TCS,EQ,      3222.70,      3252.30,0.92,840.31
,ANANTRAJ,EQ,       571.50,       607.20,6.25,839.03
,FACT,EQ,       904.25,       976.45,7.98,831.79
,BHARTIARTL,EQ,      1920.90,      1934.20,0.69,804.91
,HEROMOTOCO,EQ,      4251.70,      4454.00,4.76,774.39
,MIDHANI,EQ,       401.25,       431.80,7.61,768.23
,SBIN,EQ,       808.85,       816.45,0.94,759.33
,KOTAKBANK,EQ,      2203.80,      2188.10,-0.71,656.94
,DMART,EQ,      4011.30,      4026.70,0.38,620.87
,WAAREEENER,EQ,      3197.00,      3221.30,0.76,614.44

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HEROMOTOCO,EQ,      4454.00,      4251.70,4.76
,BAJAJ-AUTO,EQ,      8311.00,      8087.50,2.76
,SUNPHARMA,EQ,      1727.50,      1682.60,2.67
,SHRIRAMFIN,EQ,       684.45,       669.75,2.19
,APOLLOHOSP,EQ,      7360.50,      7220.00,1.95

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,HCLTECH,EQ,      1566.40,      1619.80,-3.3
,ETERNAL,EQ,       266.45,       270.60,-1.53
,SBILIFE,EQ,      1824.80,      1851.30,-1.43
,HDFCLIFE,EQ,       756.85,       764.75,-1.03
,TATASTEEL,EQ,       159.00,       160.44,-0.9

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1003ISFL28,N4,      1014.48,                   704261.05,700
,1003SCL30A,NV,       815.20,                      815.20,1
,1015ECL29,NR,      1003.00,                   326552.70,326
,1018GS2026,GS,       108.29,                    54145.00,500
,1025IIFL30,Y3,      1001.44,                   110014.40,110
,1025NFL25,N5,      1001.27,                    12014.00,12
,1025SCL35A,N1,       995.00,                     8950.00,9
,1025UCL25,N8,       999.99,                     1999.98,2
,1030SFIL26,NJ,      1220.00,                    24400.00,20
,1040NFL26,NA,       995.00,                    24865.00,25
,1050IIFL29,ND,      1020.00,                    41820.00,41
,1060ECL29,NS,      1040.10,                  1050501.00,1010
,10CAGL27,N5,      1029.00,                    51450.00,50
,10IIFL28,N4,      1047.00,                    94987.50,90
,10IIFL28A,NE,      1008.30,                   100892.50,100
,10ISFL26,N3,      1048.00,                   154980.62,149
,10NFL25,N9,       995.01,                    57588.46,58
,10NIDO26,N6,       993.00,                   134014.00,135
,182D131125,TB,        98.25,                   982500.00,10000
,182D140825,TB,        99.33,                    39734.00,400
,20MICRONS,EQ,       224.93,                 20967601.00,93691
,21STCENMGM,EQ,        58.25,                   498706.09,8561
,360ONE,EQ,      1197.30,                453941999.80,379530
,364D070825,TB,        99.70,                     9970.00,100
