symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2015-08-12,1352,1356.6,1322.3,1327.8,1327,1352.55,45762,60851178.15,1753,INE117A01022
ADANIPORTS,EQ,2015-08-12,330,330.95,320.35,322.2,322.7,331.8,1449050,470320981.35,24857,INE742F01042
BEL,EQ,2015-08-12,3822,3824.95,3713.25,3730,3727.1,3809.8,110640,415402546.5,14322,INE263A01016
BOSCHLTD,EQ,2015-08-12,26513,26540,25320,25491.3,25480.15,26580.35,25847,671145268.75,8986,INE323A01026
CUMMINSIND,EQ,2015-08-12,1149.8,1200,1119.9,1128.4,1126,1157,229181,265957962.1,14567,INE298A01020
DLF,EQ,2015-08-12,122.5,123.65,115.6,117.1,117.4,124.35,7258249,866620830.75,33581,INE271C01023
HINDALCO,EQ,2015-08-12,102.8,102.9,95.55,95.9,95.9,103.25,11715218,1145005964.5,53454,INE038A01020
INDHOTEL,EQ,2015-08-12,92,95.8,89.4,92.7,89.95,92,1659036,152905530.6,6335,INE053A01029
LT,EQ,2015-08-12,1792.55,1792.7,1752,1762.5,1764,1801.15,1652542,2925724015.2,95919,INE018A01030
MANAPPURAM,EQ,2015-08-12,25.3,25.35,23.75,24.05,24.15,25.25,1753899,42666702,7917,INE522D01027
MARUTI,EQ,2015-08-12,4490,4511.4,4416,4447.4,4444,4504.3,221776,988218425.8,12426,INE585B01010
PGEL,EQ,2015-08-12,150.2,155.95,146.65,148.35,147.25,150.2,43000,6474251.05,409,INE457L01011
SBIN,EQ,2015-08-12,267.45,267.45,255.05,256.35,256.15,268.8,29724325,7755746564.35,207677,INE062A01020
SUZLON,EQ,2015-08-12,23.4,24.75,23.05,23.95,24.05,23.6,51333803,1233849849,44590,INE040H01021
TRENT,EQ,2015-08-12,1328.15,1352,1300,1307.95,1307,1328.15,9192,12108495.1,1185,INE849A01012
