,24-Jul-2019
The Nifty witnessed an intraday movement of about 129.95 points.The closing index was 0.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 33582.44
, Traded Quantity (in Lakhs), 14461.75
, Number of Trades, 12303994
, Total Market Capitalisation (Rs. Crores), 14184777.84

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALANKIT,EQ,        24.55,                  9150300.85,374320
,ALBERTDAVD,EQ,       372.25,                   359213.00,961
,ALBK,EQ,        39.85,                 81973017.30,2042252
,ALCHEM,BE,         1.15,                     6531.45,5631
,ALEMBICLTD,EQ,        43.15,                  6352793.55,148315
,ALICON,EQ,       503.75,                   232872.25,461
,ALKALI,EQ,        36.15,                   182818.65,5038
,ALKEM,EQ,      1769.25,                 10983454.70,6231
,ALKYLAMINE,EQ,       769.80,                  6662962.00,8760
,ALLCARGO,EQ,        99.65,                  7459412.00,75921
,ALLSEC,EQ,       299.95,                  1603970.45,5304
,ALMONDZ,EQ,        14.25,                    23504.00,1669
,ALOKTEXT,EQ,         2.90,                 17846737.35,6488380
,ALPA,EQ,        18.10,                   669560.20,36042
,ALPHAGEO,EQ,       325.10,                  3350935.75,10152
,ALPSINDUS,BE,          .65,                     1860.50,2860
,AMARAJABAT,EQ,       633.50,                599731310.50,950507
,AMBER,EQ,       801.85,                  6055775.20,7570
,AMBIKCO,EQ,       934.80,                  8461954.75,9308
,AMDIND,EQ,        14.90,                   113110.10,7490
,AMJLAND,EQ,        17.00,                   258238.35,15415
,AMRUTANJAN,EQ,       296.85,                  2471932.70,8347
,ANANTRAJ,EQ,        27.80,                  6096377.40,216267
,ANDHRABANK,EQ,        22.10,                 27732463.95,1269334
,ANDHRACEMT,EQ,         3.05,                   134665.90,44128
,ANDHRSUGAR,EQ,       285.90,                  5868233.85,20386
,ANIKINDS,EQ,         8.70,                    72964.00,8519
,ANKITMETAL,BE,          .60,                    13180.75,22827
,ANSALAPI,EQ,         4.60,                   192547.70,40915
,ANSALHSG,EQ,         4.85,                    71408.00,14662
,ANTGRAPHIC,BE,          .90,                    19326.25,22527
,ANUP,EQ,       477.10,                  1178208.25,2458
,APARINDS,EQ,       525.60,                  2075265.90,3951
,APCL,EQ,       150.10,                  1358063.00,8971
,APCOTEXIND,EQ,       185.95,                  1477323.90,7955
,APEX,EQ,       238.00,                  6193941.55,25807
,APLAPOLLO,EQ,      1502.85,                 31910472.05,21358
,APLLTD,EQ,       527.65,                  7584318.15,14453
,APOLLO,EQ,        87.80,                  2325297.10,26202
,APOLLOHOSP,EQ,      1335.45,                533489156.20,398286
,APOLLOTYRE,EQ,       164.55,                546001566.40,3311058
,APOLSINHOT,EQ,       900.05,                   288059.65,324
,APTECHT,EQ,       129.00,                140716545.15,1087359
,ARCHIDPLY,EQ,        27.95,                   175150.45,6243
,ARCHIES,EQ,        18.45,                   393869.55,21284
,ARCOTECH,EQ,         2.70,                   119299.05,45065
,ARIES,EQ,        51.05,                   869226.05,17164
,ARIHANT,EQ,        20.25,                      850.00,42
,ARIHANTSUP,EQ,        37.30,                  1427542.15,38148
,ARMANFIN,EQ,       404.85,                  1900952.15,4697
,AROGRANITE,EQ,        37.15,                   207498.50,5498
,ARROWGREEN,BE,        54.55,                   364713.50,6608
,ARROWTEX,EQ,        11.70,                    20660.40,1794
,ARSHIYA,EQ,        17.60,                   333200.75,19163
,ARSSINFRA,EQ,        29.75,                   145826.50,4855
,ARTNIRMAN,SM,        25.00,                   303000.00,12000
,ARVIND,EQ,        58.30,                301793195.80,5193665
,ARVINDFASN,EQ,       654.00,                 51608632.75,78928
,ARVSMART,EQ,        92.60,                   967352.80,10541
,ASAHIINDIA,EQ,       205.10,                  1339789.00,6524
,ASAHISONG,EQ,       129.75,                    67254.05,518
,ASAL,EQ,        39.45,                    57130.45,1449
,ASHAPURMIN,EQ,        21.80,                   164895.20,7564
,ASHIANA,EQ,       114.75,                  1463401.85,12815
,ASHIMASYN,EQ,         8.05,                   142830.85,17682
,ASHOKA,EQ,       119.90,                147636380.80,1232246
,ASIANHOTNR,EQ,       121.85,                   340555.80,2852
,ASIANTILES,EQ,       221.00,                 12241472.10,55387
,ASPINWALL,EQ,       145.90,                   116443.75,824
,ASSAMCO,BE,         1.20,                   197005.10,168672
,ASTEC,EQ,       327.15,                  6592631.95,19568
,ASTERDM,EQ,       122.00,                  3856417.45,31558
,ASTRAL,EQ,      1193.55,                 25079278.25,20780
,ASTRAMICRO,EQ,        81.50,                  4105048.00,50190
,ASTRAZEN,EQ,      1853.00,                 12248296.50,6630
,ASTRON,EQ,        95.55,                 20627682.85,219160
,ATFL,EQ,       494.50,                  2585980.10,5189
,ATLANTA,EQ,         8.30,                   112822.15,13537
,ATLASCYCLE,BE,        41.70,                   168382.45,4180
,ATNINTER,BE,          .25,                     1270.55,6319
,ATUL,EQ,      3662.35,                 40440291.20,11020
,ATULAUTO,EQ,       265.90,                  3728442.50,14205
,AUBANK,EQ,       632.90,                136634882.45,213735
,AURIONPRO,EQ,       104.20,                  1169567.55,11321
,AUSOMENT,EQ,        32.60,                    80065.90,2431
,AUTOAXLES,EQ,       847.75,                  4537984.00,5276
,AUTOIND,EQ,        43.50,                   232533.35,5258
,AUTOLITIND,BZ,        24.95,                     9635.15,393
,AVADHSUGAR,EQ,       274.55,                 29095406.85,104810
,AVANTIFEED,EQ,       322.10,                 94820021.80,292511
,AVG,SM,        75.70,                   272520.00,3600
,AVTNPL,EQ,        21.70,                   565976.80,25893
,AXISCADES,EQ,        71.05,                 14362219.90,202715
,AXISGOLD,EQ,      3056.25,                   177887.10,58
,AXISNIFTY,EQ,      1161.72,                   214754.24,185
,AYMSYNTEX,EQ,        31.00,                   178203.30,5727
,BAFNAPHARM,BE,         5.90,                    22223.15,3929
,BAGFILMS,EQ,         3.05,                   109769.55,36114
,BAJAJCON,EQ,       285.35,                 70870101.95,245864
,BAJAJELEC,EQ,       406.35,                 63523040.20,154808
,BAJAJHIND,EQ,         6.95,                 11491727.30,1645144
,BALAJITELE,EQ,        55.65,                  6422729.55,112014
,BALAMINES,EQ,       267.95,                  8685018.90,32111
,BALAXI,BE,        65.05,                    58414.90,898
,BALKRISHNA,EQ,        21.00,                   227518.75,10602
,BALKRISIND,EQ,       717.70,                308067646.45,425717
,BALLARPUR,EQ,         1.00,                  9187213.35,9000279
,BALMLAWRIE,EQ,       173.30,                  6911938.65,39715
,BALPHARMA,EQ,        46.80,                   301182.70,6441
,BALRAMCHIN,EQ,       154.60,                328802351.90,2115151
,BANARBEADS,EQ,        43.20,                     3817.35,88
,BANARISUG,EQ,      1404.40,                   353729.30,252
,BANCOINDIA,EQ,       107.45,                  1747966.25,16381
,BANG,EQ,        34.80,                   253278.25,7209
,BANKBEES,EQ,      2954.03,                 14603147.90,4938
,BANKINDIA,EQ,        76.50,                649968861.15,8391943
,BANSAL,SM,         5.20,                    15700.00,3000
,BANSWRAS,EQ,        65.55,                   102022.50,1548
,BARTRONICS,EQ,         3.30,                    23299.45,7247
,BASF,EQ,      1055.65,                  5000916.30,4726
,BASML,EQ,       136.25,                    30012.15,221
,BATAINDIA,EQ,      1306.50,                893871443.10,689125
,BAYERCROP,EQ,      3162.25,                 17731600.60,5600
,BBL,EQ,       935.70,                  2096073.95,2250
,BBTC,EQ,       885.70,                 38260594.80,43584
,BCG,EQ,         3.35,                  1292320.70,390394
,BCONCEPTS,SM,        39.50,                   955950.00,24000
,BDL,EQ,       298.35,                  4340139.30,14508
