,09-Jul-19,,,,,,
The Nifty witnessed an intraday movement of about 121.55 points.The closing index was 0.02 % down as compared to the previous closing index.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),34591.7,,,,,
, Traded Quantity (in Lakhs),13314.8,,,,,
, Number of Trades,11724313,,,,,
, Total Market Capitalisation (Rs. Crores),14648561.64,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,HDFCBANK,EQ,2409.6,2379.15,-1.26,983.43,
,BAJAJFINSV,EQ,7593.05,7855.4,3.46,980.05,
,TCS,EQ,2175.4,2133.35,-1.93,846.73,
,MARUTI,EQ,6038.7,5945.45,-1.54,801.52,
,LT,EQ,1490.35,1526.6,2.43,655.52,
,HDFC,EQ,2259.95,2232.8,-1.2,643.92,
,SUNPHARMA,EQ,366.8,386.4,5.34,594.31,
,SBIN,EQ,355.3,359.5,1.18,592.53,
,INDUSINDBK,EQ,1476.5,1492.1,1.06,555.55,
,AXISBANK,EQ,782.9,786.2,0.42,505.19,
,ICICIBANK,EQ,425.9,428.5,0.61,499.71,
,IOC,EQ,144.05,151.4,5.1,487.73,
,JUSTDIAL,EQ,771.95,812.25,5.22,477.65,
,UPL,EQ,662.1,640.05,-3.33,476.26,
,RECLTD,EQ,160.45,137.3,-14.43,472.63,
,MINDTREE,EQ,769.25,772.45,0.42,412.76,
,INFY,EQ,717.6,715.5,-0.29,358.51,
,ADANIPOWER,EQ,62.1,67.15,8.13,339.38,
,KOTAKBANK,EQ,1475.3,1462.85,-0.84,334.97,
,PFC,EQ,127.5,128.35,0.67,321.41,
,,,,,,,
,Top Five Nifty 50 Gainers:,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
,BAJFINANCE,EQ,3603.1,3413.3,5.56,,
,SUNPHARMA,EQ,386.4,366.8,5.34,,
,IOC,EQ,151.4,144.05,5.1,,
,BAJAJFINSV,EQ,7855.4,7593.05,3.46,,
,HEROMOTOCO,EQ,2444.1,2380.15,2.69,,
,,,,,,,
,Top Five Nifty 50 Losers:,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,,
,TITAN,EQ,1098.95,1252.45,-12.26,,
,UPL,EQ,640.05,662.1,-3.33,,
,TCS,EQ,2133.35,2175.4,-1.93,,
,YESBANK,EQ,91.35,93.15,-1.93,,
,HCL TECHNOLOGIES LTD,EQ,1020.75,1039.05,-1.76,,
,,,,,,,
,Securities Price Volume Data in Normal market,,,,,,
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,,
,1003GS2019,GS,59.17,59.17,1,,
,20MICRONS,EQ,36.55,430723.85,11739,,
,21STCENMGM,EQ,17.6,985.6,56,,
,3IINFOTECH,EQ,3.25,4305505.25,1359862,,
,3MINDIA,EQ,21848.55,58768399.45,2673,,
,3PLAND,EQ,8.3,6729.1,845,,
,5PAISA,EQ,222.2,346560.35,1571,,
,63MOONS,EQ,97.1,22948912.1,231028,,
,8KMILES,EQ,85.35,9728950.15,112976,,
,A2ZINFRA,EQ,10.95,1335196.55,121245,,
,AARON,SM,47.9,143700,3000,,
,AARTIDRUGS,EQ,524.75,3368714.25,6511,,
,AARTIIND,BE,1672.8,138090382,82038,,
,AARVEEDEN,EQ,18.85,39394.65,2128,,
,AARVI,SM,36,577900,16000,,
,AAVAS,EQ,1496.65,112015111.4,74064,,
,ABAN,EQ,37.4,1715772.1,47379,,
,ABBOTINDIA,EQ,8735.4,16362499.1,1880,,
,ABCAPITAL,EQ,89.9,88762829.95,986561,,
,ABFRL,EQ,203.3,62345769.75,304285,,
,ABSLNN50ET,EQ,268,1345.12,5,,
,ABSLRIF6RG,MF,7.1,42636,6000,,
,ACCELYA,EQ,857.55,1319928,1534,,
,ACCURACY,SM,48.75,236000,4800,,
,ACE,EQ,87.05,11732259.55,133085,,
