,25-Jul-2019
The Nifty witnessed an intraday movement of about 122.05 points.The closing index was 0.17 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 39367.79
, Traded Quantity (in Lakhs), 18040.42
, Number of Trades, 12953918
, Total Market Capitalisation (Rs. Crores), 14181368.07

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHOPTFBR,EQ,         9.10,                  1784420.95,194418
,AKZOINDIA,EQ,      1730.65,                  3492121.85,2021
,ALANKIT,EQ,        25.10,                  8458655.85,337416
,ALBERTDAVD,EQ,       371.55,                   395626.60,1063
,ALBK,EQ,        40.35,                102309381.90,2558919
,ALCHEM,BE,         1.15,                     1307.85,1138
,ALEMBICLTD,EQ,        42.70,                  2343246.55,54777
,ALICON,EQ,       492.00,                   388982.65,776
,ALKALI,EQ,        37.00,                    36693.00,1012
,ALKEM,EQ,      1815.15,                 36294657.75,20147
,ALKYLAMINE,EQ,       757.90,                  1001332.30,1307
,ALLCARGO,EQ,       100.15,                  5637745.95,56732
,ALLSEC,EQ,       296.35,                  1339454.70,4520
,ALMONDZ,EQ,        14.30,                    72513.40,5306
,ALOKTEXT,EQ,         3.00,                  9781418.40,3266757
,ALPA,EQ,        17.90,                  1003657.55,55018
,ALPHAGEO,EQ,       305.15,                  6789149.85,21921
,ALPSINDUS,BE,          .60,                     2247.00,3745
,AMARAJABAT,EQ,       635.95,                210402567.65,330436
,AMBANIORG,SM,        66.00,                   132000.00,2000
,AMBER,EQ,       806.35,                  3827347.60,4735
,AMBIKCO,EQ,       934.40,                  1713954.30,1830
,AMDIND,EQ,        15.50,                    58701.40,3791
,AMJLAND,EQ,        17.00,                    44657.95,2629
,AMRUTANJAN,EQ,       294.65,                  4235953.85,14147
,ANANTRAJ,EQ,        27.65,                  3297722.00,118382
,ANDHRABANK,EQ,        21.80,                 10900575.55,498770
,ANDHRACEMT,EQ,         2.95,                   311566.00,106207
,ANDHRSUGAR,EQ,       284.35,                  3887316.70,13648
,ANIKINDS,EQ,         8.80,                    51625.70,6052
,ANKITMETAL,BE,          .65,                    17727.85,29102
,ANSALAPI,EQ,         4.65,                   167473.40,35985
,ANSALHSG,EQ,         4.70,                    62686.45,13053
,ANTGRAPHIC,BE,          .90,                    28078.50,32871
,ANUP,EQ,       480.75,                  3651563.35,7628
,APARINDS,EQ,       526.30,                  1713182.70,3253
,APCL,EQ,       152.20,                    76102.40,498
,APCOTEXIND,EQ,       187.40,                  1404475.20,7456
,APEX,EQ,       232.55,                  9857258.85,42001
,APLAPOLLO,EQ,      1466.45,                 15905316.10,10773
,APLLTD,EQ,       536.75,                 11078631.00,20672
,APOLLO,EQ,        91.70,                  3151152.85,34612
,APOLLOHOSP,EQ,      1343.60,                521522887.60,391683
,APOLLOTYRE,EQ,       161.35,                419386755.40,2589689
,APOLSINHOT,EQ,       896.35,                   148738.10,166
,APTECHT,EQ,       129.85,                 95468444.35,749765
,ARCHIDPLY,EQ,        27.45,                   297513.55,10812
,ARCHIES,EQ,        18.30,                   292244.75,15909
,ARCOTECH,EQ,         2.60,                    44786.65,17105
,ARIES,EQ,        50.35,                   748560.30,14759
,ARIHANT,EQ,        20.00,                      400.00,20
,ARIHANTSUP,EQ,        37.75,                  1318661.65,35042
,ARMANFIN,EQ,       406.00,                  1091642.35,2683
,AROGRANITE,EQ,        36.65,                   252113.70,6860
,ARROWGREEN,BE,        55.55,                   179405.35,3246
,ARROWTEX,EQ,        11.25,                   124121.95,10628
,ARSHIYA,EQ,        17.10,                   330942.65,19310
,ARSSINFRA,EQ,        28.30,                   203492.20,7163
,ARVEE,SM,        55.00,                   110000.00,2000
,ARVIND,EQ,        58.50,                338661652.10,5754687
,ARVINDFASN,EQ,       651.90,                 10938680.10,16735
,ARVSMART,EQ,        93.75,                   716562.05,7743
,ASAHIINDIA,EQ,       200.50,                  2030873.20,10107
,ASAHISONG,EQ,       128.60,                   259244.35,2005
,ASAL,EQ,        39.30,                    90995.55,2297
,ASHAPURMIN,EQ,        22.85,                  1156758.40,50624
,ASHIANA,EQ,       113.50,                  2071948.25,18105
,ASHIMASYN,EQ,         8.15,                   175637.20,21998
,ASHOKA,EQ,       120.10,                 31001098.95,262630
,ASIANHOTNR,EQ,       116.30,                   265697.65,2246
,ASIANTILES,EQ,       221.00,                 11107535.65,50327
,ASPINWALL,EQ,       136.55,                   247954.85,1787
,ASSAMCO,BE,         1.15,                   176060.15,152876
,ASTEC,EQ,       329.35,                  3677723.60,10929
,ASTERDM,EQ,       123.00,                  8591969.80,69844
,ASTRAL,EQ,      1204.80,                 39056821.20,32389
,ASTRAMICRO,EQ,        80.00,                 17713455.75,223351
,ASTRAZEN,EQ,      1852.10,                 20962230.20,11268
,ASTRON,EQ,        95.85,                 26767190.30,280598
,ATFL,EQ,       502.20,                  6382708.25,12763
,ATLANTA,EQ,         8.20,                    78389.60,9531
,ATLASCYCLE,BE,        40.75,                   109333.85,2649
,ATNINTER,BE,          .25,                     6814.90,32718
,ATUL,EQ,      3678.30,                 29365257.95,8024
,ATULAUTO,EQ,       247.05,                  3090610.40,12264
,AUBANK,EQ,       634.10,                209715297.45,328573
,AURIONPRO,EQ,       103.45,                   952992.20,9223
,AUSOMENT,EQ,        33.45,                     6051.75,180
,AUTOAXLES,EQ,       805.55,                 25465116.40,31176
,AUTOIND,EQ,        43.00,                   247002.10,5694
,AUTOLITIND,BZ,        24.85,                    13779.45,580
,AVADHSUGAR,EQ,       265.65,                 11991335.95,44526
,AVANTIFEED,EQ,       319.10,                 67093220.65,208314
,AVSL,SM,        32.40,                   486000.00,15000
,AVTNPL,EQ,        21.85,                   196640.70,9004
,AXISCADES,EQ,        64.75,                 22853085.40,336959
,AXISGOLD,EQ,      3055.00,                    42874.80,14
,AXISNIFTY,EQ,      1164.64,                    96568.42,83
,AYMSYNTEX,EQ,        31.25,                   171715.50,5606
,BAFNAPHARM,BE,         5.95,                    19368.70,3248
,BAGFILMS,EQ,         3.10,                   198371.90,63317
,BAJAJCON,EQ,       289.30,                 32756068.80,115786
,BAJAJELEC,EQ,       408.95,                 44708260.10,108842
,BAJAJHIND,EQ,         6.80,                  5931667.40,857273
,BALAJITELE,EQ,        55.75,                  1480413.80,26142
,BALAMINES,EQ,       240.60,                 25010225.00,102266
,BALAXI,BE,        66.30,                   125105.50,1994
,BALKRISHNA,EQ,        21.60,                   137005.95,6381
,BALKRISIND,EQ,       725.15,                270486439.75,375145
,BALLARPUR,EQ,          .95,                   269494.10,283678
,BALMLAWRIE,EQ,       172.85,                  6814640.75,39368
,BALPHARMA,EQ,        45.40,                   328205.25,7134
,BALRAMCHIN,EQ,       151.15,                213566695.35,1410656
,BANARBEADS,EQ,        44.10,                    18210.65,419
