,19-Jul-2019
The Nifty witnessed an intraday movement of about 241.05 points.The closing index was 1.53 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34070.45
, Traded Quantity (in Lakhs), 14659.37
, Number of Trades, 12619226
, Total Market Capitalisation (Rs. Crores), 14367707.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKZOINDIA,EQ,      1727.65,                  3710123.55,2148
,ALANKIT,EQ,        26.80,                 11975365.75,443230
,ALBERTDAVD,EQ,       376.80,                   572327.45,1512
,ALBK,EQ,        41.00,                 80441694.90,1953019
,ALCHEM,BE,         1.10,                      528.00,480
,ALEMBICLTD,EQ,        42.50,                  3644918.85,85872
,ALICON,EQ,       515.85,                   290084.60,561
,ALKALI,EQ,        37.70,                   104674.55,2767
,ALKEM,EQ,      1798.45,                 45724071.70,25683
,ALKYLAMINE,EQ,       793.70,                  2362087.00,2984
,ALLCARGO,EQ,        99.60,                  8437127.75,85097
,ALLSEC,EQ,       309.25,                  2720245.20,8781
,ALMONDZ,EQ,        16.20,                    83877.00,5273
,ALOKTEXT,EQ,         3.00,                  6629764.95,2217578
,ALPA,EQ,        19.70,                  1721675.15,90218
,ALPHAGEO,EQ,       353.15,                  1318246.30,3739
,ALPSINDUS,BE,          .80,                     1614.40,2018
,AMARAJABAT,EQ,       610.65,                940517337.55,1537746
,AMBANIORG,SM,        70.00,                  2100000.00,30000
,AMBER,EQ,       833.15,                  8220025.50,9841
,AMBIKCO,EQ,       990.45,                  2299308.10,2333
,AMDIND,EQ,        15.90,                   115613.25,7143
,AMJLAND,EQ,        17.20,                    52620.70,3068
,AMRUTANJAN,EQ,       297.50,                  3389598.80,11393
,ANANTRAJ,EQ,        29.30,                  8708431.10,293474
,ANDHRABANK,EQ,        22.10,                  8408543.45,380239
,ANDHRACEMT,EQ,         3.50,                   112845.50,31963
,ANDHRSUGAR,EQ,       293.00,                 10080698.05,34317
,ANIKINDS,EQ,         8.65,                   112458.45,12732
,ANKITMETAL,BE,          .50,                     8673.65,16952
,ANSALAPI,EQ,         4.90,                   211538.70,43705
,ANSALHSG,EQ,         4.95,                   118646.60,24235
,ANTGRAPHIC,BE,          .90,                    29790.10,34533
,ANUP,EQ,       475.70,                  4411039.25,9322
,APARINDS,EQ,       527.60,                  9838955.85,18628
,APCL,EQ,       152.35,                   676691.25,4328
,APCOTEXIND,EQ,       194.05,                  5146973.75,26217
,APEX,EQ,       236.10,                 18609266.35,79080
,APLAPOLLO,EQ,      1499.55,                 32376822.50,21832
,APLLTD,EQ,       520.65,                  7589670.65,14631
,APOLLO,EQ,        99.20,                  2911291.65,29102
,APOLLOHOSP,EQ,      1373.45,                407485062.50,294619
,APOLLOTYRE,EQ,       174.80,                578170783.85,3277411
,APOLSINHOT,EQ,       871.60,                   630775.70,719
,APTECHT,EQ,       121.80,                 16973163.65,136977
,ARCHIDPLY,EQ,        29.00,                   257611.70,8851
,ARCHIES,EQ,        19.35,                   615693.80,31624
,ARCOTECH,EQ,         2.65,                   115875.05,43607
,ARIES,EQ,        51.80,                  2399399.15,45736
,ARIHANT,EQ,        21.50,                    24726.00,1124
,ARIHANTSUP,EQ,        37.85,                  1004754.30,25898
,ARMANFIN,EQ,       391.05,                  1827312.60,4589
,AROGRANITE,EQ,        40.20,                   222677.90,5476
,ARROWGREEN,BE,        58.90,                   679908.40,11242
,ARROWTEX,EQ,        10.95,                   105821.90,9515
,ARSHIYA,EQ,        17.60,                   389356.90,21040
,ARSSINFRA,EQ,        32.55,                   192761.45,5877
,ARVEE,SM,        55.00,                   110000.00,2000
,ARVIND,EQ,        57.40,                340212296.55,5848454
,ARVINDFASN,EQ,       649.95,                 27558213.15,42235
,ARVSMART,EQ,        92.85,                   802647.00,8662
,ASAHIINDIA,EQ,       200.25,                  5341997.85,26645
,ASAHISONG,EQ,       131.00,                   173531.75,1346
,ASAL,EQ,        40.00,                   505951.50,12598
,ASHAPURMIN,EQ,        18.95,                  2485712.50,131328
,ASHIANA,EQ,       114.85,                  6421697.20,55626
,ASHIMASYN,EQ,         8.90,                   307836.10,34015
,ASHOKA,EQ,       122.40,                 15541325.10,126106
,ASIANHOTNR,EQ,       120.20,                   170707.85,1426
,ASIANTILES,EQ,       222.50,                 23053740.00,104647
,ASPINWALL,EQ,       144.80,                     4475.50,31
,ASSAMCO,BE,         1.20,                   119511.70,99282
,ASTEC,EQ,       324.50,                  4414850.70,13552
,ASTERDM,EQ,       126.45,                 31978785.25,254271
,ASTRAL,EQ,      1278.15,                 24386884.05,19086
,ASTRAMICRO,EQ,        77.90,                  5778670.25,74149
,ASTRAZEN,EQ,      1891.45,                 11314499.20,5911
,ASTRON,EQ,       101.30,                 38492571.35,378601
,ATFL,EQ,       482.30,                  2772043.75,5655
,ATLANTA,EQ,         8.55,                   179986.15,20988
,ATLASCYCLE,BE,        42.00,                   475593.10,11284
,ATNINTER,BE,          .20,                     5509.40,21962
,ATUL,EQ,      3670.20,                174744320.20,47137
,ATULAUTO,EQ,       262.70,                  3852890.25,14577
,AUBANK,EQ,       659.35,                 72817786.60,109645
,AURIONPRO,EQ,       102.40,                  2321999.40,22197
,AUSOMENT,EQ,        33.85,                    28218.40,806
,AUTOAXLES,EQ,       884.45,                  9084183.25,10080
,AUTOIND,EQ,        46.85,                   597568.05,12732
,AUTOLITIND,BZ,        26.95,                    12483.90,502
,AVADHSUGAR,EQ,       262.65,                 21687249.20,80641
,AVANTIFEED,EQ,       313.85,                136090467.05,426646
,AVG,SM,        79.75,                   194460.00,2400
,AVSL,SM,        32.00,                    96000.00,3000
,AVTNPL,EQ,        22.35,                  1059394.60,47025
,AXISCADES,EQ,        67.55,                 34998761.85,524824
,AXISGOLD,EQ,      3075.90,                   891594.50,289
,AXISNIFTY,EQ,      1176.35,                    84845.53,72
,AYMSYNTEX,EQ,        32.95,                   920002.40,28921
,BAFNAPHARM,BE,         6.40,                    12647.90,1976
,BAGFILMS,EQ,         3.05,                   149006.95,48446
,BAJAJCON,EQ,       298.70,                 83154784.40,277495
,BAJAJELEC,EQ,       451.85,                 25845141.20,57116
,BAJAJHIND,EQ,         7.05,                  7448045.40,1050472
,BALAJITELE,EQ,        53.15,                  1433619.85,27001
,BALAMINES,EQ,       284.10,                  9563726.10,33197
,BALAXI,BE,        75.80,                    44218.15,582
,BALKRISHNA,EQ,        24.75,                   181481.25,7123
,BALKRISIND,EQ,       728.65,                351405627.20,474180
,BALLARPUR,EQ,         1.15,                  1069543.75,921145
,BALMLAWRIE,EQ,       175.75,                  9190189.20,51993
,BALPHARMA,EQ,        49.25,                   382732.65,7746
,BALRAMCHIN,EQ,       146.80,                136293844.00,919768
,BANARBEADS,EQ,        44.00,                    63100.20,1430
,BANARISUG,EQ,      1405.00,                   890145.90,634
,BANCOINDIA,EQ,       105.40,                  2844045.60,26936
,BANG,EQ,        37.15,                   684272.30,18352
,BANKA,SM,        95.65,                   114780.00,1200
