,11-Jul-2019
The Nifty witnessed an intraday movement of about 79.5 points.The closing index was 0.73 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.81
, Traded Quantity (in Lakhs), 11997.04
, Number of Trades, 10107996
, Total Market Capitalisation (Rs. Crores), 14640787.98

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALPA,EQ,        17.25,                   245187.60,14098
,ALPHAGEO,EQ,       374.85,                  1658256.15,4369
,AMARAJABAT,EQ,       650.00,                214395977.05,331582
,AMBER,EQ,       845.20,                 11222179.90,13348
,AMBIKCO,EQ,      1034.60,                  1738795.70,1677
,AMDIND,EQ,        17.35,                    43375.60,2484
,AMJLAND,EQ,        17.40,                   565829.55,32438
,AMJUMBO,SM,        13.60,                   646400.00,48000
,AMRUTANJAN,EQ,       304.00,                  6215450.25,20579
,ANANTRAJ,EQ,        30.20,                  3103496.40,102710
,ANDHRABANK,EQ,        22.70,                  9989838.85,440109
,ANDHRACEMT,EQ,         3.75,                   105941.50,28256
,ANDHRSUGAR,EQ,       308.60,                  5457460.60,17530
,ANIKINDS,EQ,         9.75,                    12781.25,1306
,ANKITMETAL,BE,          .50,                    10542.80,23682
,ANSALAPI,EQ,         5.00,                   108724.05,21723
,ANSALHSG,EQ,         5.35,                   233139.90,43772
,ANTGRAPHIC,BE,          .90,                    49199.25,57140
,ANUP,EQ,       473.50,                  3220853.40,6752
,APARINDS,EQ,       565.15,                  1112536.30,1964
,APCL,EQ,       161.50,                   107477.50,667
,APCOTEXIND,EQ,       210.65,                  1110467.80,5240
,APEX,EQ,       251.75,                  7401751.80,29278
,APLAPOLLO,EQ,      1575.50,                 10166175.70,6409
,APLLTD,EQ,       539.15,                 70901543.10,131667
,APOLLO,EQ,       113.85,                   590378.15,5174
,APOLLOHOSP,EQ,      1315.30,                738394099.05,560976
,APOLLOTYRE,EQ,       188.10,                286478264.50,1534438
,APOLSINHOT,EQ,       869.10,                  3152301.10,3687
,APTECHT,EQ,       136.35,                 16623490.40,122308
,ARCHIDPLY,EQ,        29.80,                   317601.10,10635
,ARCHIES,EQ,        19.95,                   333180.45,16698
,ARCOTECH,EQ,         2.75,                    39109.20,13968
,ARIES,EQ,        60.05,                   423041.80,7073
,ARIHANT,EQ,        22.00,                    17084.30,762
,ARIHANTSUP,EQ,        45.30,                  2251017.20,48647
,ARMANFIN,EQ,       408.30,                  1689143.50,4121
,AROGRANITE,EQ,        42.90,                   577433.80,13350
,ARROWGREEN,BE,        70.40,                    22387.20,318
,ARROWTEX,EQ,        12.00,                    19310.45,1597
,ARSHIYA,EQ,        17.45,                  6173704.45,354399
,ARSSINFRA,EQ,        36.00,                    67552.50,1878
,ARTEDZ,SM,        29.85,                    89550.00,3000
,ARVIND,EQ,        62.35,                266565181.00,4376357
,ARVINDFASN,EQ,       660.20,                 14460037.80,21824
,ARVSMART,EQ,        98.65,                  1048838.95,10549
,ASAHIINDIA,EQ,       203.85,                  6467778.00,31899
,ASAHISONG,EQ,       131.90,                   464962.05,3578
,ASAL,EQ,        43.60,                    67008.95,1536
,ASHAPURMIN,EQ,        17.45,                   314684.85,17952
,ASHIANA,EQ,       116.20,                  5209167.40,45171
,ASHIMASYN,EQ,         9.80,                   193114.25,19913
,ASHOKA,EQ,       129.80,                 20025584.80,151654
,ASIANHOTNR,EQ,       121.15,                   123693.30,1007
,ASIANTILES,EQ,       222.75,                 39293732.35,182988
,ASPINWALL,EQ,       145.00,                    21448.10,150
,ASSAMCO,BE,         1.35,                    43596.90,32294
,ASTEC,EQ,       422.55,                   434524.25,1030
,ASTERDM,EQ,       120.55,                 15713296.50,132129
,ASTRAL,EQ,      1314.00,                 11988347.05,9114
,ASTRAMICRO,EQ,        81.60,                  1077299.15,13193
,ASTRAZEN,EQ,      2007.35,                  6958823.90,3457
,ASTRON,EQ,       105.30,                  7900075.60,74479
,ATFL,EQ,       495.00,                  1392556.90,2810
,ATLANTA,EQ,         9.65,                   287837.65,30480
,ATLASCYCLE,BE,        36.25,                   119979.30,3269
,ATNINTER,BE,          .05,                       50.35,1007
,ATUL,EQ,      3731.10,                 48397237.60,12974
,ATULAUTO,EQ,       272.00,                  1467444.55,5366
,AUBANK,EQ,       672.65,                 46329577.30,69242
,AURIONPRO,EQ,       103.65,                   876621.00,8462
,AUSOMENT,EQ,        35.75,                    23784.05,684
,AUTOAXLES,EQ,       996.10,                  4141837.50,4149
,AUTOIND,EQ,        51.60,                   602549.60,11798
,AUTOLITIND,BZ,        26.90,                     3508.50,134
,AVADHSUGAR,EQ,       279.75,                 10765551.70,38275
,AVANTIFEED,EQ,       338.55,                 47552163.95,139889
,AVTNPL,EQ,        22.75,                   491710.50,21794
,AXISCADES,EQ,        59.25,                 12383352.50,212854
,AXISGOLD,EQ,      3028.05,                   793914.50,262
,AXISNIFTY,EQ,      1190.99,                    41620.90,35
,AYMSYNTEX,EQ,        34.60,                    89720.95,2568
,BABAFOOD,SM,        64.00,                   128000.00,2000
,BAFNAPHARM,BE,         5.90,                    43124.70,7466
,BAGFILMS,EQ,         3.25,                    25857.25,7860
,BAJAJCON,EQ,       317.00,                 34838421.25,108927
,BAJAJELEC,EQ,       469.05,                384276880.80,830836
,BAJAJHIND,EQ,         7.25,                  3618886.20,499091
,BALAJITELE,EQ,        55.75,                  2787270.25,50839
,BALAMINES,EQ,       338.65,                  3672644.40,10780
,BALAXI,BE,        72.55,                   322881.05,4451
,BALKRISHNA,EQ,        26.55,                   106723.80,3894
,BALKRISIND,EQ,       732.05,                291495807.50,398507
,BALLARPUR,EQ,         1.45,                  4973841.20,3412345
,BALMLAWRIE,EQ,       180.80,                  4212663.45,23268
,BALPHARMA,EQ,        51.20,                   530435.05,10252
,BALRAMCHIN,EQ,       147.95,                137753645.20,918297
,BANARBEADS,EQ,        44.00,                    37372.45,849
,BANARISUG,EQ,      1408.35,                   175455.40,124
,BANCOINDIA,EQ,       118.40,                  1034368.15,8780
,BANG,EQ,        34.05,                   204424.75,5808
,BANKBEES,EQ,      3136.35,                  6557411.63,2093
,BANKINDIA,EQ,        86.85,                697559350.25,8097948
,BANSAL,SM,         5.10,                    10200.00,2000
,BANSWRAS,EQ,        64.65,                   295380.50,4529
,BARTRONICS,EQ,         3.60,                    40241.35,11514
,BASF,EQ,      1196.65,                 10267749.65,8576
,BASML,EQ,       151.10,                  1581434.85,10521
,BATAINDIA,EQ,      1342.15,               2154203100.35,1606390
,BAYERCROP,EQ,      3320.65,                 17444151.15,5299
,BBL,EQ,      1005.55,                  1496354.80,1491
,BBTC,EQ,       911.60,                 31011063.90,34149
,BBTCL,SM,        38.50,                   115500.00,3000
,BCG,EQ,         3.50,                   621995.75,176711
,BDL,EQ,       299.60,                  5959762.35,19841
,BEARDSELL,EQ,        13.50,                      961.95,69
,BEDMUTHA,EQ,        16.20,                   429602.15,26310
,BEL,EQ,       106.80,               1002295768.15,9482537
,BEML,EQ,       919.30,               2247066020.60,2488003
,BEPL,EQ,        64.40,                 12367959.30,192824
,BERGEPAINT,EQ,       304.55,                107783338.05,352497
,BFINVEST,EQ,       274.75,                 75352287.00,270182
,BFUTILITIE,EQ,       214.15,                343920586.70,1614484
,BGLOBAL,BE,         1.60,                    61108.30,37927
,BGRENERGY,EQ,        48.55,                  1743009.75,35703
,BHAGERIA,EQ,       246.30,                  4944065.75,19668
,BHAGYANGR,EQ,        24.35,                    35807.90,1475
,BHAGYAPROP,EQ,        23.95,                    13346.90,578
,BHANDARI,EQ,         1.60,                    98100.80,59337
,BHARATFORG,EQ,       464.60,                970405659.70,2118840
,BHARATGEAR,EQ,        91.95,                   253128.85,2760
,BHARATRAS,EQ,      4085.60,                  2253986.55,550
,BHARATWIRE,EQ,        33.10,                   595484.25,18041
,BIGBLOC,EQ,        28.75,                     6733.05,236
,BIL,BE,       297.05,                   380338.30,1291
,BILENERGY,EQ,         3.20,                   181132.80,56604
,BINANIIND,BZ,        17.15,                   111770.90,6573
