symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2016-04-08,106911,27849,26.05
ADANIPORTS,EQ,2016-04-08,1631016,490170,30.05
BEL,EQ,2016-04-08,170376,56366,33.08
BOSCHLTD,EQ,2016-04-08,10588,5239,49.48
CUMMINSIND,EQ,2016-04-08,67789,29966,44.20
DLF,EQ,2016-04-08,13325258,2525070,18.95
HINDALCO,EQ,2016-04-08,10212068,3213965,31.47
INDHOTEL,EQ,2016-04-08,270725,197033,72.78
INDIGO,EQ,2016-04-08,1145554,393081,34.31
LT,EQ,2016-04-08,1043359,261085,25.02
MANAPPURAM,EQ,2016-04-08,7679311,3711087,48.33
MANAPPURAM,N5,2016-04-08,1,1,100.00
MANAPPURAM,N6,2016-04-08,2,0,0.00
MARUTI,EQ,2016-04-08,1631533,1097854,67.29
PGEL,EQ,2016-04-08,59013,22873,38.76
SBIN,EQ,2016-04-08,15805231,3846954,24.34
SBIN,N2,2016-04-08,19,19,100.00
SBIN,N5,2016-04-08,157,148,94.27
SUZLON,EQ,2016-04-08,13141149,3880010,29.53
TRENT,EQ,2016-04-08,536,221,41.23
