symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2022-09-08,3318.20,3310.25,0.0024,0.0216,0.0215,0.4108
ADANIPORTS,2022-09-08,885.05,874.90,0.0115,0.0230,0.0229,0.4375
BEL,2022-09-08,328.15,329.25,-0.0033,0.0221,0.0220,0.4203
BOSCHLTD,2022-09-08,17244.70,17310.10,-0.0038,0.0200,0.0199,0.3802
CUMMINSIND,2022-09-08,1233.35,1226.25,0.0058,0.0186,0.0186,0.3554
DIXON,2022-09-08,4392.60,4362.80,0.0068,0.0257,0.0257,0.4910
DLF,2022-09-08,397.20,399.40,-0.0055,0.0264,0.0263,0.5025
DMART,2022-09-08,4406.05,4426.50,-0.0046,0.0210,0.0209,0.3993
HAL,2022-09-08,2421.80,2413.25,0.0035,0.0223,0.0223,0.4260
HINDALCO,2022-09-08,420.55,432.85,-0.0288,0.0269,0.0269,0.5139
INDHOTEL,2022-09-08,309.40,307.50,0.0062,0.0249,0.0248,0.4738
INDIGO,2022-09-08,1940.65,1978.00,-0.0191,0.0247,0.0246,0.4700
LT,2022-09-08,1974.40,1958.10,0.0083,0.0172,0.0172,0.3286
MANAPPURAM,2022-09-08,105.50,105.85,-0.0033,0.0267,0.0267,0.5101
MARUTI,2022-09-08,8790.60,8784.45,0.0007,0.0188,0.0188,0.3592
PAYTM,2022-09-08,707.00,706.75,0.0004,0.0292,0.0292,0.5579
PGEL,2022-09-08,899.85,897.85,0.0022,0.0357,0.0356,0.6801
SBIN,2022-09-08,544.65,532.85,0.0219,0.0191,0.0191,0.3649
SUZLON,2022-09-08,10.15,10.45,-0.0291,0.0392,0.0391,0.7470
TRENT,2022-09-08,1407.05,1413.25,-0.0044,0.0233,0.0232,0.4432
