symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2018-07-24,1168.25,1143.40,0.0215,0.0156,,0.3057
ADANIPORTS,2018-07-24,392.60,383.75,0.0228,0.0163,,0.3210
BEL,2018-07-24,106.90,102.80,0.0391,0.0321,,0.6228
BOSCHLTD,2018-07-24,18729.85,17993.65,0.0401,0.0144,,0.3267
CUMMINSIND,2018-07-24,670.15,636.05,0.0522,0.0139,,0.3554
DIXON,2018-07-24,2838.05,2859.60,-0.0076,0.0161,,0.2999
DLF,2018-07-24,189.10,177.65,0.0625,0.0252,,0.5502
DMART,2018-07-24,1571.65,1531.60,0.0258,0.0157,,0.3152
HAL,2018-07-24,782.20,773.20,0.0116,0.0140,,0.2656
HINDALCO,2018-07-24,207.60,196.15,0.0567,0.0266,,0.5598
INDHOTEL,2018-07-24,128.45,128.45,0.0000,0.0151,,0.2789
INDIGO,2018-07-24,1041.60,1054.90,-0.0127,0.0218,,0.4088
LT,2018-07-24,1324.00,1279.15,0.0345,0.0131,,0.2923
MANAPPURAM,2018-07-24,103.00,101.75,0.0122,0.0178,,0.3343
MARUTI,2018-07-24,9832.45,9701.00,0.0135,0.0127,,0.2426
PGEL,2018-07-24,179.40,171.50,0.0450,0.0404,,0.7776
SBIN,2018-07-24,266.85,266.35,0.0019,0.0154,,0.2847
SUZLON,2018-07-24,8.40,7.45,0.1200,0.0247,,0.7241
TRENT,2018-07-24,338.00,327.15,0.0326,0.0193,,0.3878
