symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2018-07-17,1182.90,1194.60,-0.0098,0.0158,,0.2961
ADANIPORTS,2018-07-17,366.70,360.05,0.0183,0.0146,,0.2828
BEL,2018-07-17,104.05,101.00,0.0298,0.0305,,0.5827
BOSCHLTD,2018-07-17,17414.05,17368.85,0.0026,0.0148,,0.2751
CUMMINSIND,2018-07-17,628.80,624.40,0.0070,0.0155,,0.2885
DIXON,2018-07-17,2912.05,2863.25,0.0169,0.0165,,0.3152
DLF,2018-07-17,179.95,178.05,0.0106,0.0228,,0.4260
DMART,2018-07-17,1561.65,1548.05,0.0087,0.0172,,0.3210
HAL,2018-07-17,816.25,813.60,0.0033,0.0144,,0.2675
HINDALCO,2018-07-17,219.50,213.05,0.0298,0.0213,,0.4184
INDHOTEL,2018-07-17,129.35,125.45,0.0306,0.0156,,0.3229
INDIGO,2018-07-17,1120.00,1100.85,0.0172,0.0232,,0.4375
LT,2018-07-17,1286.85,1283.10,0.0029,0.0130,,0.2407
MANAPPURAM,2018-07-17,99.85,98.90,0.0096,0.0204,,0.3802
MARUTI,2018-07-17,9445.40,9385.30,0.0064,0.0113,,0.2121
PGEL,2018-07-17,186.60,187.90,-0.0069,0.0453,,0.8406
SBIN,2018-07-17,259.05,251.60,0.0292,0.0155,,0.3171
SUZLON,2018-07-17,7.20,7.05,0.0211,0.0233,,0.4432
TRENT,2018-07-17,330.75,335.35,-0.0138,0.0216,,0.4050
