symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2015-11-13,1206.65,1224.30,-0.0145,0.0209,,0.3936
ADANIPORTS,2015-11-13,267.35,267.50,-0.0006,0.0203,,0.3764
BEL,2015-11-13,1235.75,1272.70,-0.0295,0.0202,,0.3993
BOSCHLTD,2015-11-13,18986.80,19148.50,-0.0085,0.0164,,0.3057
CUMMINSIND,2015-11-13,1011.70,1033.20,-0.0210,0.0163,,0.3171
DLF,2015-11-13,110.20,112.00,-0.0162,0.0314,,0.5865
HINDALCO,2015-11-13,77.40,80.30,-0.0368,0.0234,,0.4662
INDHOTEL,2015-11-13,94.55,96.40,-0.0194,0.0215,,0.4088
INDIGO,2015-11-13,1004.10,923.35,0.0838,0.0139,,0.4700
LT,2015-11-13,1331.20,1365.85,-0.0257,0.0161,,0.3210
MANAPPURAM,2015-11-13,23.00,23.45,-0.0194,0.0216,,0.4108
MARUTI,2015-11-13,4619.80,4746.75,-0.0271,0.0143,,0.2942
PGEL,2015-11-13,125.40,130.65,-0.0410,0.0628,,1.1788
SBIN,2015-11-13,240.25,243.15,-0.0120,0.0178,,0.3343
SUZLON,2015-11-13,22.35,22.20,0.0067,0.0289,,0.5368
TRENT,2015-11-13,1391.50,1406.75,-0.0109,0.0130,,0.2465
