symbol,announcement_date,announcement_timestamp,description,attachment_url,attachment_text,company_name,isin,industry,sequence_id,source
BOSCHLTD,2013-06-17,2013-06-17 20:16:00,Updates,https://nsearchives.nseindia.com/corporate/BOSCH_updatechairmanspeech_17062013_06172013201602_1.zip,"Bosch Limited has submitted to the Exchange a copy of the Statement (Chairman's Speech) by Dr. A. Hieronimus, Chairman, at the Annual General Meeting of the Company held on June 05, 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,575196,nse
BOSCHLTD,2013-06-28,2013-06-28 11:36:00,Change in Company Secretary/Compliance Officer,https://nsearchives.nseindia.com/corporate/BoscH_changecs_28062013_06282013113601_1.zip,"Bosch Limited has informed the Exchange that A. Vijay Shankar, Company Secretary and Compliance Officer, will after over 20 years of service in the Company retire at the close of office hours on June 30, 2013 upon attaining the age of superannuation.Mr. S. Karthik will succeed as  Company Secretary and Compliance Officer  (under the listing agreement) of the Company with effect from July 01, 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,583766,nse
BOSCHLTD,2013-08-06,2013-08-06 16:13:42,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30JUN2013_S_Q2H.zip,"Bosch Limited has submitted to the Exchange the Standalone Financial Results along with the Limited Review Report for the period ended June 30,2013.",Bosch Limited,INE323A01026,Auto Ancillaries,17218,nse
BOSCHLTD,2013-08-16,2013-08-16 09:36:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary buildup of inventory, it is proposed to suspend the manufacturing operations at the Company's following plants : Plant locations : Date of full suspension of production lines in August 2013; Nashik Plant : 16th and 17th of August 2013; Jaipur Plant : 19th, 21st to 23rd of August 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,615898,nse
BOSCHLTD,2013-09-16,2013-09-16 11:12:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary build-up of inventory, it is proposed to suspend the manufacturing operations at Company's Nashik Plant for a period of 3 days on September 16, 2013, September 17, 2013 and September 19, 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,637835,nse
BOSCHLTD,2013-09-24,2013-09-24 19:24:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary buildup of inventory, it is proposed to suspend the manufacturing operations at company's jaipur plant for a period of 5 days on September 25, 2013, September 26, 2013, September 27, 2013, September 28, 2013 and September 30, 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,645475,nse
BOSCHLTD,2013-10-11,2013-10-11 17:20:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary buildup of inventory, it is proposed to suspend the manufacturing operations at the Company's following plants: 1) Location: Jaipur plant, Dates : 12th and 19th of October 2013 and 28th October to November 02, 2013 2) Location : Bangalore plant, Dates : 15th and 31st of October 2013.",Bosch Limited,INE323A01026,Auto Ancillaries,660809,nse
BOSCHLTD,2013-10-21,2013-10-21 09:44:00,Updates,-,"Bosch Limited has informed the Exchange that with a view to adjust production to meet the demand for products and to avoid unnecessary buildup of inventory, it is proposed to suspend the manufacturing operations at the Company's Nashik plant on the following dates: Month : October 2013  ,Dates : 21st, 22nd and 23rd:Month : November 2013,Dates : 6th and 7th.",Bosch Limited,INE323A01026,Auto Ancillaries,666818,nse
BOSCHLTD,2013-11-12,2013-11-12 15:35:02,Financial Result Updates,https://nsearchives.nseindia.com/corporate/BOSCHLTD_30sep2013_S_11122013153502_.zip,Bosch Limited has submitted to the exchange the standalone financial results for the period ended 30-sep-2013.,Bosch Limited,INE323A01026,Auto Ancillaries,19030,nse
BOSCHLTD,2013-11-15,2013-11-15 09:36:00,Updates,https://nsearchives.nseindia.com/corporate/BOSH_update_15112013_11152013093602_1.zip,"Bosch Limited has informed the Exchange, vide letter dated November  15, 2013 regarding the ""Notice of 'Tool Down' strike by Union and Workmen of Bangalore Plant"".",Bosch Limited,INE323A01026,Auto Ancillaries,691274,nse
