symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2020-12-29,1217.55,1223.20,1227.90,1190.00,1195.10,1203.05,1210.12,154970,1875.32,5458,116112,74.93
ADANIPORTS,EQ,2020-12-29,483.55,485.00,489.85,478.20,482.25,483.40,484.50,5866837,28424.63,71303,834236,14.22
BEL,EQ,2020-12-29,114.60,115.20,116.20,113.95,114.90,114.75,115.21,6927360,7980.78,41319,2512093,36.26
BOSCHLTD,EQ,2020-12-29,12840.70,12890.00,12957.55,12719.75,12830.00,12834.05,12838.48,47137,6051.67,8377,10556,22.39
CUMMINSIND,EQ,2020-12-29,569.00,574.00,577.10,565.15,570.20,569.00,569.36,1115831,6353.04,32521,277363,24.86
DIXON,EQ,2020-12-29,13492.05,13744.00,13894.00,13360.00,13439.95,13402.35,13589.00,52847,7181.38,17197,26203,49.58
DLF,EQ,2020-12-29,233.20,234.85,236.45,228.60,231.60,231.45,232.10,11576761,26869.65,63926,1059097,9.15
DMART,EQ,2020-12-29,2678.00,2690.00,2694.70,2645.00,2675.00,2665.70,2673.81,345136,9228.26,22700,112712,32.66
HAL,EQ,2020-12-29,821.50,824.00,845.00,818.00,835.25,836.30,834.14,404732,3376.04,22671,148872,36.78
HINDALCO,EQ,2020-12-29,239.90,241.90,242.00,234.30,234.90,235.60,236.62,9405315,22254.51,60636,2748471,29.22
INDHOTEL,EQ,2020-12-29,122.95,122.95,124.75,121.60,122.70,122.45,122.82,2256713,2771.65,11610,1544506,68.44
INDIGO,EQ,2020-12-29,1687.90,1690.00,1714.00,1669.50,1691.70,1692.20,1688.67,1705739,28804.29,63256,291882,17.11
LT,EQ,2020-12-29,1289.40,1294.95,1295.05,1267.70,1286.20,1284.85,1281.22,3778319,48408.63,102729,1124386,29.76
MANAPPURAM,EQ,2020-12-29,167.40,167.85,168.40,165.60,166.20,166.35,166.82,4689236,7822.75,45911,633190,13.50
MARUTI,EQ,2020-12-29,7483.00,7520.00,7545.00,7418.30,7447.50,7452.35,7469.74,538719,40240.91,50326,143100,26.56
PGEL,EQ,2020-12-29,145.40,148.35,148.35,138.15,140.25,141.45,141.72,37522,53.18,763,24368,64.94
SBIN,EQ,2020-12-29,275.20,276.30,279.90,274.70,277.75,277.90,277.56,45032526,124992.51,237470,12390520,27.51
SBIN,N5,2020-12-29,10975.01,10970.00,10988.00,10960.75,10969.00,10966.85,10972.44,465,51.02,78,435,93.55
SBIN,N6,2020-12-29,10899.00,10899.00,10899.00,10865.00,10865.00,10881.28,10891.35,72,7.84,15,72,100.00
SUZLON,BE,2020-12-29,5.60,5.85,5.85,5.85,5.85,5.85,5.85,4783130,279.81,2310,-,-
TRENT,EQ,2020-12-29,684.60,687.95,690.00,669.00,671.90,672.05,675.79,577636,3903.62,19449,395682,68.50
