symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2018-02-26,1518.10,1523.25,-0.0034,0.0168,,0.3114
ADANIPORTS,2018-02-26,415.05,406.50,0.0208,0.0164,,0.3191
BEL,2018-02-26,155.20,150.95,0.0278,0.0230,,0.4451
BOSCHLTD,2018-02-26,19119.15,18920.60,0.0104,0.0105,,0.2006
CUMMINSIND,2018-02-26,820.80,820.30,0.0006,0.0202,,0.3745
DIXON,2018-02-26,3365.75,3285.45,0.0241,0.0285,,0.5407
DLF,2018-02-26,228.15,225.15,0.0132,0.0230,,0.4299
DMART,2018-02-26,1291.20,1300.25,-0.0070,0.0213,,0.3955
HINDALCO,2018-02-26,246.20,246.55,-0.0014,0.0173,,0.3210
INDHOTEL,2018-02-26,132.85,131.45,0.0106,0.0266,,0.4948
INDIGO,2018-02-26,1337.95,1285.00,0.0404,0.0152,,0.3382
LT,2018-02-26,1344.25,1301.70,0.0322,0.0143,,0.3038
MANAPPURAM,2018-02-26,109.40,108.25,0.0106,0.0267,,0.4967
MARUTI,2018-02-26,9005.35,8698.80,0.0346,0.0143,,0.3114
PGEL,2018-02-26,307.05,310.20,-0.0102,0.0501,,0.9285
SBIN,2018-02-26,274.45,276.05,-0.0058,0.0204,,0.3783
SUZLON,2018-02-26,13.00,13.00,0.0000,0.0222,,0.4108
TRENT,2018-02-26,310.65,313.00,-0.0075,0.0156,,0.2904
