symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2015-12-22,1146,1153,1126.2,1132.25,1129.05,1142,24970,28387347.25,2334,INE117A01022
ADANIPORTS,EQ,2015-12-22,261.3,261.3,256.35,257.6,256.65,260.6,1992099,515660268.5,23598,INE742F01042
BEL,EQ,2015-12-22,1255,1279,1251,1270.25,1269.15,1257.85,380810,483539544.6,11720,INE263A01016
BOSCHLTD,EQ,2015-12-22,18380,18500,17873.05,18036,18035,18287.4,46292,842670872.6,6237,INE323A01026
CUMMINSIND,EQ,2015-12-22,1036,1036,1014,1023.5,1022,1036.6,259081,266284984.85,4509,INE298A01020
DLF,EQ,2015-12-22,116.7,117.75,112.85,113.45,113.4,116.1,6661928,770675873,33740,INE271C01023
HINDALCO,EQ,2015-12-22,81.15,81.75,79.2,79.6,79.85,81.3,5451649,439959299,19644,INE038A01020
INDHOTEL,EQ,2015-12-22,114.25,114.7,111.15,112,111.5,113.2,308393,34864289.65,2859,INE053A01029
INDIGO,EQ,2015-12-22,1098.4,1179.4,1097.5,1164.75,1164.4,1082,2866202,3282761154.85,82030,INE646L01027
LT,EQ,2015-12-22,1291,1296.9,1276,1280.2,1278.25,1290.3,1748333,2247748213.4,87326,INE018A01030
MANAPPURAM,EQ,2015-12-22,29.4,29.75,28.2,28.55,28.55,29.15,2875151,83598634,10748,INE522D01027
MARUTI,EQ,2015-12-22,4630,4644.95,4602.05,4617.2,4620.9,4639.1,207127,956860693.45,21201,INE585B01010
PGEL,EQ,2015-12-22,126.8,128.8,125,126,126,126.25,5173,651723,116,INE457L01011
SBIN,EQ,2015-12-22,231.65,232.25,227.5,228.35,228.65,230.45,9155574,2106647801.6,69702,INE062A01020
SUZLON,EQ,2015-12-22,21.4,21.4,20.95,21,21,21.3,20947843,441163544.75,15905,INE040H01021
TRENT,EQ,2015-12-22,1657.85,1658.1,1576,1600.05,1600,1647.6,24674,39516852.05,1705,INE849A01012
