symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2008-09-30,375592,208750,55.58
BEL,EQ,2008-09-30,36360,27267,74.99
BOSCHLTD,EQ,2008-09-30,5498,4913,89.36
CUMMINSIND,EQ,2008-09-30,25714,17147,66.68
DLF,EQ,2008-09-30,10287529,2707252,26.32
HINDALCO,EQ,2008-09-30,2862594,1791175,62.57
INDHOTEL,EQ,2008-09-30,1240866,944481,76.11
INDHOTEL,N4,2008-09-30,40,40,100.00
LT,EQ,2008-09-30,2797581,1167773,41.74
MARUTI,EQ,2008-09-30,739026,355057,48.04
SBIN,EQ,2008-09-30,2229762,356788,16.00
SUZLON,EQ,2008-09-30,21379313,10109724,47.29
TRENT,EQ,2008-09-30,3683,3039,82.51
