symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2024-01-02,178550,81546,45.67
ADANIPORTS,EQ,2024-01-02,6344621,1623708,25.59
BEL,EQ,2024-01-02,22790965,12230753,53.66
BOSCHLTD,EQ,2024-01-02,10969,3754,34.22
CUMMINSIND,EQ,2024-01-02,383818,210013,54.72
DIXON,EQ,2024-01-02,604541,220174,36.42
DLF,EQ,2024-01-02,2394602,748453,31.26
DMART,EQ,2024-01-02,843252,690879,81.93
HAL,EQ,2024-01-02,1047639,425194,40.59
HINDALCO,EQ,2024-01-02,4975013,1937754,38.95
INDHOTEL,EQ,2024-01-02,2850481,1749050,61.36
INDIGO,EQ,2024-01-02,439889,252023,57.29
LT,EQ,2024-01-02,1511464,969027,64.11
MANAPPURAM,EQ,2024-01-02,5954260,2255502,37.88
MARUTI,EQ,2024-01-02,776837,564333,72.64
PAYTM,EQ,2024-01-02,3129266,1558134,49.79
PGEL,EQ,2024-01-02,61235,32632,53.29
SBIN,EQ,2024-01-02,15164482,5763498,38.01
TRENT,EQ,2024-01-02,408928,188926,46.20
