,01-Jun-15,,,,,,
The Nifty witnessed an intraday movement of about 61.75 points.,,,,,,,
,,,,,,,
, Traded Value (Rs. In Crores),15609.62,,,,,
, Traded Quantity (in Lakhs),6329.13,,,,,
, Number of Trades,6501994,,,,,
, Total Market Capitalisation (Rs. Crores),9998091.46,,,,,
,,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,CNX Nifty,8433.65,8417.25,8467.15,8405.4,8433.4,-0.25
,CNX IT,11575.05,11561.9,11629.55,11496.05,11525.65,-49.4
,CNX Nifty Junior,19875.35,19785.55,19867.45,19729.95,19812.65,-62.7
,BANK Nifty,18721.35,18721.15,18832.5,18598.7,18617,-104.35
,CNX Midcap,13180.75,13149.65,13223.4,13146,13180.05,-0.7
,CNX 500,6959.85,6947.7,6980.65,6947.7,6957.45,-2.4
,CNX 100,8499.85,8480,8525.3,8472.85,8495.55,-4.3
,Nifty Midcap 50,3371.95,3378.05,3384.95,3363.9,3368.05,-3.9
,CNX Realty,199.5,201.4,204.8,201.1,203.55,4.05
,CNX Infra,3220.85,3231.3,3258.45,3196.8,3244.95,24.1
,CNX Energy,8488.1,8521.2,8614.5,8503.2,8591.95,103.85
,CNX FMCG,20107.3,20033.8,20414.6,20033.8,20387.4,280.1
,CNX MNC,9905.7,9896.55,10002.5,9888.75,9993.6,87.9
,CNX Pharma,12511.75,12184.7,12195.4,12040.4,12079.8,-431.95
,CNX PSE,3558.3,3564.5,3588.95,3546.9,3559.3,1
,CNX PSU Bank,3531.1,3536.75,3571.4,3531.4,3537.65,6.55
,CNX Service,10832.85,10832.6,10892.15,10795.5,10811.25,-21.6
,India VIX,16.6575,16.6575,17.46,16.0575,16.9125,0.255
,CNX AUTO,8536.75,8527,8548.8,8465.6,8509.35,-27.4
,CNX Metal,2382.6,2386.75,2403.7,2376.2,2382.8,0.2
,CNX Media,2108.2,2101.9,2101.9,2078.6,2092.95,-15.25
,CNX Smallcap,5564.75,5578.1,5585.4,5549.05,5552.5,-12.25
,CNX 200,4399.55,4389.7,4413.3,4386.35,4398.3,-1.25
,CNX Dividend Oppt,2046.15,2045.8,2063.8,2044.35,2060.8,14.65
,CNX Commodities,2677.9,2680.05,2703.4,2679.5,2690,12.1
,CNX Consumption,3476.85,3464.1,3498.75,3460.35,3495.45,18.6
,CNX Finance,7535.75,7538.75,7581.5,7503.65,7509.55,-26.2
,Nifty Dividend,9.26,10.37,10.37,10.37,10.37,1.11
,LIX 15,3791.6,3789.4,3796,3752.85,3757.95,-33.65
,CPSE Index,2467.05,2464.45,2493,2444.7,2457.15,-9.9
,NI15,5118.15,5098,5154.95,5098,5142.7,24.55
,NIFTY PR 2X LEV,3655.7,3639.5,3682.3,3639.5,3653.5,-2.2
,NIFTY PR 1X INV,452.8,453.9,453.9,451.25,453.05,0.25
,NIFTY TR 2X LEV,4207.15,4189.35,4238.6,4189.35,4205.45,-1.7
,NIFTY TR 1X INV,421.95,422.95,422.95,420.5,422.15,0.2
,,,,,,,
,ADVANCES,672,,,,,
,DECLINES,844,,,,,
,UNCHANGED,73,,,,,
,,,,,,,
,Total securities that have hit their price bands today,118,,,,,
,,,,,,,
,TOP 25 Securities Today :,,,,,,
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs),
