,29-Apr-2025
The Nifty witnessed an intraday movement of about 166.9 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 102696.54
, Traded Quantity (in Lakhs), 31128.3
, Number of Trades, 32358973
, Total Market Capitalisation (Rs. Crores), 42367215.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     37196.60,     37349.05,     37566.85,     37293.35,     37426.40,229.8
,NIFTY OIL AND GAS,     11132.10,     11160.40,     11259.40,     11153.60,     11184.50,52.4
,NIFTY500 MULTICAP,     15214.90,     15262.20,     15340.25,     15208.95,     15229.85,14.95
,NIFTY LARGEMID250,     15400.70,     15443.50,     15519.75,     15391.15,     15416.05,15.35
,NIFTY MID SELECT,     12200.40,     12243.50,     12327.40,     12182.50,     12195.00,-5.4
,NIFTY TOTAL MKT,     12413.45,     12446.60,     12502.20,     12403.75,     12418.55,5.1
,NIFTY MICROCAP250,     21442.90,     21504.60,     21716.00,     21391.60,     21416.45,-26.45
,NIFTY IND DIGITAL,      8360.00,      8378.00,      8451.20,      8353.50,      8413.85,53.85
,Nifty Tata 25 Cap,     14905.95,     14950.30,     15060.65,     14899.95,     14991.80,85.85
,Nifty MidSml Hlth,     41105.25,     41234.10,     41355.45,     40699.40,     40839.35,-265.9
,Nifty Multi Mfg,     14271.55,     14318.45,     14384.60,     14256.90,     14295.60,24.05
,Nifty Multi Infra,     13426.75,     13473.85,     13561.15,     13421.15,     13440.80,14.05
,BHARATBOND-APR30,      1506.95,      1507.25,      1507.72,      1507.23,      1507.72,.77
,BHARATBOND-APR31,      1377.75,      1378.01,      1378.25,      1378.00,      1378.25,.5
,BHARATBOND-APR32,      1258.98,      1259.22,      1259.22,      1259.07,      1259.07,.09
,BHARATBOND-APR33,      1227.87,      1228.11,      1228.11,      1228.09,      1228.09,.22
,Nifty Ind Defence,      6912.90,      6962.80,      7293.35,      6954.20,      7260.60,347.7
,Nifty Ind Tourism,      9065.35,      9108.80,      9173.25,      9033.15,      9045.10,-20.25
,Nifty Capital Mkt,      3804.45,      3818.90,      3883.00,      3816.10,      3820.85,16.4
,Nifty500Momentm50,     49860.35,     50107.95,     50386.65,     49905.25,     50185.00,324.65
,NiftyMS400 MQ 100,     46307.75,     46468.30,     46802.70,     46389.30,     46493.20,185.45
,NiftySml250MQ 100,     42839.20,     43060.00,     43335.00,     42851.80,     42933.00,93.8
,Nifty Top 10 EW,      9564.75,      9572.85,      9625.05,      9564.60,      9578.25,13.5
,Nifty AQL 30,     21613.15,     21656.00,     21703.10,     21546.00,     21632.45,19.3
,Nifty AQLV 30,     19760.30,     19800.05,     19858.35,     19715.35,     19766.30,6
,Nifty EV,      2725.80,      2737.25,      2756.25,      2726.65,      2739.40,13.6
,Nifty HighBeta 50,      3483.90,      3500.90,      3531.40,      3473.45,      3476.85,-7.05
,Nifty New Consump,     10937.70,     10971.60,     11034.25,     10896.50,     10933.50,-4.2
,Nifty Corp MAATR,     34637.35,     34779.75,     34902.85,     34594.90,     34659.40,22.05
,Nifty Low Vol 50,     24601.40,     24639.95,     24681.20,     24511.20,     24563.55,-37.85
,Nifty Mobility,     19278.35,     19361.10,     19471.80,     19241.85,     19322.65,44.3
,Nifty Qlty LV 30,     16891.00,     16909.30,     16938.95,     16834.45,     16849.55,-41.45
,Nifty Sml250 Q50,     24721.95,     24800.25,     24967.55,     24683.90,     24761.10,39.15
,Nifty Top 15 EW,     10047.65,     10063.70,     10104.25,     10038.30,     10048.60,.95
,Nifty100 Alpha 30,     17093.30,     17157.85,     17213.45,     17048.50,     17122.70,29.4
,Nifty100 Enh ESG,      4769.55,      4783.95,      4798.25,      4753.65,      4762.55,-7
,Nifty200 Value 30,     12669.40,     12716.65,     12799.95,     12579.40,     12594.45,-74.95
,Nifty500 EW,     13128.95,     13179.70,     13269.15,     13127.70,     13146.50,17.55
,Nifty Multi MQ 50,     39405.65,     39566.25,     39915.90,     39550.00,     39860.05,454.4
,Nifty500 Value 50,     13635.95,     13683.10,     13761.90,     13536.05,     13552.25,-83.7
,Nifty Top 20 EW,      8990.55,      9008.20,      9040.85,      8978.25,      8987.10,-3.45
,Nifty CoreHousing,     15537.40,     15608.80,     15655.30,     15474.45,     15494.75,-42.65
,Nifty FinSerExBnk,     27662.50,     27766.05,     27880.75,     27551.10,     27639.65,-22.85
,Nifty Housing,     11139.55,     11173.50,     11214.75,     11074.10,     11082.25,-57.3
,Nifty IPO,      1842.55,      1855.45,      1871.05,      1843.75,      1845.75,3.2
,Nifty MS Fin Serv,     16378.05,     16451.70,     16620.55,     16385.25,     16438.30,60.25
,Nifty MS Ind Cons,     19075.20,     19124.95,     19235.20,     19058.15,     19081.25,6.05
,Nifty MS IT Telcm,      9341.40,      9359.50,      9442.00,      9308.00,      9392.20,50.8
,Nifty NonCyc Cons,     15781.15,     15821.70,     15865.60,     15753.70,     15806.55,25.4
,Nifty Rural,     14548.45,     14596.80,     14629.35,     14477.15,     14490.05,-58.4
,Nifty Shariah 25,      8097.80,      8120.50,      8130.85,      8070.65,      8098.35,.55
,Nifty Trans Logis,     21292.65,     21386.25,     21506.05,     21220.65,     21315.10,22.45
,Nifty50 Shariah,      4741.75,      4755.50,      4757.25,      4717.90,      4736.50,-5.25
,Nifty500 LMS Eql,     16643.75,     16700.30,     16795.40,     16641.10,     16666.35,22.6
,Nifty500 Shariah,      6843.90,      6863.55,      6883.05,      6825.15,      6844.55,.65
,Nifty500 Qlty50,     17975.30,     18037.10,     18161.75,     18015.05,     18047.85,72.55
,Nifty500 LowVol50,     20984.70,     21032.75,     21074.35,     20903.85,     20967.60,-17.1
,Nifty500 MQVLv50,     29896.55,     29997.15,     30121.20,     29822.55,     29849.85,-46.7

,ADVANCES,1325
,DECLINES,1517
,UNCHANGED,75

,Total securities that have hit their price bands today,144

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,RELIANCE,EQ,      1368.80,      1399.70,2.26,4541.71
,MAZDOCK,EQ,      2786.30,      3027.90,8.67,4045.42
,GRSE,EQ,      1749.60,      1957.80,11.9,3383.49
,TATATECH,EQ,       705.60,       663.70,-5.94,3039.38
,BSE,EQ,      6564.50,      6641.50,1.17,2465.95
,HAL,EQ,      4426.30,      4609.30,4.13,2370.23
,DATAPATTNS,EQ,      2236.20,      2556.90,14.34,1933.26
,COCHINSHIP,EQ,      1502.10,      1652.40,10.01,1919.47
,BEL,EQ,       305.05,       317.10,3.95,1828.95
,HDFCBANK,EQ,      1920.20,      1908.80,-0.59,1806.24
,ICICIBANK,EQ,      1428.80,      1429.80,0.07,1540.93
,PNBHOUSING,EQ,       986.25,      1030.40,4.48,1365.41
,INFY,EQ,      1482.10,      1497.50,1.04,1205.19
,BAJFINANCE,EQ,      9093.00,      9093.00,0,1065.85
,PARAS,EQ,      1143.75,      1337.80,16.97,1056.9
,SBIN,EQ,       817.35,       812.55,-0.59,924.08
,TATAMOTORS,EQ,       668.15,       665.60,-0.38,923.06
,BHARTIARTL,EQ,      1821.80,      1823.80,0.11,856.97
,TVSMOTOR,EQ,      2793.10,      2702.60,-3.24,800.35
,BDL,EQ,      1486.50,      1536.20,3.34,771.94
,TRENT,EQ,      5209.50,      5391.50,3.49,756.62
,ETERNAL,EQ,       227.21,       231.11,1.72,755.47
,INDUSINDBK,EQ,       830.55,       836.95,0.77,735.81
,AXISBANK,EQ,      1192.80,      1187.30,-0.46,725.91
,KOTAKBANK,EQ,      2225.60,      2205.00,-0.93,678.73

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,BEL,EQ,       317.10,       305.05,3.95
,TRENT,EQ,      5391.50,      5209.50,3.49
,TECHM,EQ,      1495.30,      1461.50,2.31
,RELIANCE,EQ,      1399.70,      1368.80,2.26
,ETERNAL,EQ,       231.11,       227.21,1.72

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,COALINDIA,EQ,       389.10,       397.15,-2.03
,ULTRACEMCO,EQ,     11869.00,     12114.00,-2.02
,ONGC,EQ,       245.68,       250.60,-1.96
,SUNPHARMA,EQ,      1805.50,      1841.60,-1.96
,DRREDDY,EQ,      1176.00,      1198.70,-1.89

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,1003ISFL28,N4,      1000.00,                   106965.00,107
,1003SCL30A,NV,       860.00,                    86000.00,100
,1015ECL29,NR,       989.44,                   573313.20,578
,1015SCL29T,N1,      1000.00,                   100000.00,100
,1018GS2026,GS,       106.74,                   102196.86,957
,1020CCSP27,N0,    104804.92,                   209609.84,2
,1025SCL34,Z8,       965.00,                     3860.00,4
,1025SCL34B,N1,       975.15,                   688375.90,699
,1025SCL35A,N1,       985.00,                   152800.00,165
,1025SFIL26,NT,       497.40,                    13927.20,28
,1025UCL26A,N1,       996.00,                    19920.00,20
,1030SFIL26,NJ,      1203.10,                     4812.40,4
,1035UCL26,NA,       850.00,                      850.00,1
,1040NFL26,NA,       999.00,                   101999.00,102
,1050ISFL28,N5,      1028.00,                     1028.00,1
,1050UCL28,NH,       973.00,                    24325.00,25
,1065NFL27,NC,      1000.00,                   275000.00,275
,1090NFL26,NB,      1000.12,                    10001.20,10
,10CAGL27,N5,      1029.00,                     9261.00,9
,10IIFL28,N4,      1025.00,                   447469.01,438
,10IIFL28A,NE,       970.00,                   221038.00,226
,10IIFL29,N6,       995.40,                    63714.00,64
,10IIFLSF27,NB,      1015.20,                    10251.20,10
,10NFL25,N9,       997.00,                   102680.00,103
,10NIDO26,N6,      1056.02,                   385209.50,365
,12VCCL27,N0,     98000.00,                    98000.00,1
,12VCCL29B,N0,     97999.86,                  1763999.29,18
,182D240725,TB,        98.35,                    29506.00,300
,20MICRONS,EQ,       222.39,                 36336043.54,162691
,21STCENMGM,EQ,        74.92,                   300688.46,4001
,360ONE,EQ,       983.05,                722192459.15,731964
,364D161025,TB,        97.37,                     9737.00,100
,364D220126,TB,        95.43,                    19086.00,200
,364D270226,TB,        94.31,                    47155.00,500
,364D290126,TB,        95.33,                     9533.00,100
,3IINFOLTD,EQ,        23.77,                  8608039.19,360565
,3MINDIA,EQ,     30035.00,                104308190.00,3487
,3PLAND,EQ,        43.06,                   377008.68,8742
,563GS2026,GS,       100.00,                      999.40,10
,585GS2030,GS,        98.01,                      980.10,10
,5PAISA,EQ,       378.65,                  8219747.85,21707
,63MOONS,EQ,       662.55,                 49592044.25,73899
,654GS2032,GS,       102.40,                    20275.20,198
,675GS2029,GS,       104.75,                   135589.38,1303
,679GS2031,GS,       102.98,                    51490.00,500
,68GS2060,GS,       100.51,                     6062.46,60
,692GS2039,GS,       106.51,                    21302.00,200
,698GR2054,GS,        99.10,                    39629.00,400
,699GS2026,GS,       101.00,                 10109175.25,100300
,699GS2051,GS,       106.55,                  1003410.00,9400
,702GS2027,GS,       103.76,                   636390.00,6236
,702GS2031,GS,       105.76,                   115826.00,1100
,706GS2028,GS,       102.99,                     1029.90,10
,709GS2054,GS,       105.03,                    63593.00,600
,710GS2029,GS,       103.88,                   566457.25,5453
,716GS2050,GS,       103.90,                  1038204.90,10002
,717GS2030,GS,       104.24,                    30021.12,288
,718GS2037,GS,       108.00,                  8360097.25,77988
