symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2022-04-07,2209.45,2210.00,2237.85,2181.65,2196.00,2192.15,2213.68,98294,2175.91,11183,29649,30.16
ADANIPORTS,EQ,2022-04-07,849.85,850.00,866.00,813.60,820.45,817.40,840.56,11662093,98027.03,171399,2651968,22.74
BEL,EQ,2022-04-07,220.00,222.00,237.90,221.55,234.90,234.35,232.57,54299168,126285.66,283356,17186181,31.65
BOSCHLTD,EQ,2022-04-07,14999.85,14990.00,15099.35,14903.40,15000.00,14975.35,14982.11,23081,3458.02,4682,11672,50.57
CUMMINSIND,EQ,2022-04-07,1119.25,1119.00,1126.40,1096.30,1116.00,1112.90,1109.48,740284,8213.30,39579,408758,55.22
DIXON,EQ,2022-04-07,4592.35,4579.50,4584.95,4450.00,4459.90,4463.40,4516.88,284085,12831.79,35277,122981,43.29
DLF,EQ,2022-04-07,398.05,403.90,407.50,397.40,400.80,401.25,402.42,8931310,35941.29,73236,2427616,27.18
DMART,EQ,2022-04-07,4101.90,4099.90,4244.00,4092.00,4149.90,4159.70,4193.03,979784,41082.63,96822,433561,44.25
HAL,EQ,2022-04-07,1547.80,1554.80,1624.80,1554.80,1581.00,1578.20,1594.56,2243939,35781.06,82627,463845,20.67
HINDALCO,EQ,2022-04-07,581.25,581.40,584.90,569.00,575.00,574.75,573.77,9357569,53690.68,140782,4420725,47.24
INDHOTEL,EQ,2022-04-07,251.05,254.65,254.65,247.10,250.00,250.30,251.03,11673611,29303.88,74014,4170128,35.72
INDIGO,EQ,2022-04-07,1979.25,1987.00,1991.20,1968.05,1983.00,1980.40,1978.99,444888,8804.29,21366,165615,37.23
LT,EQ,2022-04-07,1852.80,1849.90,1855.85,1810.15,1825.00,1826.30,1826.66,2003954,36605.47,112500,934274,46.62
MANAPPURAM,EQ,2022-04-07,122.80,122.40,126.15,122.35,123.55,123.50,124.10,6114488,7588.06,31004,1919528,31.39
MARUTI,EQ,2022-04-07,7744.20,7659.75,7748.00,7621.05,7647.45,7640.50,7681.01,458566,35222.50,68809,198206,43.22
PAYTM,EQ,2022-04-07,637.20,648.00,657.40,615.60,622.00,624.15,639.78,7970783,50995.70,187399,1738541,21.81
PGEL,EQ,2022-04-07,764.15,762.00,780.00,750.00,761.00,762.05,762.86,26542,202.48,2855,13514,50.92
SBIN,EQ,2022-04-07,513.95,510.05,519.90,510.05,516.55,514.95,515.08,19620958,101064.56,193008,6494062,33.10
SUZLON,EQ,2022-04-07,10.85,11.30,11.90,10.85,11.90,11.75,11.47,228550422,26225.38,120828,91287416,39.94
TRENT,EQ,2022-04-07,1328.30,1336.00,1346.85,1300.00,1305.00,1307.75,1325.93,1038577,13770.80,52082,344729,33.19
