symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2023-08-09,4520.95,4476.65,0.0098,0.0189,0.0189,0.3611
ADANIPORTS,2023-08-09,791.10,784.20,0.0088,0.0270,0.0269,0.5139
BEL,2023-08-09,131.70,129.15,0.0196,0.0185,0.0185,0.3534
BOSCHLTD,2023-08-09,18310.45,18156.45,0.0084,0.0147,0.0147,0.2808
CUMMINSIND,2023-08-09,1748.60,1733.60,0.0086,0.0171,0.0170,0.3248
DIXON,2023-08-09,4901.30,4859.80,0.0085,0.0244,0.0243,0.4643
DLF,2023-08-09,485.70,488.25,-0.0052,0.0207,0.0206,0.3936
DMART,2023-08-09,3628.75,3648.45,-0.0054,0.0171,0.0170,0.3248
HAL,2023-08-09,3824.25,3775.65,0.0128,0.0201,0.0201,0.3840
HINDALCO,2023-08-09,468.90,454.75,0.0306,0.0216,0.0216,0.4127
INDHOTEL,2023-08-09,386.35,388.65,-0.0059,0.0195,0.0194,0.3706
INDIGO,2023-08-09,2587.55,2560.10,0.0107,0.0190,0.0190,0.3630
LT,2023-08-09,2651.55,2632.25,0.0073,0.0139,0.0139,0.2656
MANAPPURAM,2023-08-09,142.40,144.20,-0.0126,0.0249,0.0249,0.4757
MARUTI,2023-08-09,9463.10,9542.70,-0.0084,0.0139,0.0139,0.2656
PAYTM,2023-08-09,838.55,830.65,0.0095,0.0286,0.0286,0.5464
PGEL,2023-08-09,1670.85,1652.80,0.0109,0.0270,0.0269,0.5139
SBIN,2023-08-09,573.75,573.10,0.0011,0.0158,0.0157,0.2999
SUZLON,2023-08-09,19.50,18.60,0.0473,0.0392,0.0393,0.7508
TRENT,2023-08-09,1787.95,1713.70,0.0424,0.0182,0.0184,0.3515
