,09-Sep-2025
The Nifty witnessed an intraday movement of about 77.8 points.The closing index was 0.39 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 79908.68
, Traded Quantity (in Lakhs), 35396.66
, Number of Trades, 28540150
, Total Market Capitalisation (Rs. Crores), 45064781.53

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY CONSR DURBL,     39688.90,     39804.30,     39811.10,     39390.40,     39639.30,-49.6
,NIFTY OIL AND GAS,     10960.45,     10965.40,     11007.90,     10918.80,     10927.95,-32.5
,NIFTY500 MULTICAP,     15947.85,     15994.30,     16003.95,     15948.90,     15993.60,45.75
,NIFTY LARGEMID250,     16061.60,     16106.05,     16116.65,     16058.35,     16104.95,43.35
,NIFTY MID SELECT,     12841.40,     12873.60,     12900.90,     12818.10,     12883.50,42.1
,NIFTY TOTAL MKT,     12880.50,     12920.25,     12927.50,     12888.40,     12919.45,38.95
,NIFTY MICROCAP250,     23664.95,     23729.85,     23763.55,     23600.40,     23704.05,39.1
,NIFTY IND DIGITAL,      8915.35,      8963.60,      9006.75,      8955.40,      8998.15,82.8
,Nifty Tata 25 Cap,     15076.55,     15118.45,     15145.45,     15023.75,     15066.95,-9.6
,Nifty MidSml Hlth,     44275.75,     44296.75,     44525.45,     44155.50,     44437.50,161.75
,Nifty Multi Mfg,     15562.10,     15576.80,     15609.00,     15534.65,     15589.50,27.4
,Nifty Multi Infra,     13789.65,     13817.25,     13826.65,     13763.70,     13792.20,2.55
,BHARATBOND-APR30,      1539.03,      1539.34,      1539.97,      1539.31,      1539.97,.94
,BHARATBOND-APR31,      1401.80,      1402.07,      1402.90,      1402.06,      1402.85,1.05
,BHARATBOND-APR32,      1274.44,      1274.68,      1274.68,      1274.68,      1274.68,.24
,BHARATBOND-APR33,      1239.46,      1239.70,      1239.70,      1239.69,      1239.69,.23
,Nifty Ind Defence,      7538.50,      7548.15,      7580.20,      7508.90,      7526.50,-12
,Nifty Ind Tourism,      9258.90,      9264.45,      9286.65,      9218.10,      9251.80,-7.1
,Nifty Capital Mkt,      4323.30,      4332.25,      4338.05,      4291.45,      4312.85,-10.45
,Nifty500Momentm50,     50930.00,     51026.40,     51260.10,     50869.20,     51216.80,286.8
,NiftyMS400 MQ 100,     47823.75,     47935.65,     48075.60,     47762.25,     48028.10,204.35
,NiftySml250MQ 100,     45047.35,     45140.55,     45280.95,     44957.85,     45245.95,198.6
,Nifty Top 10 EW,      9224.50,      9275.35,      9294.95,      9259.65,      9284.85,60.35
,Nifty AQL 30,     22641.40,     22698.40,     22822.80,     22670.40,     22800.25,158.85
,Nifty AQLV 30,     20932.10,     20999.25,     21117.65,     20998.20,     21097.75,165.65
,Nifty EV,      3148.45,      3152.85,      3156.35,      3138.10,      3151.80,3.35
,Nifty HighBeta 50,      3594.05,      3603.40,      3610.00,      3583.00,      3592.35,-1.7
,Nifty New Consump,     12305.85,     12318.85,     12331.65,     12243.65,     12275.60,-30.25
,Nifty Corp MAATR,     36931.50,     37002.85,     37061.60,     36936.00,     37011.85,80.35
,Nifty Low Vol 50,     25042.70,     25109.65,     25217.05,     25065.80,     25193.90,151.2
,Nifty Mobility,     22600.20,     22604.00,     22645.95,     22503.70,     22579.75,-20.45
,Nifty Qlty LV 30,     17385.85,     17435.65,     17528.25,     17417.85,     17510.15,124.3
,Nifty Sml250 Q50,     26648.60,     26741.45,     26814.20,     26637.30,     26762.35,113.75
