symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2011-04-25,62430,23200,37.16
BEL,EQ,2011-04-25,8799,5248,59.64
BOSCHLTD,EQ,2011-04-25,5893,3072,52.13
CUMMINSIND,EQ,2011-04-25,94228,45557,48.35
DLF,EQ,2011-04-25,3092103,526764,17.04
HINDALCO,EQ,2011-04-25,4171464,1170586,28.06
INDHOTEL,EQ,2011-04-25,490398,225389,45.96
INDHOTEL,N4,2011-04-25,145,145,100.00
LT,EQ,2011-04-25,969882,457710,47.19
MANAPPURAM,EQ,2011-04-25,1061645,577357,54.38
MARUTI,EQ,2011-04-25,1325337,291369,21.98
SBIN,EQ,2011-04-25,1260689,460719,36.55
SBIN,N1,2011-04-25,2,0,0.00
SBIN,N2,2011-04-25,226,226,100.00
SBIN,N3,2011-04-25,1813,1131,62.38
SBIN,N5,2011-04-25,4196,4100,97.71
SUZLON,EQ,2011-04-25,19987002,5432574,27.18
TRENT,EQ,2011-04-25,5437,2603,47.88
TRENT,Q1,2011-04-25,10,10,100.00
TRENT,Q2,2011-04-25,482,480,99.59
