symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2023-01-02,135840,60697,44.68
ADANIPORTS,EQ,2023-01-02,2042294,243873,11.94
BEL,EQ,2023-01-02,6973552,2476600,35.51
BOSCHLTD,EQ,2023-01-02,9526,3074,32.27
CUMMINSIND,EQ,2023-01-02,458030,209460,45.73
DIXON,EQ,2023-01-02,90036,33750,37.49
DLF,EQ,2023-01-02,2924202,633868,21.68
DMART,EQ,2023-01-02,119118,33298,27.95
HAL,EQ,2023-01-02,499036,157687,31.60
HINDALCO,EQ,2023-01-02,11255811,2973028,26.41
INDHOTEL,EQ,2023-01-02,2021729,806848,39.91
INDIGO,EQ,2023-01-02,203965,32227,15.80
LT,EQ,2023-01-02,807344,420718,52.11
MANAPPURAM,EQ,2023-01-02,8074126,2748475,34.04
MARUTI,EQ,2023-01-02,398159,207098,52.01
PAYTM,EQ,2023-01-02,1263767,383131,30.32
PGEL,EQ,2023-01-02,13732,7319,53.30
SBIN,EQ,2023-01-02,6726084,2430000,36.13
SUZLON,EQ,2023-01-02,115707231,31998839,27.66
TRENT,EQ,2023-01-02,195562,78537,40.16
