symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2013-01-07,725.65,725.70,-0.0001,0.0107,,0.1987
ADANIPORTS,2013-01-07,140.05,137.50,0.0184,0.0210,,0.3993
BEL,2013-01-07,1302.20,1317.45,-0.0116,0.0149,,0.2808
BOSCHLTD,2013-01-07,9329.10,9346.25,-0.0018,0.0098,,0.1815
CUMMINSIND,2013-01-07,535.45,538.00,-0.0048,0.0128,,0.2388
DLF,2013-01-07,235.05,237.75,-0.0114,0.0170,,0.3191
HINDALCO,2013-01-07,134.40,132.55,0.0139,0.0181,,0.3420
INDHOTEL,2013-01-07,67.40,66.10,0.0195,0.0186,,0.3573
LT,2013-01-07,1588.15,1628.00,-0.0248,0.0114,,0.2407
MANAPPURAM,2013-01-07,43.70,43.30,0.0092,0.0498,,0.9228
MARUTI,2013-01-07,1584.60,1545.45,0.0250,0.0129,,0.2656
PGEL,2013-01-07,389.20,389.35,-0.0004,0.0243,,0.4509
SBIN,2013-01-07,2467.60,2486.70,-0.0077,0.0125,,0.2350
SUZLON,2013-01-07,18.75,18.40,0.0188,0.0277,,0.5197
TRENT,2013-01-07,1299.95,1318.80,-0.0144,0.0186,,0.3515
