,25-Jun-2019
The Nifty witnessed an intraday movement of about 163.4 points.The closing index was 0.83 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29817.94
, Traded Quantity (in Lakhs), 15160.31
, Number of Trades, 10624011
, Total Market Capitalisation (Rs. Crores), 14919928.24

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBK,EQ,        42.45,                176049466.65,4202469
,ALCHEM,BE,         1.20,                      525.20,448
,ALEMBICLTD,EQ,        42.50,                  8516709.50,202354
,ALICON,EQ,       555.10,                   583046.00,1042
,ALKALI,EQ,        42.40,                   997087.35,23555
,ALKEM,EQ,      1697.40,                 48133441.40,28254
,ALKYLAMINE,EQ,       805.45,                  2918143.65,3611
,ALLCARGO,EQ,       101.70,                  4979058.65,49192
,ALLSEC,EQ,       316.10,                  4517738.75,14307
,ALMONDZ,EQ,        17.25,                    27943.75,1618
,ALOKTEXT,EQ,         3.50,                  9888818.15,2821192
,ALPA,EQ,        17.75,                   243797.15,13804
,ALPHAGEO,EQ,       426.25,                   695921.55,1621
,ALPSINDUS,BE,          .75,                    28229.85,40014
,AMARAJABAT,EQ,       614.75,                535096935.10,873777
,AMBER,EQ,       829.50,                  5172903.30,6270
,AMBIKCO,EQ,      1040.40,                  1521281.75,1452
,AMDIND,EQ,        17.50,                    10762.55,616
,AMJLAND,EQ,        16.40,                   111213.50,6816
,AMRUTANJAN,EQ,       306.70,                 34796303.40,112314
,ANANTRAJ,EQ,        29.10,                  1848360.05,63927
,ANDHRABANK,EQ,        22.90,                 17330126.75,755877
,ANDHRACEMT,EQ,         4.00,                   112581.65,27806
,ANDHRSUGAR,EQ,       317.10,                  5081033.50,15923
,ANIKINDS,EQ,        11.80,                    15184.90,1288
,ANKITMETAL,BE,          .45,                    33514.30,77222
,ANSALAPI,EQ,         5.30,                   447710.15,84925
,ANSALHSG,EQ,         6.25,                   478170.20,74951
,ANTGRAPHIC,BE,          .80,                    19892.80,24866
,ANUP,EQ,       474.95,                  2464243.85,5225
,APARINDS,EQ,       601.40,                  4359415.55,7376
,APCL,EQ,       165.65,                   378313.50,2279
,APCOTEXIND,EQ,       573.00,                  2100056.15,3693
,APEX,EQ,       250.75,                  8793710.45,34868
,APLAPOLLO,EQ,      1539.65,                 16590841.75,10827
,APLLTD,EQ,       501.20,                 28339610.55,55429
,APOLLO,EQ,       117.75,                  2119611.25,17965
,APOLLOHOSP,EQ,      1324.85,               1534883010.50,1156668
,APOLLOTYRE,EQ,       200.40,               1208513410.60,5981431
,APOLSINHOT,EQ,       871.65,                   316446.95,365
,APTECHT,EQ,       141.85,                114278257.90,822987
,ARCHIDPLY,EQ,        32.30,                   269120.35,8335
,ARCHIES,EQ,        20.80,                   148613.90,7217
,ARCOTECH,EQ,         2.65,                   131566.20,47465
,ARIES,EQ,        62.25,                   666510.05,10799
,ARIHANT,EQ,        22.50,                    16654.00,793
,ARIHANTSUP,EQ,        54.35,                  1675524.30,29872
,ARMANFIN,EQ,       404.60,                  1384026.00,3440
,AROGRANITE,EQ,        45.30,                   170772.85,3767
,ARROWGREEN,EQ,        48.40,                   357202.75,7342
,ARROWTEX,EQ,        12.40,                    71137.60,5901
,ARSHIYA,EQ,        21.95,                  1792684.15,81582
,ARSSINFRA,EQ,        34.50,                   225585.60,6522
,ARVIND,EQ,        64.65,                316838769.75,4960741
,ARVINDFASN,EQ,       690.25,                 43913637.60,63569
,ARVSMART,EQ,       103.75,                  1163677.35,11360
,ASAHIINDIA,EQ,       220.00,                  1813727.85,8262
,ASAHISONG,EQ,       136.75,                   416372.05,3032
,ASAL,EQ,        45.75,                   287490.90,6309
,ASHAPURMIN,EQ,        16.85,                   898588.40,53505
,ASHIANA,EQ,       123.00,                  5318439.15,43185
,ASHIMASYN,EQ,        10.15,                   658474.70,65063
,ASHOKA,EQ,       133.70,                 10531978.15,78690
,ASIANHOTNR,EQ,       121.75,                    39304.40,322
,ASIANTILES,EQ,       257.75,                 36752536.65,142825
,ASPINWALL,EQ,       149.45,                   239801.85,1618
,ASSAMCO,BE,         1.20,                   270350.40,219707
,ASTEC,EQ,       466.05,                  3810208.25,8248
,ASTERDM,EQ,       135.75,                  3407859.75,25258
,ASTRAL,EQ,      1335.00,                 29234648.90,22136
,ASTRAMICRO,EQ,        87.10,                  4094989.35,47205
,ASTRAZEN,EQ,      1942.90,                  6103811.45,3143
,ASTRON,EQ,       119.30,                105421327.90,878551
,ATFL,EQ,       494.05,                  2190420.75,4428
,ATLANTA,EQ,         9.55,                   229066.35,23838
,ATLASCYCLE,BE,        38.95,                    64423.30,1654
,ATUL,EQ,      3968.85,                 21031617.75,5281
,ATULAUTO,EQ,       269.75,                  1787080.10,6651
,AUBANK,EQ,       698.75,                460918398.75,658420
,AURDIS,SM,        31.40,                   183300.00,6000
,AURIONPRO,EQ,       116.60,                   882554.70,7481
,AUSOMENT,EQ,        35.95,                    95365.20,2652
,AUTOAXLES,EQ,      1003.75,                  3121537.05,3105
,AUTOIND,EQ,        50.15,                  2742958.40,53964
,AUTOLITIND,BZ,        21.30,                   143382.25,7018
,AVADHSUGAR,EQ,       645.95,                 24250143.80,37188
,AVANTIFEED,EQ,       351.15,                 46790204.95,132241
,AVTNPL,EQ,        24.00,                   939198.80,39425
