,04-Jun-2019
The Nifty witnessed an intraday movement of about 89.35 points.The closing index was 0.55 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 31497.88
, Traded Quantity (in Lakhs), 13965.15
, Number of Trades, 11093393
, Total Market Capitalisation (Rs. Crores), 15349825.47

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBERTDAVD,EQ,       438.25,                  2366251.90,5379
,ALBK,EQ,        45.30,                261303960.75,5733813
,ALCHEM,BE,         1.75,                     1265.85,719
,ALEMBICLTD,EQ,        44.75,                 15721190.90,355449
,ALICON,EQ,       590.35,                   552777.95,936
,ALKALI,EQ,        45.75,                   205841.60,4501
,ALKEM,EQ,      1760.25,                 52797338.15,29896
,ALKYLAMINE,EQ,       839.40,                  3307528.25,3931
,ALLCARGO,EQ,       110.35,                 12701097.90,114759
,ALLSEC,BE,       308.90,                  5128945.10,16648
,ALMONDZ,EQ,        21.30,                   230407.60,11019
,ALOKTEXT,BE,         3.85,                  2756141.55,720696
,ALPA,EQ,        22.65,                   174776.20,7763
,ALPHAGEO,EQ,       469.75,                  2626117.95,5551
,ALPSINDUS,BE,          .95,                      327.75,345
,AMARAJABAT,EQ,       636.40,                321403735.15,500959
,AMBANIORG,SM,        67.00,                   134000.00,2000
,AMBER,EQ,       839.20,                  5630684.75,6660
,AMBIKCO,EQ,      1089.85,                  3607803.90,3304
,AMDIND,EQ,        19.50,                    92371.60,4746
,AMJLAND,EQ,        19.30,                    46951.90,2410
,AMRUTANJAN,EQ,       334.75,                 43156109.10,128714
,ANANTRAJ,EQ,        33.65,                  8802263.20,258230
,ANDHRABANK,EQ,        24.75,                 28926656.55,1160221
,ANDHRACEMT,BE,         4.50,                   173221.85,38407
,ANDHRSUGAR,EQ,       366.60,                 32175377.30,85562
,ANGIND,BZ,          .75,                     3769.60,5016
,ANIKINDS,EQ,        13.65,                    12097.55,881
,ANKITMETAL,BE,          .55,                    10496.25,22813
