,07-Jun-2019
The Nifty witnessed an intraday movement of about 128 points.The closing index was 0.23 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30407.27
, Traded Quantity (in Lakhs), 15033.67
, Number of Trades, 11277081
, Total Market Capitalisation (Rs. Crores), 15122608.67

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALCHEM,BE,         1.70,                    50004.05,29225
,ALEMBICLTD,EQ,        44.95,                 10050565.00,223917
,ALICON,EQ,       587.75,                  1068947.80,1805
,ALKALI,EQ,        45.25,                    58401.35,1310
,ALKEM,EQ,      1817.70,                 57601304.55,31918
,ALKYLAMINE,EQ,       819.70,                  2383964.30,2897
,ALLCARGO,EQ,       108.20,                  6407691.40,59308
,ALLSEC,BE,       308.30,                   919459.25,2987
,ALMONDZ,EQ,        22.75,                   145165.10,6333
,ALOKTEXT,BE,         3.80,                  2804499.15,734223
,ALPA,EQ,        22.05,                   254356.80,11422
,ALPHAGEO,EQ,       454.25,                  2671309.15,5829
,ALPSINDUS,BE,         1.00,                     2510.00,2510
,AMARAJABAT,EQ,       618.55,                465516284.75,754053
,AMBER,EQ,       822.00,                  3238321.55,3934
,AMBIKCO,EQ,      1084.95,                  1745104.35,1605
,AMDIND,EQ,        18.90,                   128453.40,6718
,AMJLAND,EQ,        18.80,                   181923.40,9588
,AMJUMBO,SM,        45.00,                  2530400.00,54000
,AMRUTANJAN,EQ,       326.30,                  9829577.65,30106
,ANANTRAJ,EQ,        31.30,                  7477792.25,235408
,ANDHRABANK,EQ,        23.95,                 18448402.10,772796
,ANDHRACEMT,BE,         4.55,                   144452.60,32006
,ANDHRSUGAR,EQ,       344.70,                 31298633.35,89203
,ANIKINDS,EQ,        13.85,                    41177.00,3005
,ANKITMETAL,BE,          .45,                     7866.95,16359
,ANSALAPI,EQ,         8.00,                   772370.50,95725
,ANSALHSG,EQ,         8.65,                   897924.55,102484
,ANTGRAPHIC,BE,         1.00,                   488235.10,491773
,ANUP,EQ,       487.55,                  9334486.95,19324
,APARINDS,EQ,       644.40,                  2707243.95,4178
,APCL,EQ,       171.05,                   331270.75,1935
,APCOTEXIND,EQ,       550.30,                  2292849.80,4168
,APEX,EQ,       277.65,                  9954290.65,35384
,APLAPOLLO,EQ,      1589.35,                 11461386.65,7247
,APLLTD,EQ,       504.45,                 19887444.20,39384
,APOLLO,EQ,       122.90,                  2659313.85,21582
,APOLLOHOSP,EQ,      1398.20,               2710425470.60,1963985
,APOLLOTYRE,EQ,       192.20,                517148615.40,2645450
,APOLSINHOT,EQ,       923.50,                   682080.40,724
,APTECHT,EQ,       151.30,                 26605330.20,174657
,ARCHIDPLY,EQ,        37.55,                   366544.40,9645
,ARCHIES,EQ,        22.35,                   593874.20,26786
,ARCOTECH,BE,         3.85,                   255919.35,65631
,ARENTERP,EQ,        11.00,                    22000.00,2000
,ARIES,EQ,        71.05,                  2114421.05,29565
,ARIHANT,EQ,        27.35,                   224717.70,8061
,ARIHANTSUP,BE,        62.40,                   691844.00,11121
,ARMANFIN,EQ,       396.65,                  1645559.00,4115
,AROGRANITE,EQ,        50.80,                   321202.55,6362
,ARROWGREEN,EQ,        58.60,                   504814.00,8861
,ARROWTEX,EQ,        16.20,                    43669.45,2779
,ARSHIYA,EQ,        27.45,                  1437306.50,51854
,ARSSINFRA,BE,        39.10,                   287193.60,7318
,ARVIND,EQ,        72.35,                146476145.60,2008197
,ARVINDFASN,EQ,       797.20,                 42850284.00,54382
,ARVSMART,EQ,       113.20,                  1221016.60,10896
,ASAHIINDIA,EQ,       232.90,                  1663386.55,7154
,ASAHISONG,EQ,       148.30,                   229438.65,1533
,ASAL,EQ,        49.90,                   339034.40,6788
,ASHAPURMIN,BE,        21.55,                  1079630.25,51468
,ASHIANA,EQ,       127.30,                  3978143.75,31084
,ASHIMASYN,EQ,        11.05,                   239593.25,21456
,ASHOKA,EQ,       142.65,                 14579864.00,102518
,ASIANHOTNR,EQ,       127.75,                   170959.30,1335
,ASIANTILES,EQ,       254.70,                 40823823.25,157452
,ASPINWALL,EQ,       151.85,                   545726.50,3615
,ASSAMCO,BE,         1.45,                   109453.25,75485
,ASTEC,EQ,       458.00,                  1649314.25,3623
,ASTERDM,EQ,       139.15,                  2655388.00,19017
,ASTRAL,EQ,      1331.25,                136381188.05,102352
,ASTRAMICRO,EQ,        88.45,                 10876637.60,121198
,ASTRAZEN,EQ,      1858.25,                 56134840.30,29827
,ASTRON,EQ,       109.15,                 14684121.55,135053
,ATFL,EQ,       541.45,                  9962121.85,18461
,ATLANTA,EQ,        13.30,                   450910.90,34298
,ATLASCYCLE,BE,        44.65,                   894316.30,20119
,ATUL,EQ,      4033.75,                 33098087.20,8224
,ATULAUTO,EQ,       294.00,                  2521110.60,8567
,AUBANK,EQ,       705.85,                111220139.55,157805
,AURIONPRO,EQ,       127.30,                   948524.60,7371
,AUSOMENT,EQ,        33.90,                    14746.50,435
,AUTOAXLES,EQ,      1127.65,                  5615900.95,4987
,AUTOIND,EQ,        46.75,                   243485.60,5187
,AUTOLITIND,BZ,        28.80,                    67860.85,2303
,AVADHSUGAR,EQ,       717.05,                 67115394.05,92095
,AVANTIFEED,EQ,       359.15,                 86279049.80,238814
,AVG,SM,       101.50,                   121800.00,1200
,AVTNPL,EQ,        25.25,                  1189014.15,46867
,AXISCADES,EQ,        65.65,                 28278138.25,429894
,AXISGOLD,EQ,      2869.40,                   380927.60,133
,AXISNIFTY,EQ,      1214.96,                   162175.84,134
,AYMSYNTEX,EQ,        35.50,                    49603.65,1398
,BAFNAPHARM,BE,         9.10,                    40980.60,4491
,BAGFILMS,EQ,         4.00,                   311753.90,77731
,BAJAJCON,EQ,       334.60,                 11900822.65,35373
,BAJAJELEC,EQ,       519.55,                 31249320.05,59899
,BAJAJHIND,EQ,         8.65,                  9128870.40,1050171
,BALAJITELE,EQ,        68.70,                  1369990.40,20130
,BALAMINES,EQ,       398.75,                  8111192.20,20341
,BALAXI,BE,        98.00,                   328579.20,3375
,BALKRISHNA,EQ,        34.50,                   187321.50,5428
,BALKRISIND,EQ,       787.55,                413123794.35,528320
,BALLARPUR,EQ,         2.20,                   283953.45,129047
,BALMLAWRIE,EQ,       192.00,                  5564882.50,28876
,BALPHARMA,EQ,        64.25,                   301938.00,4693
,BALRAMCHIN,EQ,       152.65,                219049124.20,1433710
