,23-May-2019
The Nifty witnessed an intraday movement of about 426.65 points.The closing index was 0.69 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52322.53
, Traded Quantity (in Lakhs), 23747.68
, Number of Trades, 17083886
, Total Market Capitalisation (Rs. Crores), 14837423.72

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBK,EQ,        45.60,                484906286.75,10135718
,ALCHEM,BE,         1.80,                     5482.25,2977
,ALEMBICLTD,EQ,        40.35,                  3152079.60,77257
,ALICON,EQ,       590.50,                  1240917.45,2105
,ALKALI,EQ,        49.80,                  2520055.10,48878
,ALKEM,EQ,      1681.95,                 14484043.40,8571
,ALKYLAMINE,EQ,       790.50,                  8326530.65,10312
,ALLCARGO,EQ,       105.70,                  9711051.85,91024
,ALLSEC,BE,       316.30,                  7490668.75,23719
,ALMONDZ,EQ,        18.55,                    12066.40,650
,ALOKTEXT,BE,         3.90,                  5894091.30,1536684
,ALPA,EQ,        24.15,                   558457.90,23144
,ALPHAGEO,EQ,       432.25,                  5558283.75,12391
,ALPSINDUS,BE,         1.10,                      250.25,218
,AMARAJABAT,EQ,       621.90,                210833297.30,337171
,AMBER,EQ,       715.25,                  7147360.60,9875
,AMBIKCO,EQ,      1114.95,                  3623755.35,3267
,AMDIND,EQ,        18.45,                    93408.80,5012
,AMJLAND,EQ,        19.20,                   227835.85,11771
,AMJUMBO,SM,        47.45,                    94900.00,2000
,AMRUTANJAN,EQ,       283.65,                  4981663.85,17257
,ANANTRAJ,EQ,        30.30,                 12828838.15,422639
,ANDHRABANK,EQ,        24.60,                 38611474.80,1531880
,ANDHRACEMT,BE,         4.30,                   130733.45,29288
,ANDHRSUGAR,EQ,       358.40,                 10085891.20,27715
,ANGIND,BZ,          .85,                      170.00,200
,ANIKINDS,EQ,        13.40,                    38297.20,2871
,ANKITMETAL,BE,          .50,                    11952.35,25431
,ANSALAPI,EQ,         8.20,                  1925174.70,234465
,ANSALHSG,EQ,        10.40,                  1763831.05,168567
,ANTGRAPHIC,BE,          .80,                    56283.60,74342
,ANUP,EQ,       488.05,                 56976626.15,117031
,APARINDS,EQ,       626.95,                  1031096.90,1639
,APCL,EQ,       147.45,                  1051971.60,6966
,APCOTEXIND,EQ,       509.20,                  4411489.30,8641
,APEX,EQ,       252.70,                159309330.30,639652
,APLAPOLLO,EQ,      1610.05,                 36737772.05,22589
,APLLTD,EQ,       528.65,                 29610676.90,56360
,APOLLO,EQ,       130.00,                  4113454.50,31452
,APOLLOHOSP,EQ,      1150.10,                260168941.65,222973
,APOLLOTYRE,EQ,       183.60,                467957672.90,2515235
,APOLSINHOT,EQ,       895.85,                   544204.10,600
,APTECHT,EQ,       140.70,                 34631417.75,249080
,ARCHIDPLY,EQ,        35.10,                  1162080.95,32338
,ARCHIES,EQ,        21.80,                   836496.70,37699
,ARCOTECH,BE,         4.05,                   113588.35,27448
,ARIES,EQ,        70.55,                  1201534.65,16730
,ARIHANT,EQ,        26.00,                    83776.20,3066
,ARIHANTSUP,BE,        57.55,                   652956.65,11458
,ARMANFIN,EQ,       375.00,                  2007712.80,5350
,AROGRANITE,EQ,        49.05,                   551247.25,11123
,ARROWGREEN,EQ,        61.10,                   961119.00,15112
,ARROWTEX,EQ,        17.45,                   130653.45,7562
,ARSHIYA,EQ,        28.95,                   640158.95,22010
,ARSSINFRA,BE,        41.65,                   189144.00,4439
,ARVIND,EQ,        74.90,                191722816.40,2495519
,ARVINDFASN,EQ,       820.35,                 48346874.10,58694
,ARVSMART,EQ,       118.75,                  1479611.40,12503
,ASAHIINDIA,EQ,       212.40,                 17326151.40,82112
,ASAHISONG,EQ,       143.50,                   477115.30,3288
,ASAL,EQ,        48.45,                    73104.80,1505
,ASHAPURMIN,BE,        21.25,                   430271.50,19822
,ASHIANA,EQ,       107.00,                  4616145.50,41873
,ASHIMASYN,EQ,        10.35,                   518710.80,49647
,ASHOKA,EQ,       121.70,                247317193.80,1991619
,ASIANHOTNR,EQ,       129.05,                    75467.05,588
,ASIANTILES,EQ,       248.85,                218414266.55,870890
,ASPINWALL,EQ,       148.55,                   411244.25,2782
,ASSAMCO,BE,         1.85,                   122255.75,64750
,ASTEC,EQ,       450.05,                  2689923.35,5907
,ASTERDM,EQ,       129.25,                  1894245.80,14472
,ASTRAL,EQ,      1238.15,                254633150.70,207674
,ASTRAMICRO,EQ,        83.05,                 12021815.85,143151
,ASTRAZEN,EQ,      2225.35,                 31211380.75,13973
,ASTRON,EQ,       105.05,                 51930039.90,490961
,ATFL,EQ,       519.60,                  4371096.40,8149
,ATLANTA,EQ,        15.00,                  1343326.95,88968
,ATLASCYCLE,BE,        52.60,                   167394.70,3152
,ATUL,EQ,      3807.05,                 56560275.90,14868
,ATULAUTO,EQ,       307.10,                  5461136.35,17768
,AUBANK,EQ,       696.85,                125470539.20,181360
,AURIONPRO,EQ,       125.80,                  1479006.00,11650
,AUSOMENT,EQ,        36.25,                     7031.20,190
,AUTOAXLES,EQ,      1090.90,                 10260973.05,9365
,AUTOIND,EQ,        47.45,                  1722903.40,35841
,AUTOLITIND,EQ,        31.60,                   175876.00,5403
,AVADHSUGAR,EQ,       513.50,                 31697747.95,60733
,AVANTIFEED,EQ,       334.00,                112363634.90,336333
,AVG,SM,        89.50,                   107400.00,1200
