,28-May-2019
The Nifty witnessed an intraday movement of about 93.65 points.The closing index was 0.03 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 52932.19
, Traded Quantity (in Lakhs), 23331.35
, Number of Trades, 16809036
, Total Market Capitalisation (Rs. Crores), 15262828.66

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,ALBERTDAVD,EQ,       470.45,                 16688604.60,36540
,ALBK,EQ,        46.65,                238475245.55,5093158
,ALCHEM,BE,         1.85,                     2256.70,1229
,ALEMBICLTD,EQ,        43.05,                  4670839.20,108353
,ALICON,EQ,       619.30,                  2777911.80,4514
,ALKALI,EQ,        47.90,                   848861.30,17382
,ALKEM,EQ,      1729.85,                  8325337.00,4827
,ALKYLAMINE,EQ,       795.40,                  2516150.40,3154
,ALLCARGO,EQ,       114.40,                 16990151.45,147839
,ALLSEC,BE,       319.90,                  2245790.60,7027
,ALMONDZ,EQ,        19.90,                     7438.55,386
,ALOKTEXT,BE,         3.80,                  4665377.15,1216635
,ALPA,EQ,        23.40,                  3065766.20,131253
,ALPHAGEO,EQ,       486.65,                  2266114.65,4654
,ALPSINDUS,BE,          .95,                    14500.00,14679
,AMARAJABAT,EQ,       638.10,                478996588.05,755404
,AMBER,EQ,       837.65,                 27667859.85,33086
,AMBIKCO,EQ,      1096.20,                  6632683.15,5979
,AMDIND,EQ,        20.30,                   402887.55,19980
,AMJLAND,EQ,        19.25,                   430601.55,22337
,AMRUTANJAN,EQ,       326.60,                 38919708.45,119190
,ANANTRAJ,EQ,        35.45,                 18405947.60,515950
,ANDHRABANK,EQ,        25.95,                 22987293.55,889216
,ANDHRACEMT,BE,         4.80,                   590416.30,123986
,ANDHRSUGAR,EQ,       400.80,                 27890885.30,68842
,ANGIND,BZ,          .90,                     1064.30,1252
,ANIKINDS,EQ,        14.15,                   144095.95,10277
,ANKITMETAL,BE,          .45,                     3949.00,8396
,ANSALAPI,EQ,         8.40,                   728779.20,86285
