symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2021-01-18,1344.50,1284.30,0.0458,0.0211,0.0213,0.4069
ADANIPORTS,2021-01-18,515.50,527.95,-0.0239,0.0244,0.0244,0.4662
BEL,2021-01-18,133.55,133.45,0.0007,0.0284,0.0283,0.5407
BOSCHLTD,2021-01-18,14514.25,14765.35,-0.0172,0.0249,0.0248,0.4738
CUMMINSIND,2021-01-18,594.10,601.65,-0.0126,0.0216,0.0216,0.4127
DIXON,2021-01-18,15314.70,14897.15,0.0276,0.0290,0.0290,0.5540
DLF,2021-01-18,277.15,279.45,-0.0083,0.0328,0.0327,0.6247
DMART,2021-01-18,2744.80,2820.95,-0.0274,0.0224,0.0224,0.4280
HAL,2021-01-18,961.50,967.00,-0.0057,0.0286,0.0285,0.5445
HINDALCO,2021-01-18,243.15,253.35,-0.0411,0.0314,0.0315,0.6018
INDHOTEL,2021-01-18,126.30,126.95,-0.0051,0.0284,0.0283,0.5407
INDIGO,2021-01-18,1594.05,1631.05,-0.0229,0.0282,0.0282,0.5388
LT,2021-01-18,1335.95,1354.20,-0.0136,0.0215,0.0215,0.4108
MANAPPURAM,2021-01-18,162.20,169.15,-0.0420,0.0339,0.0340,0.6496
MARUTI,2021-01-18,7830.10,8024.65,-0.0245,0.0243,0.0243,0.4643
PGEL,2021-01-18,134.90,138.00,-0.0227,0.0411,0.0410,0.7833
SBIN,2021-01-18,294.45,303.85,-0.0314,0.0268,0.0268,0.5120
SUZLON,2021-01-18,6.97,6.76,0.0306,0.0428,0.0428,0.8177
TRENT,2021-01-18,660.65,643.50,0.0263,0.0288,0.0287,0.5483
