symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2021-08-06,1663.95,1666.15,-0.0013,0.0195,0.0195,0.3725
ADANIPORTS,2021-08-06,710.70,693.55,0.0244,0.0268,0.0268,0.5120
BEL,2021-08-06,175.40,176.60,-0.0068,0.0263,0.0262,0.5006
BOSCHLTD,2021-08-06,14901.40,14876.05,0.0017,0.0217,0.0216,0.4127
CUMMINSIND,2021-08-06,900.90,905.35,-0.0049,0.0215,0.0215,0.4108
DIXON,2021-08-06,4285.40,4311.95,-0.0062,0.0260,0.0260,0.4967
DLF,2021-08-06,342.80,351.10,-0.0239,0.0298,0.0298,0.5693
DMART,2021-08-06,3529.20,3564.10,-0.0098,0.0207,0.0206,0.3936
HAL,2021-08-06,1079.80,1079.05,0.0007,0.0237,0.0236,0.4509
HINDALCO,2021-08-06,442.15,443.10,-0.0021,0.0292,0.0291,0.5560
INDHOTEL,2021-08-06,144.90,144.75,0.0010,0.0262,0.0261,0.4986
INDIGO,2021-08-06,1646.50,1648.95,-0.0015,0.0240,0.0239,0.4566
LT,2021-08-06,1610.35,1627.40,-0.0105,0.0192,0.0192,0.3668
MANAPPURAM,2021-08-06,207.45,212.30,-0.0231,0.0286,0.0285,0.5445
MARUTI,2021-08-06,7100.80,7027.55,0.0104,0.0203,0.0202,0.3859
PGEL,2021-08-06,366.75,374.15,-0.0200,0.0385,0.0385,0.7355
SBIN,2021-08-06,435.65,441.85,-0.0141,0.0247,0.0247,0.4719
SUZLON,2021-08-06,6.80,6.95,-0.0218,0.0404,0.0404,0.7718
TRENT,2021-08-06,919.35,915.35,0.0044,0.0258,0.0258,0.4929
