,07-May-2018
The Nifty witnessed an intraday movement of about 90 points.The closing index was 0.92 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28640.88
, Traded Quantity (in Lakhs), 12832.11
, Number of Trades, 10284776
, Total Market Capitalisation (Rs. Crores), 14880103.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10618.25,     10653.15,     10725.65,     10635.65,     10715.50,97.25
,NIFTY50 EQL Wgt,     12432.95,     12476.90,     12553.65,     12434.95,     12546.40,113.45
,NIFTY100 EQL Wgt,     13828.00,     13881.00,     13946.75,     13843.65,     13941.25,113.25
,NIFTY100 LowVol30,      8412.95,      8439.50,      8475.20,      8431.80,      8469.45,56.5
,NIFTY Alpha 50,     13867.60,     13953.90,     14081.05,     13936.25,     14055.00,187.4
,Nifty IT,     13453.30,     13533.55,     13563.85,     13395.85,     13424.90,-28.4
,Nifty Next 50,     29703.95,     29821.85,     29956.85,     29743.55,     29939.00,235.05
,Nifty Bank,     25645.40,     25676.25,     25913.50,     25675.15,     25852.05,206.65
,NIFTY MIDCAP 100,     19720.00,     19787.80,     19883.70,     19710.85,     19867.75,147.75
,Nifty 500,      9339.75,      9371.70,      9424.40,      9353.30,      9418.80,79.05
,Nifty 100,     10986.50,     11023.90,     11094.35,     11005.20,     11085.05,98.55
,Nifty Midcap 50,      5286.45,      5307.55,      5351.45,      5282.30,      5344.75,58.3
,Nifty Realty,       310.10,       311.25,       315.35,       311.20,       313.55,3.45
,Nifty Infra,      3424.60,      3435.90,      3456.00,      3424.40,      3449.65,25.05
,Nifty Energy,     13643.25,     13669.00,     13881.20,     13644.40,     13863.10,219.85
,Nifty FMCG,     28177.95,     28286.35,     28635.25,     28195.00,     28586.50,408.55
,Nifty MNC,     14300.35,     14347.60,     14481.05,     14330.05,     14464.80,164.45
,Nifty Pharma,      8817.45,      8828.75,      8848.35,      8674.20,      8774.40,-43.05
,Nifty PSE,      3789.50,      3791.30,      3834.20,      3776.55,      3827.30,37.8
,Nifty PSU Bank,      2784.40,      2797.70,      2856.60,      2794.55,      2840.80,56.4
,Nifty Serv Sector,     14282.80,     14323.50,     14377.15,     14289.80,     14358.10,75.3
,India VIX,13.2500,13.2500,13.9625,12.8275,13.7600,0.5100
,Nifty Auto,     11323.70,     11382.55,     11504.20,     11366.05,     11489.60,165.9
,Nifty Metal,      3633.60,      3661.10,      3700.40,      3636.15,      3695.95,62.35
,Nifty Media,      3316.70,      3345.15,      3383.45,      3305.45,      3373.55,56.85
,NIFTY SMLCAP 100,      8186.20,      8229.00,      8249.25,      8185.35,      8245.55,59.35
,Nifty 200,      5767.95,      5787.65,      5822.60,      5776.45,      5818.60,50.65
,Nifty Div Opps 50,      2642.90,      2653.30,      2663.45,      2648.55,      2660.55,17.65
,Nifty Commodities,      3731.05,      3742.70,      3779.25,      3728.20,      3776.25,45.2
,Nifty Consumption,      4971.95,      4994.10,      5039.25,      4982.15,      5035.60,63.65
,Nifty Fin Service,     10735.80,     10753.45,     10829.40,     10744.70,     10813.60,77.8
,Nifty50 Div Point,          .82,          .82,          .82,          .82,          .82,0
,Nifty100 Liq 15,      4156.95,      4175.85,      4213.95,      4166.60,      4209.60,52.65
,Nifty CPSE,      2373.75,      2381.85,      2410.00,      2362.30,      2405.70,31.95
,Nifty GrowSect 15,      6584.10,      6608.00,      6678.75,      6593.05,      6672.80,88.7
,Nifty50 PR 2x Lev,      4574.45,      4602.30,      4663.00,      4587.25,      4655.95,81.5
,Nifty50 PR 1x Inv,       411.55,       410.40,       411.10,       407.70,       408.00,-3.55
,Nifty50 TR 2x Lev,      5676.25,      5710.75,      5786.15,      5692.10,      5777.40,101.15
,Nifty50 TR 1x Inv,       369.45,       368.45,       369.05,       366.00,       366.25,-3.2
,Nifty50 Value 20,      4719.90,      4741.45,      4784.45,      4733.60,      4774.05,54.15
,Nifty Mid Liq 15,      4330.75,      4352.85,      4408.40,      4321.65,      4394.05,63.3
,Nifty Pvt Bank,     14655.70,     14684.10,     14836.40,     14679.95,     14795.75,140.05
,Nifty Quality 30,      2560.90,      2568.55,      2576.75,      2561.05,      2574.95,14.05
,Nifty GS 8 13Yr,      1687.47,      1687.81,      1695.38,      1687.81,      1694.26,6.79
,Nifty GS 10Yr,      1587.76,      1588.08,      1602.09,      1588.08,      1598.55,10.79
,Nifty GS 10Yr Cln,       900.05,       900.05,       908.19,       900.05,       906.13,6.08
,Nifty GS 4 8Yr,      1795.81,      1796.16,      1800.58,      1796.16,      1800.36,4.55
,Nifty GS 11 15Yr,      1748.45,      1748.81,      1757.83,      1748.81,      1754.51,6.06
,Nifty GS 15YrPlus,      1881.21,      1881.61,      1881.61,      1881.61,      1881.61,.4
,Nifty GS Compsite,      1731.10,      1731.45,      1739.42,      1731.45,      1738.83,7.73

,ADVANCES,970
,DECLINES,834
,UNCHANGED,86

,Total securities that have hit their price bands today,218

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       174.65,       240.25,37.56,4307.15
,TCS,EQ,      3480.75,      3420.95,-1.72,599.04
,ICICIBANK,EQ,       282.85,       289.80,2.46,565.83
,WOCKPHARMA,EQ,       802.70,       740.80,-7.71,470.81
,HDFC,EQ,      1910.35,      1918.70,0.44,457.14
,INDUSINDBK,EQ,      1891.15,      1889.80,-0.07,401.83
,NIITTECH,EQ,      1028.20,      1028.10,-0.01,385.52
,SBIN,EQ,       241.95,       246.50,1.88,371.39
,EXIDEIND,EQ,       248.60,       262.30,5.51,369.77
,AXISBANK,EQ,       520.30,       536.10,3.04,361.2
,RELIANCE,EQ,       953.95,       971.00,1.79,338.55
,MARUTI,EQ,      8678.20,      8743.70,0.75,298.75
,KOTAKBANK,EQ,      1233.45,      1245.05,0.94,285.92
,INFY,EQ,      1173.10,      1183.00,0.84,274.09
,TATASTEEL,EQ,       580.75,       596.45,2.7,269.35
,HDFCBANK,EQ,      1988.50,      1977.40,-0.56,260.69
,JUSTDIAL,EQ,       435.75,       437.60,0.42,258.84
,JUBLFOOD,EQ,      2565.30,      2605.15,1.55,253.27
,JINDALSTEL,EQ,       240.65,       256.30,6.5,250.17
,BOMDYEING,EQ,       300.55,       310.25,3.23,237.86
,BHARTIARTL,EQ,       396.75,       398.25,0.38,236.26
,VEDL,EQ,       281.65,       285.45,1.35,235.89
,YESBANK,EQ,       345.10,       347.90,0.81,235.61
,JETAIRWAYS,EQ,       512.25,       510.10,-0.42,223.27
,DMART,EQ,      1486.80,      1465.00,-1.47,219.34

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,GAIL,EQ,       343.80,       329.75,4.26
,M&M,EQ,       885.60,       854.30,3.66
,AXISBANK,EQ,       536.10,       520.30,3.04
,HINDALCO,EQ,       237.85,       231.35,2.81
,TATASTEEL,EQ,       596.45,       580.75,2.7

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,LUPIN,EQ,       773.90,       795.60,-2.73
,DRREDDY,EQ,      2069.50,      2106.60,-1.76
,TCS,EQ,      3420.95,      3480.75,-1.72
,COALINDIA,EQ,       267.40,       271.30,-1.44
,CIPLA,EQ,       591.05,       597.00,-1

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        46.65,                  6050307.65,128195
,21STCENMGM,EQ,        42.95,                    35863.25,835
,3IINFOTECH,EQ,         4.50,                  7632606.70,1677298
,3MINDIA,EQ,     20474.10,                 24975126.00,1226
,3PLAND,EQ,        14.85,                   100448.45,7071
,5PAISA,EQ,       486.85,                  9752344.40,20113
,63MOONS,EQ,        85.50,                 11449014.10,133737
,8KMILES,EQ,       698.65,                103808894.05,145685
,A2ZINFRA,EQ,        25.60,                  6649113.05,257814
,AAKASH,ST,        58.00,                   932200.00,16000
,AARTIDRUGS,EQ,       558.50,                  1553770.85,2758
,AARTIIND,EQ,      1323.50,                 23360496.80,17714
,AARVEEDEN,EQ,        43.80,                   904606.00,20762
,AARVI,SM,        95.00,                   380000.00,4000
,ABAN,EQ,       169.25,                131924351.75,779224
,ABBOTINDIA,EQ,      6272.90,                 24769709.65,3937
,ABFRL,EQ,       143.50,                 13566064.45,94426
,ABGSHIP,BZ,         6.75,                    78803.05,11437
,ABMINTLTD,BE,        24.35,                    22281.25,915
,ACCELYA,EQ,      1316.40,                  2709580.80,2053
,ACE,EQ,       185.55,                129221316.90,702087
,ADANIENT,EQ,       127.60,               1552636663.55,12195077
,ADANIPOWER,EQ,        25.10,                451018327.25,18031044
,ADANITRANS,EQ,       165.65,                128131057.30,779241
,ADFFOODS,EQ,       232.30,                 15793187.95,68533
,ADHUNIK,EQ,         3.35,                   123386.65,36988
,ADHUNIKIND,EQ,        76.55,                  3727576.90,50147
,ADLABS,EQ,        48.70,                  1445378.50,30008
,ADORWELD,EQ,       382.50,                  1643040.60,4271
,ADROITINFO,EQ,        30.15,                   152939.70,5046
,ADSL,EQ,        19.75,                   235244.40,11875
,ADVANIHOTR,EQ,        66.95,                  1051008.40,15483
,ADVENZYMES,EQ,       249.75,                 37250355.70,150211
,AEGISCHEM,EQ,       291.30,                 21188729.00,73013
,AFL,EQ,        61.55,                  1234398.70,19990
,AGARIND,BE,       281.80,                  3676890.35,13684
,AGCNET,EQ,       127.40,                   134306.00,1052
,AGLSL,EQ,       102.00,                   181070.10,1777
,AGRITECH,EQ,       128.20,                  2613370.95,20328
,AGROPHOS,SM,        39.40,                  2118900.00,54000
,AHLEAST,EQ,       363.00,                   372878.05,1024
,AHLUCONT,EQ,       425.10,                145009187.35,342782
,AHLWEST,BE,       310.50,                   182343.10,597
,AIAENG,EQ,      1440.10,                 10932333.90,7727
,AICHAMP,BE,        30.45,                      152.25,5
,AIFL,EQ,       485.25,                 17945048.15,36821
,AIRAN,SM,       250.00,                  1876075.00,7500
,AIROLAM,SM,        47.95,                  2051850.00,45000
,AISL,SM,       114.25,                   977580.00,8400
,AJANTPHARM,EQ,      1157.15,                315544526.55,271243
