,10-May-2018
The Nifty witnessed an intraday movement of about 80.55 points.The closing index was 0.23 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 28773.01
, Traded Quantity (in Lakhs), 14036.69
, Number of Trades, 10046626
, Total Market Capitalisation (Rs. Crores), 14785597.85

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       599.25,                  5214295.95,8712
,AKSHOPTFBR,EQ,        34.60,                 20368570.25,575568
,AKZOINDIA,EQ,      1920.40,                  4420295.00,2302
,ALANKIT,EQ,        36.00,                 11483144.85,319137
,ALBERTDAVD,EQ,       375.40,                   609708.10,1625
,ALBK,EQ,        46.00,                162759266.20,3485310
,ALCHEM,BE,         8.50,                    92173.95,10321
,ALEMBICLTD,EQ,        53.85,                 16173951.00,299040
,ALICON,EQ,       618.85,                  2662508.40,4246
,ALKALI,EQ,        78.50,                   457673.90,5875
,ALKEM,EQ,      2024.55,                 27167514.85,13410
,ALKYLAMINE,EQ,       626.20,                   445835.60,707
,ALLCARGO,EQ,       132.05,                 28628506.20,214902
,ALLSEC,EQ,       372.30,                  2713345.75,7346
,ALMONDZ,BE,        29.00,                   376599.90,12816
,ALOKTEXT,EQ,         1.75,                   927052.00,529744
,ALPA,EQ,        37.50,                  3066082.65,80385
,ALPHAGEO,EQ,       788.15,                  7735510.95,9680
,ALPSINDUS,BE,         2.30,                    28946.35,12096
,AMARAJABAT,EQ,       871.80,                454634144.15,518202
,AMBER,EQ,      1151.70,                 29657465.35,25737
,AMBIKCO,EQ,      1395.55,                  2735772.25,1942
,AMDIND,EQ,        27.40,                   325550.15,11659
,AMJLAND,EQ,        33.25,                 25940218.15,797149
,AMJUMBO,SM,        87.75,                  1223000.00,14000
,AMRUTANJAN,EQ,       271.60,                  1404593.50,5142
,AMTEKAUTO,BZ,        12.55,                  1037784.60,82692
,ANANTRAJ,EQ,        42.45,                 22878489.10,530176
,ANDHRABANK,EQ,        36.20,                120913632.40,3297640
,ANDHRACEMT,EQ,        10.50,                  1733036.10,163576
,ANDHRSUGAR,EQ,       408.70,                  9299201.95,22477
,ANGIND,BE,         3.25,                    12005.75,3658
,ANIKINDS,BE,        35.55,                   198848.55,5554
,ANSALAPI,EQ,        22.00,                  2261502.50,101860
,ANSALHSG,EQ,        18.85,                  1386265.65,73162
,ANTGRAPHIC,BE,          .80,                    17757.55,22197
,APARINDS,EQ,       785.15,                  1741698.10,2216
,APCL,EQ,       195.05,                   260345.75,1327
,APCOTEXIND,EQ,       550.25,                  5553809.00,10039
,APEX,EQ,       627.70,                 46294403.30,73766
,APLAPOLLO,EQ,      2111.50,                 57517484.95,27292
,APLLTD,EQ,       497.60,                  6302697.10,12601
,APOLLO,EQ,       217.60,                  8503480.85,38805
,APOLLOHOSP,EQ,      1024.15,                356525841.40,344596
,APOLLOTYRE,EQ,       283.60,                823494025.05,2873706
,APOLSINHOT,EQ,      1749.65,                  6061663.50,3433
,APTECHT,EQ,       267.50,                 55211910.30,204089
,ARCHIDPLY,EQ,        88.20,                  2214273.65,24940
,ARCHIES,BE,        34.65,                  2711970.40,77477
,ARCOTECH,EQ,        28.60,                 21393845.40,752453
,ARIES,EQ,       194.20,                  1563009.55,7928
,ARIHANTSUP,EQ,       136.65,                 22160803.90,165287
,ARMANFIN,BE,       409.90,                   723720.40,1746
,AROGRANITE,EQ,        64.15,                 47761417.65,702271
,ARROWGREEN,EQ,       299.75,                  4204798.60,13813
,ARROWTEX,EQ,        34.15,                   304584.20,8892
,ARSHIYA,EQ,        64.00,                  6025161.40,94958
,ARSSINFRA,BE,        38.30,                   241405.40,6274
,ARVIND,EQ,       429.10,               2013547467.25,4636086
,ARVSMART,EQ,       185.05,                  6879966.35,36853
,ASAHIINDIA,EQ,       365.30,                 19277552.75,52538
,ASAHISONG,EQ,       333.05,                  1314749.20,3919
,ASAL,EQ,        76.80,                   607831.80,7884
,ASHAPURMIN,EQ,        65.10,                 18916515.00,286961
,ASHIANA,EQ,       160.10,                 15351979.20,95415
,ASHIMASYN,EQ,        27.95,                  6189861.45,220988
,ASHOKA,EQ,       272.30,                 51329093.60,186655
,ASIANHOTNR,EQ,       316.15,                  4489008.35,14945
,ASIANTILES,EQ,       448.55,                  7341256.40,16320
,ASLIND,SM,        24.30,                    97200.00,4000
,ASPINWALL,EQ,       371.40,                   577296.05,1547
,ASSAMCO,EQ,         4.10,                   841137.65,201107
,ASTEC,EQ,       666.15,                 24024076.10,35562
,ASTERDM,EQ,       187.30,                 47275896.10,250384
,ASTRAL,EQ,       960.30,                 18027846.90,18801
,ASTRAMICRO,EQ,        97.40,                 26529193.50,268083
,ASTRAZEN,EQ,      1130.35,                  4791566.35,4170
,ASTRON,EQ,       123.95,                 16092886.70,127917
,ATFL,EQ,       693.95,                 13238289.75,19003
,ATLANTA,EQ,        70.90,                 18560339.30,261198
,ATLASCYCLE,BE,       153.10,                  1518794.90,10104
,ATUL,EQ,      2812.35,                 10149447.35,3591
,ATULAUTO,EQ,       431.00,                  5761530.10,13310
,AUBANK,EQ,       705.60,                139495836.10,199496
,AURDIS,SM,        29.40,                    58800.00,2000
,AURIONPRO,EQ,       210.50,                  4441393.35,20981
,AUSOMENT,EQ,        70.60,                  3047113.90,42965
,AUTOAXLES,EQ,      1526.55,                 33882535.35,21916
,AUTOIND,EQ,        78.55,                  1509528.60,18903
,AUTOLITIND,EQ,        69.80,                   580835.75,8294
,AVADHSUGAR,EQ,       358.40,                  6349223.50,17543
,AVANTIFEED,EQ,      2306.05,                390733016.00,167715
,AVG,SM,       128.00,                   929880.00,7200
,AVTNPL,EQ,        34.20,                  2665966.25,76704
,AXISCADES,EQ,       159.15,                  7745362.70,48161
,AXISGOLD,EQ,      2697.05,                   906051.95,336
,AXISNIFTY,EQ,      1076.63,                    16163.25,15
,AYMSYNTEX,EQ,        65.45,                   353711.80,5387
,BAFNAPHARM,EQ,        26.40,                   799856.40,30232
,BAGFILMS,EQ,         5.10,                  1278496.45,251131
,BAJAJCORP,EQ,       470.65,                 51185659.10,109482
,BAJAJELEC,EQ,       635.60,                163349326.60,253957
,BAJAJHIND,EQ,         8.25,                 10928319.60,1322078
,BAJAJHLDNG,EQ,      2649.95,                 19840830.80,7487
,BALAJITELE,EQ,       126.70,                  9154104.35,71470
,BALAMINES,EQ,       670.55,                 16388516.80,24439
,BALKRISHNA,EQ,        79.15,                   547831.60,6836
,BALKRISIND,EQ,      1203.05,                501959158.75,413556
,BALLARPUR,EQ,        12.65,                  4902756.70,382837
,BALMLAWRIE,EQ,       219.85,                 10285245.60,46583
,BALPHARMA,EQ,        82.40,                   676560.00,8134
,BALRAMCHIN,EQ,        65.80,                330748404.70,4928297
,BANARBEADS,EQ,        57.55,                    49728.55,861
,BANARISUG,EQ,      1661.00,                   467432.80,283
,BANCOINDIA,EQ,       222.30,                  8101410.85,36169
,BANDHANBNK,EQ,       486.45,                122978593.15,251959
,BANG,EQ,        36.70,                   632586.80,17764
,BANKA,SM,       114.95,                  1778400.00,15600
,BANKBEES,EQ,      2646.64,                  3849773.90,1453
,BANKINDIA,EQ,       100.00,                509774800.20,5035176
,BANSAL,SM,       119.50,                  1439300.00,12000
,BANSWRAS,EQ,        99.15,                   919341.15,9227
,BARTRONICS,BE,        12.90,                  1625201.75,131841
,BASF,EQ,      1999.90,                 14289452.65,7046
,BASML,EQ,       230.00,                   140585.00,607
,BATAINDIA,EQ,       778.25,                279988285.25,357763
,BAYERCROP,EQ,      4303.60,                 79380909.30,18505
,BBL,EQ,      1627.95,                 24909796.15,15140
,BBTC,EQ,      1551.10,                432090286.70,275546
,BCONCEPTS,SM,        48.00,                   288300.00,6000
,BDL,EQ,       388.10,                 14372205.00,36990
,BEARDSELL,EQ,        46.60,                   111303.95,2355
,BEDMUTHA,BE,        19.35,                   170621.80,8956
,BEML,EQ,      1043.90,                584137238.85,548087
,BEPL,EQ,       169.45,                129063789.50,748605
,BERGEPAINT,EQ,       266.75,                 95591907.10,357562
,BETA,SM,       125.00,                   200000.00,1600
,BFINVEST,EQ,       340.35,                162587088.40,460060
,BFUTILITIE,EQ,       399.30,                224221904.35,549235
,BGLOBAL,BE,         5.15,                   497434.60,93987
,BGRENERGY,EQ,       103.25,                  7358544.55,70479
,BHAGERIA,EQ,       286.30,                  4220714.45,14643
,BHAGYANGR,EQ,        43.40,                  1393711.80,31979
,BHAGYAPROP,BE,        22.20,                   135342.60,5996
,BHANDARI,EQ,         2.75,                   688115.25,250013
,BHARATFIN,EQ,      1144.40,                508575519.55,443059
,BHARATFORG,EQ,       724.25,                269292327.00,369523
,BHARATGEAR,EQ,       172.50,                  1991370.15,11516
,BHARATIDIL,BZ,         4.85,                    85067.40,17821
,BHARATRAS,EQ,      6099.65,                 16442911.10,2654
,BHARATWIRE,EQ,       117.20,                  8492258.35,72466
,BHUSANSTL,EQ,        24.75,                 36687922.65,1476187
,BIGBLOC,EQ,       164.20,                 10558540.65,63894
,BIL,EQ,       402.15,                  1294247.35,3212
,BILENERGY,BE,          .60,                   128485.00,232037
,BINANIIND,EQ,        92.95,                 42422863.50,446913
,BINDALAGRO,EQ,        26.60,                   561475.20,20929
,BIOCON,EQ,       625.60,                950743202.60,1523428
,BIOFILCHEM,BE,        14.00,                    16717.30,1204
,BIRLACABLE,BE,        69.50,                  4919535.65,70388
,BIRLACORPN,EQ,       728.95,                 17524975.05,23816
,BIRLAMONEY,BE,        64.95,                  2030731.80,31092
,BKMINDST,EQ,        30.50,                   442753.60,14515
,BLBLIMITED,BE,         8.15,                     6007.50,739
,BLISSGVS,EQ,       202.35,                 40143990.95,197121
,BLKASHYAP,EQ,        42.70,                 10333740.00,239636
,BLS,EQ,       155.50,                 30468641.95,190546
,BLUEBLENDS,EQ,        15.00,                   353983.65,22685
,BLUEDART,EQ,      3507.80,                 11232605.15,3192
,BLUEDART,N3,        10.54,                    10540.00,1000
,BLUESTARCO,EQ,       779.95,                 14216912.60,18216
,BODALCHEM,EQ,       116.65,                 91129920.55,780039
,BOHRA,SM,        44.00,                   615800.00,14000
,BOMDYEING,EQ,       289.00,               1215598882.25,4115757
,BPL,EQ,        75.20,                 12642867.25,167577
,BRFL,BE,        22.20,                  2329262.05,101680
,BRIGADE,EQ,       260.50,                  3203799.30,12127
,BRNL,EQ,       175.80,                  2109650.90,12012
,BROOKS,EQ,       116.00,                281960892.90,2373069
,BSE,EQ,       819.30,                 76808487.10,93618
,BSELINFRA,EQ,         3.75,                   173806.05,46762
,BSHSL,SM,        78.50,                  1581600.00,20000
,BSL,EQ,        62.85,                   125511.75,2005
,BSLGOLDETF,EQ,      2900.00,                   101763.90,35
,BSLIMITED,BZ,          .80,                   189741.40,251687
,BSLNIFTY,EQ,       110.68,                   105042.97,937
,BURNPUR,BE,         7.00,                  2415899.55,341381
,BUTTERFLY,EQ,       503.25,                  4062623.90,7997
,BVCL,BE,        25.50,                   176459.50,7034
,BYKE,EQ,       184.70,                  2607849.45,14165
,CADSYS,SM,       109.50,                   665900.00,6000
,CALSOFT,BE,        40.50,                     2511.00,62
,CAMLINFINE,EQ,       107.60,                 23105222.90,213274
,CANBK,EQ,       248.60,               1579316137.55,6228640
,CANDC,EQ,        46.30,                  1710500.60,36015
,CANFINHOME,EQ,       389.35,                457516247.70,1163057
,CANTABIL,BE,       126.55,                   189884.50,1486
,CAPACITE,EQ,       353.40,                 45327626.95,127132
,CAPF,EQ,       586.00,                584750065.00,983263
,CAPLIPOINT,EQ,       577.75,                 12571549.55,21691
,CAPTRUST,EQ,       399.90,                  1418491.50,3550
,CARBORUNIV,EQ,       365.25,                  4572597.80,12485
,CAREERP,EQ,       123.00,                  2119890.90,17275
,CARERATING,EQ,      1257.55,                 20610375.30,16375
,CASTEXTECH,EQ,         2.70,                  3644050.85,1322756
,CASTROLIND,EQ,       177.65,                253614768.15,1414324
,CCCL,EQ,         3.80,                   211777.50,56448
,CCHHL,EQ,        11.40,                   639665.55,56021
,CCL,EQ,       303.20,                 16598197.90,53900
,CDSL,EQ,       284.90,                 81196265.85,283560
,CEATLTD,EQ,      1434.00,                926757780.60,640033
,CEBBCO,EQ,        16.00,                   877172.75,54699
,CELEBRITY,EQ,        15.25,                   695863.50,46101
,CELESTIAL,EQ,        14.90,                   198042.50,13199
,CENTENKA,EQ,       330.95,                  9128357.30,27254
,CENTEXT,EQ,         5.90,                   628605.20,106283
,CENTRALBK,EQ,        71.85,                 22319602.45,311682
,CENTRUM,EQ,        54.45,                 21940149.80,399849
,CENTUM,EQ,       570.20,                   668911.20,1169
,CENTURYPLY,EQ,       307.15,                 55021531.15,179095
,CENTURYTEX,EQ,      1074.00,                532869331.40,492435
,CERA,EQ,      2958.60,                 57073948.25,19146
,CEREBRAINT,BE,        63.10,                 14346896.35,225906
,CESC,EQ,      1059.50,                675251426.75,627555
,CGCL,EQ,        90.20,                   789583.60,8911
,CGPOWER,EQ,        79.30,                 45297016.95,564851
,CHAMBLFERT,EQ,       182.90,                617095303.30,3409708
,CHEMFAB,BE,       229.90,                   798743.25,3429
,CHENNPETRO,EQ,       302.05,                706114574.05,2297979
,CHOLAFIN,EQ,      1578.00,                517439527.35,324625
