,14-May-2018
The Nifty witnessed an intraday movement of about 60.1 points.The closing index was 0 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 27402.41
, Traded Quantity (in Lakhs), 12983.17
, Number of Trades, 9331765
, Total Market Capitalisation (Rs. Crores), 14790982.64

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       620.15,                 11702620.40,19071
,AKSHOPTFBR,EQ,        33.30,                 18882087.55,564502
,AKZOINDIA,EQ,      1983.00,                 48663393.60,24630
,ALANKIT,EQ,        35.15,                  2300246.45,65066
,ALBERTDAVD,EQ,       364.65,                   581670.75,1595
,ALBK,EQ,        44.15,                374005864.55,8379215
,ALCHEM,BE,         7.75,                    34770.70,4495
,ALEMBICLTD,EQ,        50.60,                  9513454.40,185610
,ALICON,EQ,       627.65,                   824210.50,1300
,ALKALI,EQ,        80.20,                  1211307.95,15045
,ALKEM,EQ,      1978.35,                 29255367.20,14706
,ALKYLAMINE,EQ,       627.05,                   975896.00,1568
,ALLCARGO,EQ,       126.70,                 44746417.20,348811
,ALLSEC,EQ,       364.75,                  1266660.40,3451
,ALMONDZ,BE,        31.50,                   587606.35,18756
,ALOKTEXT,EQ,         1.70,                 13493245.65,7934657
,ALPA,EQ,        34.85,                   602088.95,17180
,ALPHAGEO,EQ,       799.90,                 10362561.65,13035
,ALPSINDUS,BE,         2.35,                    39143.50,16917
,AMARAJABAT,EQ,       867.00,                268594083.30,308415
,AMBER,EQ,      1190.45,                 35633563.05,29982
,AMBIKCO,EQ,      1379.35,                  1838818.90,1330
,AMDIND,EQ,        26.35,                   255610.50,9719
,AMJLAND,EQ,        30.05,                  8142710.45,250698
,AMJUMBO,SM,        90.00,                   360000.00,4000
,AMRUTANJAN,EQ,       283.00,                 10205968.00,35501
,AMTEKAUTO,BZ,        11.40,                  1122619.70,98115
,ANANTRAJ,EQ,        40.75,                 29126982.70,712069
,ANDHRABANK,EQ,        35.85,                145709958.25,4047948
,ANDHRACEMT,EQ,         9.95,                  1480025.55,148572
,ANDHRSUGAR,EQ,       385.30,                  9428936.05,24100
,ANGIND,BE,         2.95,                    28346.80,9583
,ANIKINDS,BE,        35.00,                   106294.20,3022
,ANSALAPI,EQ,        20.60,                  2261873.25,106932
,ANSALHSG,EQ,        17.85,                   452830.25,25348
,ANTGRAPHIC,BE,          .70,                    10668.95,14964
,APARINDS,EQ,       778.35,                  4226479.15,5433
,APCL,EQ,       188.25,                   561960.05,2973
,APCOTEXIND,EQ,       548.30,                  2714203.00,4928
,APEX,EQ,       579.25,                102947015.90,175442
,APLAPOLLO,EQ,      2101.30,                 27451438.75,13085
,APLLTD,EQ,       484.55,                  5268848.30,10824
,APOLLO,EQ,       208.30,                  4068171.65,19501
,APOLLOHOSP,EQ,      1023.70,                127314683.05,123672
,APOLLOTYRE,EQ,       286.30,                726637407.00,2561495
,APOLSINHOT,EQ,      1835.15,                  1906055.90,1044
,APTECHT,EQ,       255.45,                 46158091.40,178674
