,21-May-2018
The Nifty witnessed an intraday movement of about 115.9 points.The closing index was 0.75 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 29839.51
, Traded Quantity (in Lakhs), 16363.51
, Number of Trades, 11098361
, Total Market Capitalisation (Rs. Crores), 14377744.94

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJOONI,SM,        31.00,                   124000.00,4000
,AKASH,SM,        70.25,                    70250.00,1000
,AKSHARCHEM,EQ,       583.50,                  4880399.15,8242
,AKSHOPTFBR,EQ,        32.35,                 17839653.10,542768
,AKZOINDIA,EQ,      1900.70,                 29826389.05,15648
,ALANKIT,EQ,        32.30,                  7048486.15,215419
,ALBERTDAVD,EQ,       366.20,                  1870956.85,5159
,ALBK,EQ,        38.55,                191609180.05,5007888
,ALCHEM,BE,         6.95,                    12837.50,1809
,ALEMBICLTD,EQ,        51.55,                 16944049.95,328923
,ALICON,EQ,       602.80,                  1354193.95,2241
,ALKALI,EQ,        77.85,                   509687.70,6517
,ALKEM,EQ,      1940.95,                 14859535.15,7630
,ALKYLAMINE,EQ,       701.75,                 80796373.80,113502
,ALLCARGO,EQ,       124.40,                 20140303.75,160110
,ALLSEC,EQ,       372.50,                  2783918.35,7509
,ALMONDZ,BE,        30.40,                   125157.70,4071
,ALOKTEXT,EQ,         1.55,                  1866225.80,1203065
,ALPA,EQ,        32.15,                   879222.70,26939
,ALPHAGEO,EQ,       761.60,                 21270168.25,27514
,ALPSINDUS,BE,         2.00,                    13920.05,6985
,AMARAJABAT,EQ,       808.40,               2078208273.70,2626589
,AMBER,EQ,      1139.90,                 14269864.00,12533
,AMBIKCO,EQ,      1334.50,                  2636051.75,1963
,AMDIND,EQ,        25.20,                   543216.05,21645
,AMJLAND,EQ,        28.10,                   597141.50,21362
,AMJUMBO,SM,        86.75,                  1563800.00,18000
,AMRUTANJAN,EQ,       272.45,                  1452052.30,5285
,AMTEKAUTO,BZ,         9.85,                  4973018.65,522369
,ANANTRAJ,EQ,        39.40,                 16771608.90,420220
,ANDHRABANK,EQ,        34.95,                148485072.50,4283653
,ANDHRACEMT,EQ,         9.65,                  1219800.45,125128
,ANDHRSUGAR,EQ,       379.95,                 14121579.10,36270
,ANGIND,BE,         2.50,                    35790.20,14312
,ANIKINDS,BE,        32.10,                   127382.20,4003
,ANSALAPI,EQ,        15.90,                  6967965.35,419524
,ANSALHSG,EQ,        16.30,                   707204.65,42905
,ANTGRAPHIC,BE,          .70,                    91541.05,133806
,APARINDS,EQ,       744.95,                 13329230.65,17780
,APCL,EQ,       181.60,                   433002.10,2389
,APCOTEXIND,EQ,       534.55,                  4761401.45,8900
,APEX,EQ,       584.60,                117261690.50,202847
,APLAPOLLO,EQ,      1930.90,                 40306023.45,20628
,APLLTD,EQ,       444.55,                 19466881.85,43554
,APOLLO,EQ,       186.75,                  7115151.35,37533
,APOLLOHOSP,EQ,       983.50,                250717620.60,254209
,APOLLOTYRE,EQ,       276.00,                735095936.95,2647317
,APOLSINHOT,EQ,      1653.85,                  1208369.00,712
,APTECHT,EQ,       219.90,                 89279093.35,401704
,ARCHIDPLY,EQ,        83.50,                  8126182.80,97089
,ARCHIES,BE,        32.05,                  2026349.45,62945
,ARCOTECH,EQ,        22.75,                 13270214.50,575820
,ARIES,EQ,       177.10,                  2370133.55,13218
,ARIHANT,BE,        39.00,                    11244.70,286
,ARIHANTSUP,EQ,       128.40,                  5266024.75,40957
,ARMANFIN,BE,       374.40,                   912530.25,2405
,AROGRANITE,EQ,        60.45,                  3998549.40,65710
,ARROWGREEN,EQ,       271.50,                  2125319.70,7740
,ARROWTEX,EQ,        30.70,                   792606.85,25441
,ARSHIYA,EQ,        60.85,                  1903671.35,30958
,ARSSINFRA,BE,        28.60,                  1642583.80,57433
,ARVIND,EQ,       390.35,                637385653.40,1619545
,ARVSMART,EQ,       179.20,                  4883326.90,27150
,ASAHIINDIA,EQ,       334.90,                 19119993.30,57621
,ASAHISONG,EQ,       313.55,                   696262.70,2201
,ASAL,EQ,        69.50,                   730015.05,10379
,ASHAPURMIN,EQ,        57.85,                  4298314.65,73344
,ASHIANA,EQ,       153.15,                  5599077.40,36393
,ASHIMASYN,EQ,        25.00,                  2868694.65,112384
,ASHOKA,EQ,       243.85,                 34667634.80,138134
,ASIANHOTNR,EQ,       283.15,                   486228.40,1727
,ASIANTILES,EQ,       426.80,                 39155515.85,90785
,ASPINWALL,EQ,       340.15,                   210870.10,607
,ASSAMCO,EQ,         3.85,                  2323991.50,603044
,ASTEC,EQ,       668.65,                 19684398.55,29327
,ASTERDM,EQ,       188.05,                 59789231.10,316856
,ASTRAL,EQ,       919.05,                  9445303.30,10248
,ASTRAMICRO,EQ,        90.55,                 19189848.10,210883
,ASTRAZEN,EQ,      1140.05,                123616107.85,108453
,ASTRON,EQ,       113.35,                  8280808.10,72799
,ATFL,EQ,       669.05,                 15150611.60,22243
,ATLANTA,EQ,        61.65,                  6616953.80,105475
,ATLASCYCLE,BE,       135.15,                   247867.50,1818
,ATNINTER,BE,          .20,                     2002.00,10010
,ATUL,EQ,      2787.75,                 24708736.60,8833
,ATULAUTO,EQ,       426.75,                 25741582.65,60099
,AUBANK,EQ,       704.60,                196975455.60,277081
,AURIONPRO,EQ,       198.15,                  5772061.30,28841
,AUSOMENT,EQ,        68.05,                   545697.20,7874
,AUSTRAL,BZ,          .20,                    10116.65,85575
,AUTOAXLES,EQ,      1447.25,                 16933815.35,11661
,AUTOIND,EQ,        70.10,                   613909.15,8753
,AUTOLITIND,EQ,        64.25,                   825929.10,12719
,AVADHSUGAR,EQ,       339.85,                 28663461.80,83213
,AVANTIFEED,EQ,      1953.00,                265062323.40,135244
,AVG,SM,       110.30,                   937200.00,8400
,AVTNPL,EQ,        33.50,                  3329415.70,98416
,AXISCADES,EQ,       147.75,                  6786236.00,45613
,AXISGOLD,EQ,      2681.05,                   197184.40,73
,AXISNIFTY,EQ,      1055.22,                    15977.30,15
,AYMSYNTEX,EQ,        59.60,                   797354.40,13294
,BAFNAPHARM,EQ,        23.55,                   274870.55,11500
,BAGFILMS,EQ,         4.70,                   532219.40,113753
,BAJAJCORP,EQ,       450.50,                 11229909.30,24932
,BAJAJELEC,EQ,       596.65,                159818850.50,269494
,BAJAJHIND,EQ,         7.05,                 28320284.75,3890314
,BAJAJHLDNG,EQ,      2721.55,                 20036524.15,7388
,BALAJITELE,EQ,       122.05,                 29656768.65,249279
,BALAMINES,EQ,       595.35,                 18224929.75,29975
,BALKRISHNA,EQ,        72.50,                   265873.10,3619
,BALKRISIND,EQ,      1117.60,               1366586144.10,1242422
,BALLARPUR,EQ,        10.70,                  7638617.25,702217
,BALMLAWRIE,EQ,       209.30,                 13284603.90,62610
,BALPHARMA,EQ,        75.10,                   635767.95,8305
,BALRAMCHIN,EQ,        66.00,                885829084.65,13310292
,BANARBEADS,EQ,        54.00,                    19300.20,356
,BANARISUG,EQ,      1577.10,                   512846.40,318
,BANCOINDIA,EQ,       215.15,                  6497184.00,30167
,BANDHANBNK,EQ,       468.80,                171056628.50,363194
,BANG,EQ,        38.70,                   621963.30,16496
,BANKBEES,EQ,      2606.15,                 13414312.63,5144
,BANKINDIA,EQ,        97.95,               1634548867.25,16790634
,BANSAL,SM,       117.55,                  4383850.00,37000
,BANSWRAS,EQ,        92.40,                   225328.75,2394
,BARTRONICS,BE,        10.95,                   500448.05,45240
,BASF,EQ,      2044.45,                 18176820.45,8981
,BASML,EQ,       223.25,                    31585.15,142
,BATAINDIA,EQ,       744.05,                344703362.75,460288
,BAYERCROP,EQ,      4477.65,                 29811795.20,6643
,BBL,EQ,      1402.55,                 10751337.40,7624
,BBTC,EQ,      1500.10,                338600848.05,224766
,BDL,EQ,       372.30,                 15688029.20,42165
,BEARDSELL,EQ,        44.65,                    85348.95,1934
,BEDMUTHA,BE,        17.35,                   118192.05,6693
,BEML,EQ,       951.80,               2468126253.10,2542399
,BEPL,EQ,       164.90,                 82903899.75,499356
,BERGEPAINT,EQ,       284.95,                318381492.35,1123602
,BETA,SM,       125.00,                  1009520.00,8000
,BFINVEST,EQ,       306.10,                 52254964.35,166372
,BFUTILITIE,EQ,       376.85,                174905893.15,457310
,BGLOBAL,BE,         4.30,                   103873.90,24033
,BGRENERGY,EQ,        92.25,                  4203494.40,45079
