,31-May-2018
The Nifty witnessed an intraday movement of about 143.4 points.The closing index was 1.15 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 59237.57
, Traded Quantity (in Lakhs), 25895.16
, Number of Trades, 15150626
, Total Market Capitalisation (Rs. Crores), 14693260.03

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       650.30,                 17176614.90,26795
,AKSHOPTFBR,EQ,        33.55,                 59557175.10,1715832
,AKZOINDIA,EQ,      1933.30,                 40996662.80,21350
,ALANKIT,EQ,        32.70,                  3848033.25,115202
,ALBERTDAVD,EQ,       378.05,                   377639.30,1001
,ALBK,EQ,        41.80,                127541552.55,3067446
,ALCHEM,BE,         6.15,                    32773.20,5410
,ALEMBICLTD,EQ,        44.90,                 15343359.70,333770
,ALICON,EQ,       631.50,                   663806.85,1054
,ALKALI,EQ,        75.00,                   236741.95,3151
,ALKEM,EQ,      1916.85,                 63988134.85,32983
,ALKYLAMINE,EQ,       651.65,                  1624928.50,2472
,ALLCARGO,EQ,       124.70,                 20503456.50,163546
,ALLSEC,EQ,       291.90,                  4737432.10,16055
,ALMONDZ,BE,        31.00,                   155606.20,5006
,ALOKTEXT,EQ,         1.85,                   644641.75,348455
,ALPA,EQ,        29.55,                   647399.55,21684
,ALPHAGEO,EQ,       723.50,                  7077789.95,9610
,ALPSINDUS,BE,         2.05,                    13014.60,6220
,AMARAJABAT,EQ,       798.45,                392927905.35,496070
,AMBER,EQ,      1080.15,                 15042497.70,13885
,AMBIKCO,EQ,      1315.20,                 11027356.95,8361
,AMDIND,EQ,        24.70,                   944746.45,37790
,AMJLAND,EQ,        24.45,                   651610.80,26536
,AMRUTANJAN,EQ,       272.65,                  1284637.10,4690
,AMTEKAUTO,BZ,        14.25,                 15612546.40,1095855
,ANANTRAJ,EQ,        41.75,                 16799707.50,402456
,ANDHRABANK,EQ,        36.45,                166371054.20,4561240
,ANDHRACEMT,EQ,         9.85,                   653832.80,65386
,ANDHRSUGAR,EQ,       384.45,                 40832236.20,105158
,ANGIND,BE,         2.70,                    29814.35,10834
,ANIKINDS,BE,        34.90,                   286163.50,8332
,ANSALAPI,EQ,        17.00,                  1657414.05,96819
,ANSALHSG,EQ,        16.65,                   484963.40,28969
,ANTGRAPHIC,BE,          .70,                    97979.70,156798
,APARINDS,EQ,       705.50,                 14162043.75,20060
,APCL,EQ,       176.95,                    38408.85,216
,APCOTEXIND,EQ,       529.95,                  4961765.30,9379
,APEX,EQ,       556.05,                 91022347.70,162251
,APLAPOLLO,EQ,      1873.50,                 23567008.20,12494
,APLLTD,EQ,       427.50,                 12966142.50,30286
,APOLLO,EQ,       194.90,                 10257467.45,51349
,APOLLOHOSP,EQ,       950.35,                856284255.25,883312
,APOLLOTYRE,EQ,       269.30,                554700084.95,2039549
,APOLSINHOT,EQ,      1640.20,                   959937.70,576
,APTECHT,EQ,       242.35,                116016690.00,472682
,ARCHIDPLY,EQ,        71.85,                 19743433.35,272671
,ARCHIES,BE,        32.55,                   521700.45,15886
