,03-May-2018
The Nifty witnessed an intraday movement of about 73.15 points.The closing index was 0.36 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 32233.68
, Traded Quantity (in Lakhs), 14766.08
, Number of Trades, 11813200
, Total Market Capitalisation (Rs. Crores), 14853613.28

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       614.55,                  1585408.35,2582
,AKSHOPTFBR,EQ,        33.75,                 12164665.25,359157
,AKZOINDIA,EQ,      1919.35,                  3140454.25,1633
,ALANKIT,EQ,        36.40,                  9870490.85,267480
,ALBERTDAVD,EQ,       376.45,                   219583.65,580
,ALBK,EQ,        47.70,                115481505.05,2426731
,ALCHEM,BE,         8.65,                    82042.50,9471
,ALEMBICLTD,EQ,        55.35,                  8548174.80,153620
,ALICON,EQ,       659.55,                  4166000.25,6304
,ALKALI,EQ,        79.35,                  2302229.65,28976
,ALKEM,EQ,      2030.45,                 49841762.30,24870
,ALKYLAMINE,EQ,       668.55,                  1065524.90,1586
,ALLCARGO,EQ,       137.25,                 48513524.15,354121
,ALLSEC,EQ,       353.15,                  4861269.25,13626
,ALMONDZ,BE,        28.75,                   660081.50,22194
,ALOKTEXT,EQ,         2.10,                  2717645.70,1294117
,ALPA,EQ,        37.10,                   223709.25,6024
,ALPHAGEO,EQ,       790.80,                 11595891.60,14784
,ALPSINDUS,BE,         2.60,                    20672.60,7951
,AMARAJABAT,EQ,       862.80,                479593477.25,555957
,AMBER,EQ,      1116.50,                 19629360.45,17489
,AMBIKCO,EQ,      1378.05,                  4732848.50,3440
,AMDIND,EQ,        28.55,                   317544.60,11036
,AMJLAND,EQ,        26.20,                    96598.80,3663
,AMRUTANJAN,EQ,       278.85,                   974814.80,3482
,AMTEKAUTO,BZ,        13.30,                   621495.70,46729
,ANANTRAJ,EQ,        42.60,                 68132437.50,1596948
,ANDHRABANK,EQ,        37.55,                143807839.85,3831065
,ANDHRACEMT,EQ,        10.55,                   707579.55,66911
,ANDHRSUGAR,EQ,       365.25,                 16305688.60,43890
,ANGIND,BE,         3.55,                    28061.10,7902
,ANIKINDS,BE,        38.30,                   246690.00,6444
,ANSALAPI,EQ,        22.35,                  4447936.20,201088
,ANSALHSG,EQ,        19.65,                   878420.75,44579
,ANTGRAPHIC,BE,          .80,                     7701.80,9626
,APARINDS,EQ,       799.40,                  5632583.80,7059
,APCL,EQ,       188.70,                   225023.40,1194
,APCOTEXIND,EQ,       589.65,                 19115910.45,32443
,APEX,EQ,       641.00,                 75838177.40,117996
,APLAPOLLO,EQ,      2174.00,                 19001228.55,8786
