,02-May-2018
The Nifty witnessed an intraday movement of about 94.85 points.The closing index was 0.2 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35016.49
, Traded Quantity (in Lakhs), 15455.52
, Number of Trades, 11796715
, Total Market Capitalisation (Rs. Crores), 14966387.2

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKSHARCHEM,EQ,       617.85,                  2434642.00,3924
,AKSHOPTFBR,EQ,        34.55,                 13984440.60,400938
,AKZOINDIA,EQ,      1928.40,                  8726685.00,4527
,ALANKIT,EQ,        40.05,                  3390637.95,84340
,ALBERTDAVD,EQ,       380.15,                  1161607.25,3019
,ALBK,EQ,        47.90,                139834874.00,2903863
,ALCHEM,BE,         9.10,                    24330.60,2709
,ALEMBICLTD,EQ,        57.20,                  9051249.35,158014
,ALICON,EQ,       648.35,                 10775726.20,16450
,ALKALI,EQ,        75.50,                  1458864.20,18913
,ALKEM,EQ,      2023.40,                 95531090.05,47257
,ALKYLAMINE,EQ,       677.05,                 17180719.30,25645
,ALLCARGO,EQ,       137.40,                138766104.50,1001979
,ALLSEC,EQ,       366.00,                  3262683.25,8872
,ALMONDZ,BE,        30.10,                   804672.70,26788
,ALOKTEXT,EQ,         2.20,                  8435743.80,3834429
,ALPA,EQ,        37.45,                   872202.10,23169
,ALPHAGEO,EQ,       796.30,                 11308607.40,14080
,ALPSINDUS,BE,         2.70,                      737.60,272
,AMARAJABAT,EQ,       886.20,               1220930527.70,1375692
,AMBER,EQ,      1124.65,                 21357695.65,18980
,AMBIKCO,EQ,      1371.00,                  3035981.00,2209
,AMDIND,EQ,        29.35,                   347489.85,12056
,AMJLAND,EQ,        25.85,                   471585.75,17848
,AMJUMBO,SM,        89.75,                   718000.00,8000
,AMRUTANJAN,EQ,       281.80,                  2113503.30,7431
,AMTEKAUTO,BZ,        14.00,                  1417780.00,101270
,ANANTRAJ,EQ,        44.95,                 34301075.55,744506
,ANDHRABANK,EQ,        38.15,                169885068.35,4403741
,ANDHRACEMT,EQ,        10.80,                  1089927.45,100444
,ANDHRSUGAR,EQ,       383.15,                 26260809.85,66936
,ANGIND,BE,         3.70,                    11191.15,3013
,ANIKINDS,BE,        39.05,                   438283.25,11008
,ANSALAPI,EQ,        22.00,                  5177230.40,229019
,ANSALHSG,EQ,        20.10,                  1891009.65,91950
,ANTGRAPHIC,BE,          .85,                     7632.40,9352
,APARINDS,EQ,       797.30,                  3176099.30,3985
,APCL,EQ,       189.60,                    73936.00,386
,APCOTEXIND,EQ,       582.05,                 24127641.55,40244
,APEX,EQ,       634.60,                 34973678.30,54894
,APLAPOLLO,EQ,      2165.45,                 18685768.05,8607
,APLLTD,EQ,       534.70,                  8835975.35,16528
,APOLLO,EQ,       224.10,                 13894178.85,60816
,APOLLOHOSP,EQ,      1080.05,                263996074.50,244124
,APOLLOTYRE,EQ,       290.20,                924666885.80,3122546
,APOLSINHOT,EQ,      1796.45,                 12565977.50,6932
,APTECHT,EQ,       274.25,                154473188.70,544015
,ARCHIDPLY,EQ,        94.05,                  5800915.45,60382
,ARCHIES,BE,        38.05,                  8381023.20,214184
,ARCOTECH,EQ,        26.55,                  7023848.85,259260
,ARIES,EQ,       201.15,                  3561469.30,17521
,ARIHANTSUP,EQ,       122.30,                  6303317.55,51518
,ARMANFIN,BE,       417.80,                   570636.25,1344
,AROGRANITE,EQ,        57.00,                   407939.25,7139
,ARROWGREEN,EQ,       325.90,                  9895234.30,30146
,ARROWTEX,EQ,        36.00,                   284147.75,7870
,ARSHIYA,EQ,        64.55,                 84569884.10,1361351
,ARSSINFRA,BE,        42.40,                   121479.95,2836
,ARVIND,EQ,       407.30,                882867979.40,2136378
,ARVSMART,EQ,       200.65,                 12241120.70,59460
,ASAHIINDIA,EQ,       366.95,                  4819800.25,13180
,ASAHISONG,EQ,       347.40,                  1575322.20,4491
,ASAL,EQ,        80.15,                  5221789.15,62866
,ASHAPURMIN,EQ,        68.25,                 14858000.80,212384
,ASHIANA,EQ,       156.45,                  6557236.90,41073
,ASHIMASYN,EQ,        30.25,                  3715376.35,121215
,ASHOKA,EQ,       283.70,                 35129058.75,124594
,ASIANHOTNR,EQ,       319.30,                  1259076.85,3950
,ASIANTILES,EQ,       473.85,                  4884484.20,10249
,ASLIND,SM,        25.70,                   102800.00,4000
,ASPINWALL,EQ,       387.75,                   578989.90,1488
,ASSAMCO,EQ,         4.10,                   796107.05,189150
,ASTEC,EQ,       691.25,                116623827.10,164441
,ASTERDM,EQ,       167.05,                  9110729.65,54250
,ASTRAL,EQ,       936.90,                 18759543.55,19982
,ASTRAMICRO,EQ,       108.70,                156205560.10,1426440
,ASTRAZEN,EQ,      1069.80,                  7805290.80,7362
,ASTRON,EQ,       138.50,                 53044958.90,380065
,ATFL,EQ,       710.00,                 25200551.45,35286
,ATLANTA,EQ,        75.90,                  5999498.40,77739
,ATLASCYCLE,BE,       155.60,                  2056431.55,13041
,ATUL,EQ,      2851.80,                 36100557.90,12577
,ATULAUTO,EQ,       447.55,                  7564206.15,16907
,AUBANK,EQ,       708.85,                162497609.50,226098
,AURIONPRO,EQ,       233.70,                  4916626.95,21133
,AUSOMENT,EQ,        72.95,                  1790358.00,23834
,AUTOAXLES,EQ,      1531.80,                 15376046.65,9967
,AUTOIND,EQ,        91.70,                 12402259.00,136468
,AUTOLITIND,EQ,        75.15,                  1954448.55,25637
,AVADHSUGAR,EQ,       367.85,                 41816959.65,109467
,AVANTIFEED,EQ,      2412.85,                335338492.65,137164
,AVG,SM,       137.30,                  2200740.00,15600
,AVTNPL,EQ,        37.15,                  1761910.85,47252
,AXISCADES,EQ,       174.30,                 20811288.55,116067
,AXISGOLD,EQ,      2719.90,                   487779.30,179
,AXISNIFTY,EQ,      1075.84,                   119513.26,111
,AYMSYNTEX,EQ,        65.40,                  2007098.25,30189
,BAFNAPHARM,EQ,        27.60,                   306172.25,11098
,BAGFILMS,EQ,         5.20,                   696066.00,130302
,BAJAJCORP,EQ,       467.70,                  7890217.30,16775
,BAJAJELEC,EQ,       637.05,                147908042.05,229514
,BAJAJHIND,EQ,         8.60,                 31376615.15,3577673
,BAJAJHLDNG,EQ,      2700.00,                 31626481.65,11714
,BALAJITELE,EQ,       131.45,                 15835485.60,119013
,BALAMINES,EQ,       680.30,                 26210779.35,37483
,BALKRISHNA,EQ,        80.15,                   467946.00,5785
,BALKRISIND,EQ,      1244.40,                687222138.85,542911
,BALLARPUR,EQ,        13.15,                  8885415.00,674127
,BALMLAWRIE,EQ,       220.60,                 10518010.25,47616
