,08-May-2018
The Nifty witnessed an intraday movement of about 69.15 points.The closing index was 0.02 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 34185.15
, Traded Quantity (in Lakhs), 15534.89
, Number of Trades, 11521333
, Total Market Capitalisation (Rs. Crores), 14885410.17

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,Nifty 50,     10715.50,     10757.90,     10758.55,     10689.40,     10717.80,2.3
,NIFTY50 EQL Wgt,     12546.40,     12586.10,     12587.45,     12516.20,     12555.80,9.4
,NIFTY100 EQL Wgt,     13941.25,     13983.55,     13985.15,     13906.35,     13933.40,-7.85
,NIFTY100 LowVol30,      8469.45,      8486.10,      8488.10,      8426.10,      8448.35,-21.1
,NIFTY Alpha 50,     14055.00,     14148.35,     14193.60,     14032.20,     14110.00,55
,Nifty IT,     13424.90,     13453.95,     13474.25,     13297.20,     13379.65,-45.25
,Nifty Next 50,     29939.00,     30014.85,     30026.05,     29817.75,     29842.50,-96.5
,Nifty Bank,     25852.05,     26074.15,     26116.25,     25954.60,     26090.50,238.45
,NIFTY MIDCAP 100,     19867.75,     19914.20,     19920.20,     19764.25,     19839.05,-28.7
,Nifty 500,      9418.80,      9451.90,      9452.45,      9396.75,      9419.85,1.05
,Nifty 100,     11085.05,     11126.65,     11127.60,     11057.70,     11082.20,-2.85
,Nifty Midcap 50,      5344.75,      5364.40,      5364.70,      5323.50,      5341.55,-3.2
,Nifty Realty,       313.55,       314.65,       317.95,       313.45,       317.25,3.7
,Nifty Infra,      3449.65,      3459.10,      3462.10,      3423.30,      3438.95,-10.7
,Nifty Energy,     13863.10,     13903.25,     13972.40,     13833.95,     13880.60,17.5
,Nifty FMCG,     28586.50,     28642.40,     28692.90,     28523.20,     28555.15,-31.35
,Nifty MNC,     14464.80,     14493.05,     14494.10,     14379.50,     14398.80,-66
,Nifty Pharma,      8774.40,      8812.95,      8882.35,      8734.95,      8753.25,-21.15
,Nifty PSE,      3827.30,      3827.25,      3860.15,      3825.15,      3852.90,25.6
,Nifty PSU Bank,      2840.80,      2856.70,      2916.35,      2815.35,      2876.50,35.7
,Nifty Serv Sector,     14358.10,     14426.60,     14430.50,     14334.75,     14385.35,27.25
,India VIX,13.7600,13.7600,14.4350,11.0925,14.0550,0.2950
,Nifty Auto,     11489.60,     11516.30,     11517.50,     11404.80,     11437.20,-52.4
,Nifty Metal,      3695.95,      3708.90,      3725.70,      3665.65,      3689.10,-6.85
,Nifty Media,      3373.55,      3383.40,      3383.85,      3341.45,      3355.45,-18.1
,NIFTY SMLCAP 100,      8245.55,      8277.30,      8316.35,      8250.35,      8296.20,50.65
,Nifty 200,      5818.60,      5839.35,      5839.75,      5802.80,      5816.20,-2.4
,Nifty Div Opps 50,      2660.55,      2663.60,      2669.05,      2653.95,      2660.40,-.15
,Nifty Commodities,      3776.25,      3782.80,      3799.55,      3767.90,      3786.05,9.8
,Nifty Consumption,      5035.60,      5050.25,      5050.25,      5011.55,      5020.60,-15
,Nifty Fin Service,     10813.60,     10880.95,     10885.45,     10826.80,     10864.55,50.95
,Nifty50 Div Point,          .82,          .82,          .82,          .82,          .82,0
,Nifty100 Liq 15,      4209.60,      4222.50,      4230.25,      4201.25,      4219.40,9.8
,Nifty CPSE,      2405.70,      2407.85,      2430.75,      2392.30,      2411.50,5.8
,Nifty GrowSect 15,      6672.80,      6688.80,      6688.80,      6651.75,      6665.35,-7.45
,Nifty50 PR 2x Lev,      4655.95,      4692.05,      4692.05,      4632.55,      4657.25,1.3
,Nifty50 PR 1x Inv,       408.00,       406.45,       409.05,       406.45,       408.00,0
,Nifty50 TR 2x Lev,      5777.40,      5822.15,      5822.15,      5748.35,      5778.95,1.55
,Nifty50 TR 1x Inv,       366.25,       364.90,       367.20,       364.90,       366.25,0
,Nifty50 Value 20,      4774.05,      4805.30,      4827.60,      4783.15,      4804.70,30.65
,Nifty Mid Liq 15,      4394.05,      4403.55,      4406.70,      4370.00,      4380.75,-13.3
,Nifty Pvt Bank,     14795.75,     14953.65,     14994.45,     14873.50,     14976.15,180.4
,Nifty Quality 30,      2574.95,      2579.15,      2582.50,      2568.05,      2573.85,-1.1
,Nifty GS 8 13Yr,      1698.95,      1699.29,      1704.38,      1697.11,      1703.06,4.11
,Nifty GS 10Yr,      1599.35,      1599.67,      1607.24,      1596.17,      1604.51,5.16
,Nifty GS 10Yr Cln,       906.60,       906.60,       910.99,       904.56,       909.40,2.8
,Nifty GS 4 8Yr,      1800.66,      1801.01,      1804.46,      1799.70,      1803.87,3.21
,Nifty GS 11 15Yr,      1758.81,      1759.17,      1767.34,      1757.10,      1766.57,7.76
,Nifty GS 15YrPlus,      1893.91,      1894.31,      1894.31,      1894.31,      1894.31,.4
,Nifty GS Compsite,      1739.29,      1739.65,      1746.28,      1737.46,      1745.05,5.76

,ADVANCES,770
,DECLINES,1014
,UNCHANGED,73

,Total securities that have hit their price bands today,194

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,PCJEWELLER,EQ,       240.25,       202.30,-15.8,3420.01
,ICICIBANK,EQ,       289.80,       309.30,6.73,2692.92
,JUBLFOOD,EQ,      2605.15,      2560.35,-1.72,1264.75
,PNBHOUSING,EQ,      1374.30,      1265.15,-7.94,922.35
,AXISBANK,EQ,       536.10,       542.25,1.15,651.56
,SBIN,EQ,       246.50,       250.05,1.44,580.6
,TCS,EQ,      3420.95,      3441.20,0.59,515.93
,RELIANCE,EQ,       971.00,       967.10,-0.4,479.79
,EXIDEIND,EQ,       262.30,       267.45,1.96,426.03
,HDFC,EQ,      1918.70,      1903.35,-0.8,404.78
,YESBANK,EQ,       347.90,       343.30,-1.32,404.48
,MARUTI,EQ,      8743.70,      8775.20,0.36,354.95
,HDFCBANK,EQ,      1977.40,      1967.05,-0.52,348.69
,INFY,EQ,      1183.00,      1165.55,-1.48,333.82
,KOTAKBANK,EQ,      1245.05,      1241.85,-0.26,330.59
,HEG,EQ,      2924.20,      2937.55,0.46,317.61
,NIITTECH,EQ,      1028.10,      1059.90,3.09,280.12
,IBULHSGFIN,EQ,      1244.25,      1236.35,-0.63,270.12
,TATAMOTORS,EQ,       335.15,       332.15,-0.9,269.55
,MINDTREE,EQ,      1014.75,      1031.30,1.63,262.01
,INDUSINDBK,EQ,      1889.80,      1869.60,-1.07,260.13
,GODREJCP,EQ,      1103.65,      1124.00,1.84,246.63
,TATASTEEL,EQ,       596.45,       596.35,-0.02,246.31
,CANBK,EQ,       262.75,       262.10,-0.25,238.44
,POWERGRID,EQ,       209.30,       212.75,1.65,235.09

,Top Five Nifty 50 Gainers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,ICICIBANK,EQ,       309.30,       289.80,6.73
,HINDPETRO,EQ,       307.00,       297.00,3.37
,EICHERMOT,EQ,     30427.05,     29766.85,2.22
,BPCL,EQ,       392.60,       385.80,1.76
,POWERGRID,EQ,       212.75,       209.30,1.65

,Top Five Nifty 50 Losers:
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE
,M&M,EQ,       865.30,       885.60,-2.29
,LT,EQ,      1364.90,      1389.15,-1.75
,INFY,EQ,      1165.55,      1183.00,-1.48
,BAJFINANCE,EQ,      1868.40,      1895.45,-1.43
,YESBANK,EQ,       343.30,       347.90,-1.32

,Securities Price Volume Data in Normal market
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY
,20MICRONS,EQ,        45.75,                  2159067.00,46701
,21STCENMGM,EQ,        42.10,                    37174.30,883
,3IINFOTECH,EQ,         4.50,                  4566826.00,1011674
,3MINDIA,EQ,     20616.40,                 13002339.55,632
,3PLAND,EQ,        14.00,                    27993.80,2002
,5PAISA,EQ,       480.90,                 21560528.85,43567
,63MOONS,EQ,        85.00,                 13194957.85,154946
,8KMILES,EQ,       693.20,                 92336656.10,132620
,A2ZINFRA,EQ,        24.95,                 10268531.30,407380
,AAKASH,ST,        58.00,                   344100.00,6000
,AARTIDRUGS,EQ,       572.70,                  3630753.90,6370
,AARTIIND,EQ,      1315.20,                 19406015.25,14723
,AARVEEDEN,EQ,        43.45,                  1132870.60,26053
,AARVI,SM,        95.00,                   190000.00,2000
,ABAN,EQ,       166.75,                110916680.90,655687
,ABBOTINDIA,EQ,      6284.60,                  8139103.90,1295
,ABFRL,EQ,       142.05,                193447186.15,1377228
,ABGSHIP,BZ,         6.85,                   139882.75,21085
,ABMINTLTD,BE,        25.00,                     1000.00,40
,ACCELYA,EQ,      1302.40,                  4566166.80,3497
,ACE,EQ,       185.45,                157657005.00,843355
,ADANIENT,EQ,       131.45,                595640241.10,4625620
,ADANIPOWER,EQ,        24.65,                513490772.20,20725982
,ADANITRANS,EQ,       165.85,                124993405.75,756227
,ADFFOODS,EQ,       236.35,                 13560650.70,57445
,ADHUNIK,EQ,         3.35,                   255668.45,78108
,ADHUNIKIND,EQ,        77.65,                  1487561.30,19182
,ADLABS,EQ,        48.00,                  1053702.85,21840
,ADORWELD,EQ,       382.80,                  1463703.35,3813
,ADROITINFO,EQ,        29.30,                   237678.25,8167
,ADSL,EQ,        19.05,                   405828.20,21235
,ADVANIHOTR,EQ,        65.30,                   784943.35,11901
,ADVENZYMES,EQ,       248.30,                 30809497.50,122848
,AEGISCHEM,EQ,       295.60,                 34929146.90,119249
,AFL,EQ,        59.25,                   816747.40,13464
,AGARIND,BE,       284.35,                  1089700.00,3790
,AGCNET,EQ,       122.25,                   850673.15,6910
,AGLSL,EQ,       101.00,                  3232569.80,32136
,AGRITECH,EQ,       128.50,                  2061505.30,15930
,AGROPHOS,SM,        40.55,                  1212600.00,30000
,AHLEAST,EQ,       360.00,                  1059359.10,2924
,AHLUCONT,EQ,       422.00,                 32387941.85,74541
,AHLWEST,BE,       313.65,                   115861.45,375
,AIAENG,EQ,      1447.70,                 24591386.55,17035
,AIFL,EQ,       479.70,                 10508713.00,21906
,AIRAN,SM,       248.00,                   372075.00,1500
,AIROLAM,SM,        48.00,                  1160700.00,24000
,AISL,SM,       116.35,                  4334820.00,37200
,AJANTPHARM,EQ,      1158.35,                260505137.60,223507
,AJMERA,EQ,       244.80,                  9218070.55,37259
