,28-May-2018
The Nifty witnessed an intraday movement of about 69.25 points.The closing index was 0.79 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 30128.42
, Traded Quantity (in Lakhs), 14205.37
, Number of Trades, 11263802
, Total Market Capitalisation (Rs. Crores), 14705586.77

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKASH,SM,        59.25,                   177350.00,3000
,AKSHARCHEM,EQ,       654.00,                 19335389.75,30254
,AKSHOPTFBR,EQ,        35.50,                 80193670.85,2247893
,AKZOINDIA,EQ,      1907.85,                 14639899.90,7660
,ALANKIT,EQ,        32.20,                  2912302.00,90889
,ALBERTDAVD,EQ,       371.25,                   154625.10,420
,ALBK,EQ,        42.80,                184778811.00,4393218
,ALCHEM,BE,         6.15,                    92711.90,14857
,ALEMBICLTD,EQ,        48.85,                  8153740.25,168014
,ALICON,EQ,       635.70,                  2451716.25,3851
,ALKALI,EQ,        76.35,                   160261.20,2102
,ALKEM,EQ,      2030.90,                 32766201.35,16264
,ALKYLAMINE,EQ,       683.65,                  2067203.85,2990
,ALLCARGO,EQ,       125.45,                 24181230.40,193600
,ALLSEC,EQ,       315.65,                  9025037.40,28257
,ALMONDZ,BE,        31.30,                   187722.15,5845
,ALOKTEXT,EQ,         1.70,                   457595.80,269174
,ALPA,EQ,        30.05,                  3541526.85,118213
,ALPHAGEO,EQ,       731.25,                  5229018.15,7118
,ALPSINDUS,BE,         2.15,                    15433.70,7178
,AMARAJABAT,EQ,       789.45,                219763868.70,276736
,AMBER,EQ,      1120.25,                 25190860.35,22565
,AMBIKCO,EQ,      1331.90,                  4239889.50,3158
,AMDIND,EQ,        27.30,                   323217.00,11647
,AMJLAND,EQ,        26.25,                  1290844.80,49324
,AMRUTANJAN,EQ,       276.15,                  2274678.45,8239
,AMTEKAUTO,BZ,        12.40,                  1343068.80,108312
,ANANTRAJ,EQ,        43.30,                 25552438.85,591041
,ANDHRABANK,EQ,        37.90,                164223657.70,4365395
,ANDHRACEMT,EQ,        10.20,                   796241.20,78093
,ANDHRSUGAR,EQ,       410.05,                 15698243.25,38575
,ANGIND,BE,         2.75,                    39876.45,14360
,ANIKINDS,BE,        34.60,                   182085.65,5381
,ANSALAPI,EQ,        16.95,                  1444073.05,86092
,ANSALHSG,EQ,        17.10,                  1332757.80,78820
,ANTGRAPHIC,BE,          .65,                    37206.70,56029
,APARINDS,EQ,       733.40,                  1564906.55,2131
,APCL,EQ,       176.70,                   601310.55,3413
,APCOTEXIND,EQ,       542.60,                  7172009.15,13387
,APEX,EQ,       591.00,                 67001135.95,113496
,APLAPOLLO,EQ,      1916.20,                 68672843.25,36090
,APLLTD,EQ,       426.20,                  8733226.25,20467
,APOLLO,EQ,       206.45,                 11076009.35,53522
,APOLLOHOSP,EQ,       985.15,                245445418.30,249842
,APOLLOTYRE,EQ,       287.05,               1480729108.05,5098864
,APOLSINHOT,EQ,      1813.95,                  4298482.15,2381
,APTECHT,EQ,       241.05,                171732205.00,728154
,ARCHIDPLY,EQ,        83.55,                  2154763.85,25903
,ARCHIES,BE,        33.90,                  1362284.00,40905
,ARCOTECH,EQ,        23.25,                  4482072.10,192115
,ARIES,EQ,       171.10,                 11075024.30,65470
,ARIHANT,EQ,        38.75,                     1694.10,44
,ARIHANTSUP,EQ,       121.75,                  2960739.30,24315
,ARMANFIN,BE,       384.45,                   259406.20,676
,AROGRANITE,EQ,        61.90,                  1714496.90,27734
,ARROWGREEN,EQ,       292.60,                  1095517.40,3736
,ARROWTEX,EQ,        31.35,                   540889.15,17294
,ARSHIYA,EQ,        63.30,                  7327079.75,113630
,ARSSINFRA,BE,        31.25,                   326839.10,10636
,ARVIND,EQ,       395.35,                654643581.80,1659340
,ARVSMART,EQ,       180.55,                  3416725.20,19072
,ASAHIINDIA,EQ,       351.55,                 20177595.75,57408
,ASAHISONG,EQ,       307.45,                  1153740.00,3832
,ASAL,EQ,        70.35,                  1256230.30,17565
,ASHAPURMIN,EQ,        61.40,                  9050252.60,149638
,ASHIANA,EQ,       156.15,                  4764151.55,30679
,ASHIMASYN,EQ,        24.25,                  1436790.50,58839
,ASHOKA,EQ,       263.65,                 39790265.00,152539
,ASIANHOTNR,EQ,       271.00,                  1593662.40,5954
