,3-Sep-14,,,,,
The Nifty witnessed an intraday movement of about 49.65 points.The closing index was 0.39 % up as compared to the previous closing index.,,,,,,
,,,,,,
, Traded Value (Rs. In Crores),19677.21,,,,
, Traded Quantity (in Lakhs),9770.1,,,,
, Number of Trades,7650662,,,,
, Total Market Capitalisation (Rs. Crores),9300649.63,,,,
,,,,,,
,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE
,CNX Nifty,8083.05,8110.85,8141.9,8092.25,8114.6
,CNX IT,10746.55,10749,11030.15,10749,11005.1
,CNX Nifty Junior,17257.9,17315.3,17440,17310.4,17386.05
,BANK Nifty,16130.55,16208.55,16208.55,16048.1,16110
,CNX Midcap,11397.35,11439.5,11527.3,11439.5,11509.55
,CNX 500,6484.35,6506.5,6536.55,6500.5,6517.7
,CNX 100,8023.25,8050.7,8085.05,8038.1,8058.75
,Nifty Midcap 50,3240.95,3254.55,3272.3,3240.75,3263.7
,CNX Realty,228.8,230.6,234.7,227.55,233.75
,CNX Infra,3220.75,3229.3,3261.15,3229.3,3246
,CNX Energy,9880.2,9942.1,9960.75,9849.45,9874.05
,CNX FMCG,19301.3,19327.6,19347.7,19154.2,19171.05
,CNX MNC,8301.05,8323.7,8362.35,8272.75,8300.7
,CNX Pharma,10306.6,10338.5,10382.85,10284.3,10333.1
,CNX PSE,3718.1,3747.2,3751.55,3695.6,3707.95
,CNX PSU Bank,3579.8,3585.85,3590.9,3547.75,3564.35
,CNX Service,9818.05,9847.95,9927.65,9843.15,9888.15
,India VIX,13.4475,13.4475,13.9525,12.5675,13.3925
,CNX AUTO,7797.5,7855.4,7883.95,7813.9,7850.85
,CNX Metal,3144.75,3142.75,3181.2,3142.75,3176.15
,CNX Media,1937.35,1940.6,1962.1,1933.8,1942.3
,CNX Smallcap,5134.4,5155.3,5176.5,5127.3,5150
,CNX 200,4113.05,4126.95,4146.05,4121.9,4133.55
,CNX Dividend Oppt,2079.65,2087.8,2089.4,2069.9,2075.7
,CNX Commodities,2995.3,3005.3,3017.3,2994.15,3008.6
,CNX Consumption,3187.65,3194.3,3212.8,3194.3,3199.65
,CNX Finance,6589.95,6618.85,6619.9,6560.5,6574.7
,Nifty Dividend,82.65,82.65,82.65,82.65,82.65
,LIX 15,3673.4,3688.45,3701.5,3672.9,3688.75
,CPSE Index,2594.55,2611.6,2618.45,2574.6,2589.55
,NI15,4637.55,4643.65,4674.8,4642.65,4664.05
,,,,,,
,ADVANCES,762,,,,
,DECLINES,791,,,,
,UNCHANGED,66,,,,
,,,,,,
,Total securities that have hit their price bands today,324,,,,
,,,,,,
,TOP 25 Securities Today :,,,,,
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,INFY,EQ,3613.75,3734.25,3.33,548.53
,RELIANCE,EQ,1023.8,1031.25,0.73,515.54
,BHARTIARTL,EQ,391.6,404.5,3.29,498.3
,YESBANK,EQ,608.6,624.35,2.59,447.71
,LT,EQ,1579.35,1598.2,1.19,418.27
,TCS,EQ,2537.9,2606.4,2.7,397.76
,SBIN,EQ,2522,2505,-0.67,394.34
,TATAMOTORS,EQ,516.25,522.6,1.23,383.75
,TATASTEEL,EQ,519.2,526,1.31,284.28
,IDEA,EQ,172.6,172.3,-0.17,279.37
,ICICIBANK,EQ,1591.1,1580.8,-0.65,279.08
,HDFC,EQ,1066.25,1062.7,-0.33,267.11
,HDIL,EQ,93.5,98.85,5.72,259.94
,JPASSOCIAT,EQ,47.15,45.7,-3.08,250.44
,ONGC,EQ,444.55,436.9,-1.72,242.72
,ITC,EQ,354.7,348.9,-1.64,230.05
,HCLTECH,EQ,1648,1658,0.61,209.96
,RELCAPITAL,EQ,553.6,550.15,-0.62,206.33
,HDFCBANK,EQ,859.2,856.65,-0.3,198.21
,AUROPHARMA,EQ,811.55,832.6,2.59,178.7
,SUNPHARMA,EQ,863.55,863.3,-0.03,173.83
,TATAMTRDVR,EQ,371.8,378.65,1.84,170.88
,CROMPGREAV,EQ,202.65,210.75,4,168.27
,CIPLA,EQ,557.05,553.2,-0.69,166.77
,M&M       ,EQ,1395.6,1411.55,1.14,163.3
,,,,,,
,Top Five CNX Nifty Gainers:,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,
,COALINDIA,EQ,376.1,363.4,3.49,
,INFY,EQ,3734.25,3613.75,3.33,
,BHARTIARTL,EQ,404.5,391.6,3.29,
,WIPRO,EQ,577.2,561,2.89,
,TCS,EQ,2606.4,2537.9,2.7,
,,,,,,
,Top Five CNX Nifty Losers:,,,,,
,SYMBOL,SERIES,CLOSE PRICE,PREV.CLOSE,%CHANGE,
,GAIL,EQ,455.35,464.95,-2.06,
,ONGC,EQ,436.9,444.55,-1.72,
,ITC,EQ,348.9,354.7,-1.64,
,BAJAJ-AUTO,EQ,2225.85,2258.6,-1.45,
,BHEL,EQ,236.85,240.3,-1.44,
,,,,,,
,Securities Price Volume Data in Normal market,,,,,
,SYMBOL,SERIES,CLOSE PRICE,TRADED VALUE ,TRADED QUANTITY,
,20MICRONS,EQ,32.85,1784016.95,53483,
,3IINFOTECH,EQ,9.05,7308530.85,806675,
,3MINDIA,EQ,5933.35,13933042.1,2357,
,8KMILES,EQ,344.65,35969434.15,102981,
,A2ZMES,BE,26.3,2312613.9,86326,
,AARTIDRUGS,EQ,732.65,10610505.4,14382,
,AARTIIND,EQ,292.8,39324075.15,136322,
,AARVEEDEN,EQ,50.9,129594.2,2565,
,ABAN,EQ,743.15,1001304463,1333077,
,ABB,EQ,1041.65,86429272.4,81458,
,ABBOTINDIA,EQ,2605.55,2707799.1,1038,
,ABCIL,EQ,273.45,10497503.6,38091,
,ABGSHIP,EQ,232.25,19895817.2,84319,
,ACCELYA,EQ,705.95,26096428.4,37026,
,ACE,EQ,33.1,10315009.45,310250,
