,12-Jun-2025
The Nifty witnessed an intraday movement of about 370.3 points.The closing index was 1.01 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 117580.76
, Traded Quantity (in Lakhs), 57080.44
, Number of Trades, 36875664
, Total Market Capitalisation (Rs. Crores), 44750079.39

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,NIFTY HEALTHCARE,     14315.60,     14356.50,     14500.05,     14284.45,     14323.15,7.55
,NIFTY CONSR DURBL,     37707.90,     37743.35,     37822.75,     36929.10,     36985.35,-722.55
,NIFTY OIL AND GAS,     11725.50,     11768.25,     11778.50,     11503.65,     11527.30,-198.2
,NIFTY500 MULTICAP,     16328.30,     16347.70,     16359.40,     16086.75,     16112.30,-216
,NIFTY LARGEMID250,     16416.85,     16433.90,     16434.25,     16170.40,     16195.45,-221.4
,NIFTY MID SELECT,     13237.55,     13243.50,     13247.05,     13008.70,     13036.30,-201.25
,NIFTY TOTAL MKT,     13141.95,     13157.35,     13162.35,     12956.20,     12976.60,-165.35
,NIFTY MICROCAP250,     24278.90,     24351.10,     24416.10,     23871.65,     23916.55,-362.35
,NIFTY IND DIGITAL,      9140.45,      9137.65,      9139.70,      8989.65,      9006.90,-133.55
,Nifty Tata 25 Cap,     15672.20,     15683.30,     15688.20,     15303.50,     15335.80,-336.4
,Nifty MidSml Hlth,     42660.25,     42790.45,     43111.55,     42485.60,     42610.55,-49.7
,Nifty Multi Mfg,     15095.20,     15118.35,     15139.40,     14871.05,     14902.85,-192.35
,Nifty Multi Infra,     14256.80,     14280.50,     14294.05,     14014.45,     14042.75,-214.05
,BHARATBOND-APR30,      1531.11,      1531.41,      1531.41,      1530.53,      1530.56,-.55
,BHARATBOND-APR31,      1398.03,      1398.30,      1398.30,      1396.85,      1396.88,-1.15
,BHARATBOND-APR32,      1275.92,      1276.16,      1276.16,      1276.15,      1276.15,.23
,BHARATBOND-APR33,      1241.64,      1241.88,      1241.88,      1241.87,      1241.87,.23
,Nifty Ind Defence,      8811.85,      8823.20,      8889.40,      8646.15,      8660.60,-151.25
,Nifty Ind Tourism,      9129.05,      9123.35,      9133.55,      8884.35,      8914.45,-214.6
,Nifty Capital Mkt,      4602.60,      4585.00,      4588.70,      4458.40,      4466.95,-135.65
,Nifty500Momentm50,     54555.30,     54623.15,     54648.95,     53622.90,     53711.40,-843.9
,NiftyMS400 MQ 100,     51122.75,     51207.75,     51238.45,     50168.50,     50229.45,-893.3
,NiftySml250MQ 100,     47991.20,     48072.55,     48234.35,     47178.00,     47264.50,-726.7
,Nifty Top 10 EW,      9842.80,      9845.45,      9857.60,      9714.85,      9741.20,-101.6
,Nifty AQL 30,     22541.10,     22594.30,     22618.45,     22285.50,     22328.10,-213
,Nifty AQLV 30,     20700.40,     20746.65,     20755.40,     20453.00,     20493.00,-207.4
,Nifty EV,      2994.55,      2998.05,      2998.95,      2931.25,      2937.50,-57.05
,Nifty HighBeta 50,      3843.95,      3851.10,      3854.55,      3756.80,      3765.05,-78.9
,Nifty New Consump,     11664.25,     11672.75,     11675.80,     11427.35,     11451.65,-212.6
,Nifty Corp MAATR,     36562.90,     36629.15,     36631.45,     35947.15,     36023.55,-539.35
,Nifty Low Vol 50,     25080.60,     25124.10,     25154.20,     24821.15,     24874.80,-205.8
,Nifty Mobility,     20823.70,     20834.90,     20845.10,     20404.35,     20462.60,-361.1
,Nifty Qlty LV 30,     17218.35,     17251.45,     17258.70,     17024.20,     17058.95,-159.4
,Nifty Sml250 Q50,     28123.85,     28171.70,     28209.10,     27613.25,     27677.60,-446.25
,Nifty Top 15 EW,     10349.75,     10359.30,     10362.40,     10209.50,     10236.30,-113.45
,Nifty100 Alpha 30,     18180.30,     18205.05,     18231.40,     17887.00,     17929.95,-250.35
,Nifty100 Enh ESG,      4997.85,      5005.95,      5007.70,      4929.45,      4937.85,-60
,Nifty200 Value 30,     13207.60,     13213.60,     13216.90,     12916.10,     12938.00,-269.6
,Nifty500 EW,     14564.80,     14593.70,     14615.95,     14317.50,     14342.85,-221.95
,Nifty Multi MQ 50,     43417.55,     43505.55,     43546.00,     42709.70,     42777.60,-639.95
,Nifty500 Value 50,     14276.35,     14285.35,     14287.85,     13993.60,     14017.85,-258.5
,Nifty Top 20 EW,      9223.75,      9236.20,      9244.55,      9096.05,      9117.30,-106.45
,Nifty CoreHousing,     15991.35,     16010.65,     16034.90,     15742.90,     15769.85,-221.5
,Nifty FinSerExBnk,     30450.90,     30420.05,     30452.75,     29829.40,     29872.30,-578.6
,Nifty Housing,     11474.65,     11480.10,     11497.40,     11284.40,     11303.95,-170.7
,Nifty IPO,      2040.90,      2048.45,      2054.70,      2007.85,      2011.45,-29.45
,Nifty MS Fin Serv,     18828.45,     18771.45,     18775.20,     18450.85,     18476.75,-351.7
,Nifty MS Ind Cons,     19456.65,     19492.15,     19517.85,     19215.25,     19249.25,-207.4
,Nifty MS IT Telcm,     10348.50,     10389.15,     10393.60,     10179.15,     10210.00,-138.5
,Nifty NonCyc Cons,     15936.50,     15981.95,     15984.25,     15659.80,     15681.65,-254.85
,Nifty Rural,     14872.70,     14907.35,     14910.10,     14646.20,     14671.75,-200.95
,Nifty Shariah 25,      8320.40,      8346.10,      8349.20,      8217.50,      8237.80,-82.6
,Nifty Trans Logis,     23065.20,     23082.00,     23095.45,     22605.25,     22672.05,-393.15
,Nifty50 Shariah,      4800.60,      4813.55,      4820.90,      4746.10,      4755.95,-44.65
,Nifty500 LMS Eql,     18058.65,     18080.90,     18097.75,     17781.85,     17809.50,-249.15
,Nifty500 Shariah,      7197.65,      7215.85,      7221.45,      7097.70,      7110.65,-87
,Nifty500 Qlty50,     20048.75,     20093.75,     20095.60,     19646.90,     19681.95,-366.8
,Nifty500 LowVol50,     21706.20,     21740.40,     21774.95,     21525.20,     21567.85,-138.35
,Nifty500 MQVLv50,     31669.90,     31714.60,     31744.25,     31245.60,     31302.15,-367.75

,ADVANCES,768
,DECLINES,2108
,UNCHANGED,59

,Total securities that have hit their price bands today,143

,TOP 25 Securities Today :
,SYMBOL,SERIES,PREV. CLOSE,CLOSE PRICE,%VAR, VALUE(Rs Crs)
,BSE,EQ,      2882.40,      2754.10,-4.45,2679.42
,PAYTM,EQ,       960.45,       895.40,-6.77,2203.84
,INFY,EQ,      1631.10,      1608.60,-1.38,1690.24
,HDFCBANK,EQ,      1950.40,      1943.40,-0.36,1590.1
,RPOWER,EQ,        71.27,        69.72,-2.17,1534.23
,TCS,EQ,      3471.90,      3434.20,-1.09,1399.58
,CDSL,EQ,      1739.40,      1644.20,-5.47,1365.12
,BHARTIARTL,EQ,      1860.20,      1844.20,-0.86,1360.33
,TANLA,EQ,       622.65,       679.20,9.08,1299.66
