symbol,date,underlying_close_price,underlying_previous_close_price,underlying_log_returns,previous_day_underlying_volatility,current_day_underlying_daily_volatility,underlying_annualised_volatility
ABB,2019-01-23,1293.20,1309.15,-0.0123,0.0147,,0.2789
ADANIPORTS,2019-01-23,385.20,390.60,-0.0139,0.0167,,0.3152
BEL,2019-01-23,83.90,85.15,-0.0148,0.0188,,0.3554
BOSCHLTD,2019-01-23,19090.15,19208.35,-0.0062,0.0114,,0.2140
CUMMINSIND,2019-01-23,821.65,829.10,-0.0090,0.0189,,0.3534
DIXON,2019-01-23,2243.40,2177.00,0.0300,0.0182,,0.3649
DLF,2019-01-23,177.25,180.05,-0.0157,0.0221,,0.4165
DMART,2019-01-23,1397.30,1357.90,0.0286,0.0302,,0.5751
HAL,2019-01-23,754.25,766.20,-0.0157,0.0144,,0.2770
HINDALCO,2019-01-23,205.45,203.55,0.0093,0.0162,,0.3038
INDHOTEL,2019-01-23,137.50,137.00,0.0036,0.0139,,0.2579
INDIGO,2019-01-23,1109.30,1120.65,-0.0102,0.0256,,0.4757
LT,2019-01-23,1301.45,1301.15,0.0002,0.0123,,0.2273
MANAPPURAM,2019-01-23,97.90,98.95,-0.0107,0.0209,,0.3897
MARUTI,2019-01-23,7045.40,7068.85,-0.0033,0.0149,,0.2770
PGEL,2019-01-23,99.40,97.05,0.0239,0.0500,,0.9323
SBIN,2019-01-23,286.65,290.25,-0.0125,0.0135,,0.2560
SUZLON,2019-01-23,5.15,5.20,-0.0097,0.0165,,0.3095
TRENT,2019-01-23,359.00,365.30,-0.0174,0.0135,,0.2636
