symbol,series,date,previous_close,open_price,high_price,low_price,last_price,close_price,avg_price,ttl_trd_qnty,turnover_lacs,no_of_trades,deliv_qty,deliv_per
ABB,EQ,2025-07-30,5579.00,5610.00,5610.00,5470.00,5555.00,5554.00,5522.05,331867,18325.86,40171,144956,43.68
ADANIPORTS,EQ,2025-07-30,1395.90,1398.80,1403.10,1391.50,1395.00,1394.00,1396.13,627316,8758.16,38931,281646,44.90
BEL,EQ,2025-07-30,388.25,390.95,392.40,385.00,385.85,386.50,387.90,11335944,43972.06,118424,5411658,47.74
BOSCHLTD,EQ,2025-07-30,39915.00,40000.00,40415.00,39125.00,40105.00,40060.00,39950.87,100405,40112.67,31353,30675,30.55
CUMMINSIND,EQ,2025-07-30,3535.20,3539.00,3590.00,3488.30,3579.00,3581.90,3552.38,479098,17019.39,58095,313728,65.48
DIXON,EQ,2025-07-30,16784.00,16770.00,16882.00,16660.00,16755.00,16765.00,16767.70,148613,24918.97,29683,56926,38.30
DLF,EQ,2025-07-30,800.35,799.85,802.65,786.10,787.00,788.80,791.99,1601532,12683.91,45084,744657,46.50
DMART,EQ,2025-07-30,3999.00,3999.00,4324.00,3999.00,4269.00,4281.40,4244.61,3389361,143865.30,195208,1183486,34.92
ETERNAL,EQ,2025-07-30,306.55,306.55,308.15,301.80,304.15,303.45,304.42,21677387,65991.28,143435,9222588,42.54
HAL,EQ,2025-07-30,4498.00,4525.00,4560.00,4500.90,4546.00,4545.00,4536.06,727643,33006.32,55398,291958,40.12
HINDALCO,EQ,2025-07-30,692.70,689.15,697.55,684.80,689.05,688.80,688.89,2829322,19490.78,62230,1570670,55.51
INDHOTEL,EQ,2025-07-30,748.20,751.20,755.50,744.00,745.95,744.90,749.18,1798426,13473.38,34141,1108329,61.63
INDIGO,EQ,2025-07-30,5756.00,5800.00,5805.50,5698.00,5717.50,5740.00,5738.73,1217558,69872.34,90778,757572,62.22
LT,EQ,2025-07-30,3495.60,3622.00,3685.30,3590.00,3659.20,3665.10,3645.37,8760659,319358.33,427790,5063512,57.80
MANAPPURAM,EQ,2025-07-30,258.85,260.00,260.80,252.65,256.10,256.55,255.59,3294181,8419.53,30387,1485622,45.10
MARUTI,EQ,2025-07-30,12469.00,12431.00,12643.00,12420.00,12588.00,12618.00,12575.09,203847,25633.95,44622,93202,45.72
PAYTM,EQ,2025-07-30,1073.10,1077.20,1084.70,1061.05,1066.00,1068.20,1069.30,2972369,31783.61,52542,763855,25.70
PGEL,EQ,2025-07-30,806.95,807.00,820.00,803.00,805.50,805.40,809.81,1027009,8316.85,30436,344887,33.58
SBIN,EQ,2025-07-30,799.20,798.95,803.40,796.20,800.00,801.65,800.75,8743723,70015.27,119582,5438858,62.20
SUZLON,EQ,2025-07-30,61.79,61.98,62.05,61.01,61.17,61.21,61.35,26142390,16039.55,81451,13682015,52.34
TRENT,EQ,2025-07-30,5001.50,5011.50,5073.50,4987.50,5043.00,5043.50,5039.85,640920,32301.44,60919,351198,54.80
