symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2026-03-11,599883,305187,50.87
ADANIPORTS,EQ,2026-03-11,2212011,978087,44.22
BEL,EQ,2026-03-11,16015126,7418880,46.32
BOSCHLTD,EQ,2026-03-11,18909,7280,38.50
CUMMINSIND,EQ,2026-03-11,457625,236957,51.78
DIXON,EQ,2026-03-11,1290092,329512,25.54
DLF,EQ,2026-03-11,3717062,1794594,48.28
DMART,EQ,2026-03-11,380922,233537,61.31
ETERNAL,EQ,2026-03-11,34327861,17780194,51.80
HAL,EQ,2026-03-11,1668004,900493,53.99
HINDALCO,EQ,2026-03-11,4456510,2103747,47.21
INDHOTEL,EQ,2026-03-11,2374852,1511081,63.63
INDIGO,EQ,2026-03-11,2647380,1135554,42.89
LENSKART,EQ,2026-03-11,1434264,967038,67.42
LT,EQ,2026-03-11,2066473,1217140,58.90
MANAPPURAM,EQ,2026-03-11,4767483,2137572,44.84
MARUTI,EQ,2026-03-11,392182,185451,47.29
PAYTM,EQ,2026-03-11,1957856,802575,40.99
PGEL,EQ,2026-03-11,4609367,796561,17.28
SBIN,EQ,2026-03-11,8364878,4673445,55.87
SUZLON,EQ,2026-03-11,64189593,23504151,36.62
TRENT,EQ,2026-03-11,684748,327476,47.82
