symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2023-07-05,4370,4428.95,4360.7,4390.6,4414,4360.7,89263,392570414.05,12324,INE117A01022
ADANIPORTS,EQ,2023-07-05,741,746.9,734.05,742.75,742.7,741.7,2212779,1637930174,45598,INE742F01042
BEL,EQ,2023-07-05,122.55,123.75,121.05,121.75,122.15,122.05,15615891,1904489375.45,50145,INE263A01024
BOSCHLTD,EQ,2023-07-05,19100,19275,19021,19162.55,19200,19053.6,44656,854345201.35,4265,INE323A01026
CUMMINSIND,EQ,2023-07-05,1865,1884.9,1852.7,1874.65,1879.75,1856.65,839386,1568152195.05,44390,INE298A01020
DIXON,EQ,2023-07-05,4319.95,4319.95,4145.2,4206.1,4204,4358.15,596331,2512387917.15,51539,INE935N01020
DLF,EQ,2023-07-05,489.8,503.75,488.5,499.7,503.75,489.8,2846706,1410248280.15,33965,INE271C01023
DMART,EQ,2023-07-05,3880,3897,3801.2,3820.1,3829,3857.2,311494,1195407365.5,40075,INE192R01011
HAL,EQ,2023-07-05,3721.95,3749,3690,3734.9,3742,3722.1,798830,2973075061.65,50974,INE066F01012
HINDALCO,EQ,2023-07-05,425,427.4,419.35,421.5,422.45,425.8,4783528,2020243321.25,58171,INE038A01020
INDHOTEL,EQ,2023-07-05,381.15,383.8,376.65,380.35,380.4,380.75,3591448,1367499938.5,58053,INE053A01029
INDIGO,EQ,2023-07-05,2605,2669.7,2605,2654.6,2652.8,2593.7,628970,1659846482.35,30450,INE646L01027
LT,EQ,2023-07-05,2461,2484.95,2454.35,2470.8,2472,2461.85,1191896,2943109995.05,78418,INE018A01030
MANAPPURAM,EQ,2023-07-05,128.3,129.9,127.85,128.95,129.2,128.3,6096401,784853546.85,26764,INE522D01027
MARUTI,EQ,2023-07-05,9697,10036.95,9675,9992.3,9990.1,9647.4,815044,8057349422.15,83869,INE585B01010
PAYTM,EQ,2023-07-05,851,862,845.95,853.45,854.35,836.75,3511139,2998458208.05,68609,INE982J01020
PGEL,EQ,2023-07-05,1556.55,1578,1532,1545.65,1545,1537.7,32630,50844754.5,8274,INE457L01011
SBIN,EQ,2023-07-05,589.8,593.7,588.2,590.6,591.25,589.25,13598114,8029706202.95,271617,INE062A01020
SUZLON,EQ,2023-07-05,17.95,18.15,17.4,17.4,17.4,18.3,264737406,4663557817.15,111108,INE040H01021
TRENT,EQ,2023-07-05,1745,1746,1702,1731.7,1726.2,1736.35,502769,865266441.6,32727,INE849A01020
