symbol,series,date,open,high,low,close,last,previous_close,volume,value,trades,isin
ABB,EQ,2008-09-04,892.1,900,872,875.2,875,903.1,314231,277187423.25,,
BEL,EQ,2008-09-04,933.2,949.7,933.2,941.45,940,947.85,21630,20373967.8,,
BOSCHLTD,EQ,2008-09-04,4090,4090,3900,3908.8,3900.2,4071.9,7022,27978989.9,,
CUMMINSIND,EQ,2008-09-04,319.35,333,316.7,322.15,324.1,318.45,117282,37969831.2,,
DLF,EQ,2008-09-04,522.5,531.5,506.25,523.05,524.05,530.2,4986261,2595318269.65,,
HINDALCO,EQ,2008-09-04,127,127.4,121.9,126.7,126.65,123.85,2694563,336049778.35,,
INDHOTEL,EQ,2008-09-04,85,85,76,77,77.1,77.7,1966892,151236897.55,,
LT,EQ,2008-09-04,2664.8,2682,2623,2670.85,2673,2687.8,986215,2620999071.25,,
MARUTI,EQ,2008-09-04,658,693.5,645.1,687.7,690,665.25,1135093,767625379.2,,
SBIN,EQ,2008-09-04,1500.1,1546.7,1461.45,1534.7,1546.7,1523,2552672,3878971595.25,,
SUZLON,EQ,2008-09-04,226,228,222.3,226.95,227.1,229.75,2719331,614954796.85,,
TRENT,EQ,2008-09-04,518,525,515.55,521.1,521.8,515.45,1572,817672.8,,
