symbol,series,date,quantity_traded,deliverable_quantity,delivery_pct
ABB,EQ,2010-12-30,122396,37335,30.50
BEL,EQ,2010-12-30,23208,14355,61.85
BOSCHLTD,EQ,2010-12-30,1413,750,53.08
CUMMINSIND,EQ,2010-12-30,123861,85289,68.86
DLF,EQ,2010-12-30,3091414,1380312,44.65
HINDALCO,EQ,2010-12-30,6462622,3091236,47.83
INDHOTEL,EQ,2010-12-30,1264870,718024,56.77
INDHOTEL,N4,2010-12-30,103,51,49.51
LT,EQ,2010-12-30,868680,467332,53.80
MANAPPURAM,EQ,2010-12-30,396030,220573,55.70
MARUTI,EQ,2010-12-30,231775,74625,32.20
MARUTI,IL,2010-12-30,123,123,100.00
SBIN,EQ,2010-12-30,2106254,971589,46.13
SBIN,N1,2010-12-30,7,7,100.00
SBIN,N2,2010-12-30,690,689,99.86
SUZLON,EQ,2010-12-30,38079252,9795968,25.73
TRENT,EQ,2010-12-30,281687,156109,55.42
TRENT,Q1,2010-12-30,3104,3049,98.23
TRENT,Q2,2010-12-30,28659,28649,99.97
