,26-Sep-2018
The Nifty witnessed an intraday movement of about 152.5 points.The closing index was 0.12 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 35572.48
, Traded Quantity (in Lakhs), 16913.98
, Number of Trades, 13393395
, Total Market Capitalisation (Rs. Crores), 14616934.32

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       174.90,                 23010074.55,129703
,AKASH,SM,        77.80,                   153050.00,2000
,AKG,ST,        33.50,                   804000.00,24000
,AKSHARCHEM,EQ,       475.80,                  1067772.20,2218
,AKSHOPTFBR,EQ,        26.95,                 86970048.60,3225190
,AKZOINDIA,EQ,      1635.65,                  4732903.40,2887
,ALANKIT,EQ,        19.10,                 41510085.60,2186795
,ALBERTDAVD,EQ,       599.65,                 17632351.30,28423
,ALBK,EQ,        37.35,                151477018.30,4042749
,ALCHEM,BE,         4.75,                    33739.15,7164
,ALEMBICLTD,EQ,        45.00,                 22211967.40,501104
,ALICON,EQ,       709.55,                  2146629.45,3038
,ALKALI,EQ,        61.40,                   183214.25,2969
,ALKEM,EQ,      2069.00,                 33920219.60,16395
,ALKYLAMINE,EQ,       604.85,                   899494.80,1488
,ALLCARGO,EQ,       107.30,                 19467773.50,180270
,ALLSEC,EQ,       264.80,                  1027221.80,3839
,ALMONDZ,BE,        31.05,                   127238.85,3872
,ALOKTEXT,BE,         3.35,                  4423780.85,1313600
,ALPA,EQ,        28.60,                   513378.90,17927
,ALPHAGEO,EQ,       569.55,                  4643853.65,8055
,ALPSINDUS,BE,         2.90,                   125308.95,42666
,AMARAJABAT,EQ,       786.45,                416779337.25,532443
,AMBANIORG,SM,        66.10,                   132200.00,2000
,AMBER,EQ,       932.00,                  5555340.25,5965
,AMBIKCO,EQ,      1234.95,                   968660.95,783
,AMDIND,EQ,        20.65,                   107921.35,5267
,AMJLAND,EQ,        22.05,                   353305.45,15930
,AMRUTANJAN,EQ,       263.05,                  5099778.85,19529
,ANANTRAJ,EQ,        40.60,                 17127178.75,421360
,ANDHRABANK,EQ,        30.25,                211560217.70,7095184
,ANDHRACEMT,EQ,         6.95,                   838733.55,119673
,ANDHRSUGAR,EQ,       363.25,                 76437720.75,204915
,ANGIND,BE,         2.50,                     2712.10,1147
,ANIKINDS,EQ,        27.55,                   112849.55,4140
,ANKITMETAL,BE,          .55,                      766.70,1394
,ANSALAPI,EQ,        11.90,                  1827686.20,150646
,ANSALHSG,EQ,        11.55,                   681889.80,57640
,ANTGRAPHIC,BE,          .50,                     6529.45,13264
,APARINDS,EQ,       598.50,                  8026275.15,13492
,APCL,EQ,       135.20,                    84566.10,622
,APCOTEXIND,EQ,       595.15,                  2984232.70,5050
,APEX,EQ,       358.65,                 19855577.05,55578
,APLAPOLLO,EQ,      1396.55,                 34154635.50,24218
,APLLTD,EQ,       649.05,                132324842.70,203536
,APOLLO,EQ,       129.30,                  2153951.60,16610
