,05-Sep-2018
The Nifty witnessed an intraday movement of about 148.8 points.The closing index was 0.38 % down as compared to the previous closing index.

, Traded Value (Rs. In Crores), 37075.89
, Traded Quantity (in Lakhs), 16742.16
, Number of Trades, 12974313
, Total Market Capitalisation (Rs. Crores), 15334292.61

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AKASH,SM,        72.00,                    72000.00,1000
,AKSHARCHEM,EQ,       503.25,                  4678557.55,9288
,AKSHOPTFBR,EQ,        29.85,                 24202374.00,821581
,AKZOINDIA,EQ,      1723.35,                  6904449.10,4008
,ALANKIT,EQ,        23.40,                 18392461.70,776351
,ALBERTDAVD,EQ,       706.65,                 71681934.50,101001
,ALBK,EQ,        40.90,                122026604.95,3002822
,ALCHEM,BE,         5.20,                    13110.90,2569
,ALEMBICLTD,EQ,        50.20,                 51523711.20,1039074
,ALICON,EQ,       626.80,                  3488759.15,5588
,ALKALI,EQ,        63.75,                  1078757.25,16996
,ALKEM,EQ,      2104.85,                150600467.20,71642
,ALKYLAMINE,EQ,       624.05,                  2850477.35,4560
,ALLCARGO,EQ,       117.85,                 19619242.95,167138
,ALLSEC,EQ,       240.80,                  3360644.60,14480
,ALMONDZ,BE,        37.00,                   117035.45,3134
,ALOKTEXT,BE,         4.00,                 13369551.65,3315581
,ALPA,EQ,        29.70,                   468230.15,15741
,ALPHAGEO,EQ,       638.90,                  4359940.65,6733
,ALPSINDUS,BE,         3.15,                   120919.95,38901
,AMARAJABAT,EQ,       815.55,                326903634.65,403196
,AMBANIORG,SM,        66.10,                   132200.00,2000
,AMBER,EQ,       942.05,                 52410826.90,55190
,AMBIKCO,EQ,      1263.60,                  5453835.30,4305
,AMDIND,EQ,        24.80,                   229306.30,9199
,AMJLAND,EQ,        24.55,                   849537.90,34528
,AMRUTANJAN,EQ,       312.75,                 17056839.05,54429
,AMTEKAUTO,BZ,         5.65,                  2210195.05,395218
,ANANTRAJ,EQ,        47.20,                 46147090.65,988637
,ANDHRABANK,EQ,        31.15,                239891862.65,7697768
,ANDHRACEMT,EQ,         8.15,                   426948.50,52121
,ANDHRSUGAR,EQ,       372.25,                  5059990.70,13563
,ANGIND,BE,         2.55,                    31160.05,12455
,ANIKINDS,EQ,        28.95,                    62710.40,2177
,ANKITMETAL,BE,          .75,                    21599.40,30142
,ANSALAPI,EQ,        15.55,                  3016049.25,193768
,ANSALHSG,EQ,        14.20,                   234946.40,16438
,ANTGRAPHIC,BE,          .55,                    30962.60,60713
,APARINDS,EQ,       616.25,                  8884050.30,14371
,APCL,EQ,       150.30,                   431776.10,2919
,APCOTEXIND,EQ,       616.50,                  1070432.50,1738
,APEX,EQ,       393.55,                 38431120.80,97238
,APLAPOLLO,EQ,      1578.60,                 52134009.45,33263
,APLLTD,EQ,       634.95,                351129337.70,559003
,APOLLO,EQ,       151.45,                  1798097.35,11802
,APOLLOHOSP,EQ,      1135.75,               1047186325.10,917615
,APOLLOTYRE,EQ,       244.35,                765617886.25,3165366
,APOLSINHOT,EQ,      1398.80,                   553062.45,402
,APTECHT,EQ,       215.65,                 45808534.15,213140
,ARCHIDPLY,EQ,        55.10,                   817767.00,14915
,ARCHIES,EQ,        26.70,                  1030172.55,38442
,ARCOTECH,BE,        14.50,                   548739.95,37744
,ARIES,EQ,       114.45,                  1278040.25,11171
,ARIHANT,EQ,        37.65,                   128080.00,3400
,ARIHANTSUP,EQ,        69.35,                  2673541.75,38373
,ARMANFIN,EQ,       397.40,                   678475.00,1689
,AROGRANITE,EQ,        61.95,                   786185.00,13049
,ARROWGREEN,EQ,       136.85,                  3467134.55,25240
,ARROWTEX,EQ,        28.65,                   307940.10,10693
,ARSHIYA,EQ,        45.00,                 10595309.65,232108
,ARSSINFRA,EQ,        26.35,                   188531.00,7196
,ARVIND,EQ,       385.45,                892790707.75,2341272
,ARVSMART,EQ,       153.80,                  2497938.85,16386
,ASAHIINDIA,EQ,       338.05,                  8464178.25,25449
,ASAHISONG,EQ,       266.60,                   497319.65,1873
,ASAL,EQ,        55.55,                   578499.10,10313
,ASHAPURMIN,EQ,        44.60,                  3192634.65,71329
,ASHIANA,EQ,       150.55,                  5007840.45,33410
,ASHIMASYN,EQ,        19.40,                  2149463.65,112116
,ASHOKA,EQ,       134.60,                 44153170.70,332918
