,07-Sep-2018
The Nifty witnessed an intraday movement of about 118.6 points.The closing index was 0.45 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 36966.93
, Traded Quantity (in Lakhs), 14044.67
, Number of Trades, 12659002
, Total Market Capitalisation (Rs. Crores), 15511978.16

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,AJMERA,EQ,       217.45,                 28912387.90,132378
,AKASH,SM,        79.45,                    79450.00,1000
,AKSHARCHEM,EQ,       510.70,                  2040672.40,4009
,AKSHOPTFBR,EQ,        30.95,                 56328067.25,1863010
,AKZOINDIA,EQ,      1730.70,                  7962665.45,4596
,ALANKIT,EQ,        23.10,                 20487139.95,887109
,ALBERTDAVD,EQ,       730.80,                108358199.30,153223
,ALBK,EQ,        40.55,                143975120.10,3572654
,ALCHEM,BE,         5.25,                    32701.95,6341
,ALEMBICLTD,EQ,        50.45,                 27734300.40,543982
,ALICON,EQ,       696.45,                 29045198.55,42537
,ALKALI,EQ,        68.85,                  6951894.45,99176
,ALKEM,EQ,      2201.25,                526543949.80,243242
,ALKYLAMINE,EQ,       621.25,                  2553529.05,4109
,ALLCARGO,EQ,       117.35,                  8574176.80,72776
,ALLSEC,EQ,       243.30,                  1570486.55,6536
,ALMONDZ,BE,        37.85,                   121162.25,3261
,ALOKTEXT,BE,         4.05,                  7596579.10,1876927
,ALPA,EQ,        31.95,                  3088860.75,98374
,ALPHAGEO,EQ,       665.25,                  6232690.60,9446
,ALPSINDUS,BE,         3.35,                   121688.80,37216
,AMARAJABAT,EQ,       815.65,                469500550.60,578259
,AMBANIORG,SM,        66.65,                  1599600.00,24000
,AMBER,EQ,      1004.15,                184490571.15,179575
,AMBIKCO,EQ,      1259.75,                  4811283.75,3816
,AMDIND,EQ,        24.15,                    78237.50,3267
,AMJLAND,EQ,        25.30,                   767163.50,29890
,AMRUTANJAN,EQ,       317.55,                 38004335.40,117946
,AMTEKAUTO,BZ,         5.80,                  1412280.55,238418
,ANANTRAJ,EQ,        47.35,                 22096682.30,465424
,ANDHRABANK,EQ,        31.15,                117415320.65,3802719
,ANDHRACEMT,EQ,         8.00,                   522032.15,65038
